Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,JustinTucker,BAL,K,2013,5,MIA,2,2,100,29,3,3,9.1,9.1
2,AlexHenery,PHI,K,2013,5,NYG,2,2,100,32,3,3,9,9
2,MattBryant,ATL,K,2013,5,NYJ,2,2,100,38,3,3,9,9
4,MasonCrosby,GB,K,2013,5,DET,1,2,50,24,5,5,8,8
4,StevenHauschka,SEA,K,2013,5,IND,2,2,100,35,2,2,8,8
4,MattPrater,DEN,K,2013,5,DAL,1,1,100,30,5,5,8,8
7,DanCarpenter,BUF,K,2013,5,CLE,2,2,100,35,1,1,7,7
7,StephenGostkowski,NE,K,2013,5,CIN,2,2,100,42,1,1,7,7
7,GregZuerlein,LAR,K,2013,5,JAX,2,3,66.7,31,1,1,7,7
10,RobbieGould,CHI,K,2013,5,NO,1,2,50,31,3,3,6,6
10,GarrettHartley,NO,K,2013,5,CHI,1,2,50,41,3,3,6,6
10,RobBironas,TEN,K,2013,5,KC,1,2,50,40,3,3,6,6
10,NickNovak,LAC,K,2013,5,OAK,1,2,50,33,3,3,6,6
10,SebastianJanikowski,OAK,K,2013,5,LAC,1,2,50,16,3,3,6,6
10,PhilDawson,SF,K,2013,5,HOU,1,1,100,21,3,3,6,6
16,BillyCundiff,CLE,K,2013,5,BUF,1,2,50,40,2,2,5,5
16,MikeNugentIR,CIN,K,2013,5,NE,1,1,100,21,2,2,5,5
16,CalebSturgis,MIA,K,2013,5,BAL,1,2,50,46,2,2,5,5
16,JoshBrown,NYG,K,2013,5,PHI,1,2,50,31,2,2,5,5
16,DavidAkers,DET,K,2013,5,GB,1,2,50,30,2,2,5,5
16,RyanSuccopP,KC,K,2013,5,TEN,1,2,50,30,2,2,5,5
16,AdamVinatieri,IND,K,2013,5,SEA,1,2,50,35,2,2,5,5
16,GrahamGano,CAR,K,2013,5,ARI,1,2,50,37,2,2,5,5
16,DanBailey,DAL,K,2013,5,DEN,1,2,50,33,2,2,5,5
16,RandyBullock,HOU,K,2013,5,SF,1,2,50,32,2,2,5,5
26,JoshScobee,JAX,K,2013,5,LAR,1,2,50,31,1,1,4,4
26,JayFeely,ARI,K,2013,5,CAR,1,2,50,30,1,1,4,4
26,NickFolk,NYJ,K,2013,5,ATL,1,2,50,45,1,1,4,4
