Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,ToddGurley,LAR,RB,2016,1,SF,20.2,90.7,4.6,0.7,2.99,2.2,17.5,0.1,0.1,0.1,15.4,15.42
2,LamarMiller,HOU,RB,2016,1,CHI,17.8,84.4,4.7,0.6,3.33,2.4,18.8,0.1,0.1,0.1,14.3,14.32
3,DavidJohnson,ARI,RB,2016,1,NE,15,73,4.9,0.5,4.16,3.2,28.7,0.2,0.2,0.2,14,13.97
4,AdrianPetersonQ,MIN,RB,2016,1,TEN,20.3,84.5,4.2,0.6,2.47,1.9,15.1,0.1,0.2,0.2,13.8,13.76
5,DeAngeloWilliams,PIT,RB,2016,1,WAS,16.1,78,4.9,0.6,4.17,2.9,21.9,0,0.2,0.2,13.2,13.19
6,LeSeanMcCoyQ,BUF,RB,2016,1,BAL,16.7,80.8,4.8,0.4,3.8,2.8,21.3,0.1,0.1,0.1,13,13.01
7,EzekielElliott,DAL,RB,2016,1,NYG,17.3,70.2,4.1,0.5,3.85,2.9,23.7,0.1,0.1,0.1,12.8,12.79
8,MarkIngramSUS,NO,RB,2016,1,OAK,15.3,65.5,4.4,0.5,4.35,3.2,24,0.1,0.1,0.1,12.4,12.35
9,DevontaFreemanO,ATL,RB,2016,1,TB,14.8,56.4,3.7,0.4,5.4,4,32.8,0.2,0.2,0.2,12.1,12.12
10,SpencerWare,KC,RB,2016,1,LAC,13.3,63.4,4.8,0.7,2.22,1.6,10.8,0,0.1,0.1,11.4,11.42
11,EddieLacy,GB,RB,2016,1,JAX,15.2,70.9,4.7,0.5,2.68,2,16.8,0,0.2,0.2,11.4,11.37
12,DougMartin,TB,RB,2016,1,ATL,17.7,76.7,4.3,0.4,2.92,2,15.4,0,0.2,0.2,11.2,11.21
13,LataviusMurray,OAK,RB,2016,1,NO,15.8,69.7,4.4,0.5,2.92,2.2,15.7,0,0.2,0.2,11.1,11.14
14,RyanMathews,PHI,RB,2016,1,CLE,13.1,71.3,5.5,0.4,2.5,1.9,12.6,0,0.2,0.2,10.4,10.39
15,FrankGore,IND,RB,2016,1,DET,13.6,58.8,4.2,0.4,3.35,2.5,18.7,0.1,0.2,0.2,10.4,10.35
16,CJAnderson,DEN,RB,2016,1,CAR,15,68.3,4.5,0.4,2.96,2.1,15,0,0.2,0.2,10.3,10.33
17,MattForteIR,NYJ,RB,2016,1,CIN,13.6,53.8,3.9,0.3,5.07,3.5,26.3,0.1,0.1,0.1,10.2,10.21
18,RashadJennings,NYG,RB,2016,1,DAL,12.6,58.6,4.5,0.4,3.32,2.5,18.8,0,0.1,0.1,9.9,9.94
19,JeremyLangford,CHI,RB,2016,1,HOU,12.7,53.2,4.1,0.3,3.75,2.7,21.7,0.1,0.1,0.1,9.7,9.69
20,CarlosHyde,SF,RB,2016,1,LAR,16.4,66.1,4.1,0.3,2.8,2,13.5,0,0.2,0.2,9.4,9.36
21,DeMarcoMurray,TEN,RB,2016,1,MIN,14.3,58.7,4.2,0.3,2.73,2.1,15.5,0,0.1,0.1,9,9.02
22,ArianFoster,MIA,RB,2016,1,SEA,12.4,47.4,3.9,0.3,3.99,3,22.6,0.1,0.2,0.2,9,9
23,AmeerAbdullah,DET,RB,2016,1,IND,11,52,4.7,0.3,2.85,2.1,15.3,0.1,0.1,0.1,8.9,8.93
24,JonathanStewartIR,CAR,RB,2016,1,DEN,14.9,60.7,4.1,0.4,1.52,1.1,8,0,0.2,0.2,8.9,8.87
25,ChristineMichael,SEA,RB,2016,1,MIA,11.5,55.9,4.7,0.4,1.75,1.2,9.4,0,0.1,0.1,8.7,8.73
26,JeremyHillIR,CIN,RB,2016,1,NYJ,13.9,59.9,4.3,0.4,1.43,1.1,7,0,0.2,0.2,8.7,8.69
27,TJYeldonP,JAX,RB,2016,1,GB,9.6,46.5,4.6,0.2,4.73,3.2,23.5,0.1,0.1,0.1,8.6,8.6
28,GiovaniBernardP,CIN,RB,2016,1,NYJ,9,35.9,4,0.2,4.95,3.7,30.6,0.1,0.1,0.1,8.2,8.25
29,JustinForsett,BAL,RB,2016,1,BUF,10.8,49,4.5,0.2,3.26,2.4,16.9,0.1,0.1,0.1,8.2,8.19
30,MattJones,WAS,RB,2016,1,PIT,12.3,49.4,4.1,0.3,1.87,1.3,11.4,0.1,0.2,0.2,8.1,8.08
31,IsaiahCrowell,CLE,RB,2016,1,PHI,11.6,54.8,4.6,0.3,1.61,1.1,9.3,0,0.1,0.1,8,8.01
32,MelvinGordon,LAC,RB,2016,1,KC,14.5,50.3,3.6,0.3,3.1,2.1,14.9,0,0.2,0.2,7.9,7.92
33,DukeJohnson,CLE,RB,2016,1,PHI,8.4,33.9,4.2,0.2,4.35,3.2,26.6,0.1,0.1,0.1,7.6,7.65
34,DannyWoodheadIR,LAC,RB,2016,1,KC,5.8,23.8,4,0.1,5.65,4.1,35.5,0.2,0.1,0.1,7.5,7.53
