Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,MattBryant,ATL,K,2017,1,CHI,1.5,1.6,100,0,3.1,3.1,7.6,7.6
2,GrahamGano,CAR,K,2017,1,SF,1.5,1.7,100,0,2.8,2.8,7.3,7.3
3,KaiForbath,MIN,K,2017,1,NO,1.5,1.5,100,0,2.7,2.7,7.2,7.2
4,ChrisBoswell,PIT,K,2017,1,CLE,1.4,1.6,50,0,2.8,2.8,7,7
4,MasonCrosby,GB,K,2017,1,SEA,1.4,1.6,50,0,2.8,2.8,7,7
4,DanBailey,DAL,K,2017,1,NYG,1.5,1.6,100,0,2.5,2.5,7,7
7,StephenGostkowski,NE,K,2017,1,KC,1.3,1.4,100,0,3,3,6.9,6.9
8,RandyBullock,CIN,K,2017,1,BAL,1.4,1.5,50,0,2.6,2.6,6.8,6.8
9,RyanSuccopP,TEN,K,2017,1,OAK,1.3,1.3,100,0,2.7,2.7,6.6,6.6
9,BrandonMcManus,DEN,K,2017,1,LAC,1.5,1.6,100,0,2.1,2.1,6.6,6.6
11,MattPrater,DET,K,2017,1,ARI,1.4,1.5,50,0,2.3,2.3,6.5,6.5
11,CalebSturgis,PHI,K,2017,1,WAS,1.4,1.6,50,0,2.3,2.3,6.5,6.5
13,Ka'imiFairbairn,HOU,K,2017,1,JAX,1.4,1.5,50,0,2,2,6.2,6.2
13,AdamVinatieri,IND,K,2017,1,LAR,1.4,1.5,50,0,2,2,6.2,6.2
15,BlairWalsh,SEA,K,2017,1,GB,1.2,1.3,100,0,2.4,2.4,6,6
16,PhilDawson,ARI,K,2017,1,DET,1,1.1,100,0,2.9,2.9,5.9,5.9
17,StevenHauschka,BUF,K,2017,1,NYJ,1.1,1.2,100,0,2.4,2.4,5.7,5.7
18,GregZuerlein,LAR,K,2017,1,IND,1.1,1.2,100,0,2.1,2.1,5.4,5.4
19,CairoSantos,KC,K,2017,1,NE,1.1,1.2,100,0,2,2,5.3,5.3
19,JustinTucker,BAL,K,2017,1,CIN,1.1,1.1,100,0,2,2,5.3,5.3
21,DustinHopkins,WAS,K,2017,1,PHI,0.9,1.1,100,0,2.5,2.5,5.2,5.2
22,JasonMyers,JAX,K,2017,1,HOU,1.1,1.2,100,0,1.8,1.8,5.1,5.1
22,AldrickRosas,NYG,K,2017,1,DAL,1,1.1,100,0,2.1,2.1,5.1,5.1
24,GiorgioTavecchio,OAK,K,2017,1,TEN,0.9,1.1,100,0,2.3,2.3,5,5
24,WilLutz,NO,K,2017,1,MIN,0.9,1,100,0,2.3,2.3,5,5
26,ConnorBarth,CHI,K,2017,1,ATL,0.8,0.9,100,0,2,2,4.4,4.4
27,ZaneGonzalez,CLE,K,2017,1,PIT,0.9,1,100,0,1.5,1.5,4.2,4.2
28,ChandlerCatanzaro,NYJ,K,2017,1,BUF,0.8,0.9,100,0,1.7,1.7,4.1,4.1
28,RobbieGould,SF,K,2017,1,CAR,0.7,0.8,100,0,2,2,4.1,4.1
30,YounghoeKoo,LAC,K,2017,1,DEN,0.6,0.7,100,0,2.2,2.2,4,4
31,JakeElliott,CIN,K,2017,1,BAL,0,0,0,0,0,0,0,0
31,SebastianJanikowski,OAK,K,2017,1,TEN,0,0,0,0,0,0,0,0
31,HarrisonButker,CAR,K,2017,1,SF,0,0,0,0,0,0,0,0
