Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,AaronRodgersQ,GB,QB,2017,1,SEA,24.9,38,65.8,271,7.1,2.1,0.8,93.2,3.8,16.2,4,0.1,19.5,19.46
2,TomBrady,NE,QB,2017,1,KC,25.7,38,68.4,290.8,7.7,2.3,0.7,97.59,2.2,1.3,0.5,0,19.4,19.36
3,RussellWilson,SEA,QB,2017,1,GB,21.1,33.3,63.6,245.5,7.5,1.8,0.7,93.75,4.8,29.5,6,0.1,18.8,18.77
4,MattRyan,ATL,QB,2017,1,CHI,22.2,34.1,64.7,270.1,7.9,2,0.5,108.7,2.1,6.2,3,0,18.2,18.22
5,MarcusMariotaP,TEN,QB,2017,1,OAK,21.5,32.3,68.8,250.6,7.8,1.8,0.7,99.87,3.9,20.7,5.2,0.1,17.9,17.89
6,CamNewton,CAR,QB,2017,1,SF,19.2,34,55.9,239,7,1.6,0.8,85.29,5.6,26.5,4.3,0.2,17.8,17.81
7,DerekCarr,OAK,QB,2017,1,TEN,23.1,38.6,59,266.6,6.8,2.1,0.8,86.16,2.2,5,2.5,0,17.6,17.56
8,DrewBrees,NO,QB,2017,1,MIN,25.4,42,59.5,286.3,6.8,2,0.9,86.01,1.3,0.5,0,0,17.3,17.3
9,AndyDalton,CIN,QB,2017,1,BAL,22,34,64.7,259.8,7.6,1.7,0.8,95.22,3.1,10,3.3,0,16.2,16.19
10,KirkCousins,WAS,QB,2017,1,PHI,24,37.8,63.2,263.1,6.9,1.7,0.8,90.13,2,6.9,3.5,0,16,16.01
11,BenRoethlisberger,PIT,QB,2017,1,CLE,21.5,36.8,59.5,260.6,7.1,1.8,0.9,87.78,1.5,2.3,1,0,15.8,15.85
12,DakPrescott,DAL,QB,2017,1,NYG,17.6,32.5,56.2,223.7,7,1.5,0.7,85.94,3.6,20.1,5,0.1,15.8,15.76
13,SamBradfordQ,MIN,QB,2017,1,NO,19.8,35.5,55.6,244.7,6.8,1.8,0.6,83.68,1.3,4.5,4,0,15.6,15.64
14,TyrodTaylorQ,BUF,QB,2017,1,NYJ,17.8,28.5,64.3,210.8,7.5,1.4,0.6,84.08,6.3,23.2,3.8,0.1,15.6,15.55
15,CarsonPalmer,ARI,QB,2017,1,DET,19.5,32.6,60.6,260.5,7.9,1.9,1.1,92.99,1,0.6,1,0,15.5,15.48
16,CarsonWentz,PHI,QB,2017,1,WAS,21.5,38.3,57.9,251.2,6.6,1.5,0.8,84.43,2.8,10,3.3,0,15,15.05
17,MatthewStafford,DET,QB,2017,1,ARI,21.3,36.4,58.3,251.6,7,1.8,1.2,86.81,2.3,4.7,2.5,0,14.9,14.93
18,EliManning,NYG,QB,2017,1,DAL,18.9,31.6,59.4,252.6,7.9,1.7,0.9,92.32,1.1,2,2,0,14.9,14.9
19,PhilipRivers,LAC,QB,2017,1,DEN,21.1,36.7,56.8,250.3,6.8,1.7,1.1,84.29,0.9,1.3,1,0,14.1,14.14
20,AlexSmith,KC,QB,2017,1,NE,21,32.8,63.6,231.9,7,1.3,0.8,81.88,2.9,14.1,4.7,0,13.9,13.89
21,JoeFlacco,BAL,QB,2017,1,CIN,18.8,31.4,61.3,251.1,8.1,1.3,1,84.21,1.4,2.4,2,0,13.3,13.28
22,TrevorSiemian,DEN,QB,2017,1,LAC,20.1,35.8,55.6,228.9,6.4,1.3,0.9,72.57,1.8,3.5,2,0,12.7,12.71
23,JaredGoff,LAR,QB,2017,1,IND,19,32.9,57.6,222.3,6.7,1.4,1,75.57,1.4,3.5,4,0,12.4,12.44
24,MikeGlennon,CHI,QB,2017,1,ATL,21,33.9,61.8,239.9,7.1,1.1,1.1,80.51,2,4.8,2.5,0,11.9,11.88
25,BrianHoyer,SF,QB,2017,1,CAR,19.2,33.3,57.6,218.6,6.6,1.2,1,75.19,1.6,3.4,1.5,0,11.5,11.48
26,DeshoneKizer,CLE,QB,2017,1,PIT,14.5,24.2,62.5,193.5,8.1,0.9,1.2,84.37,4.54,21.8,4.4,0.1,11.3,11.32
27,BlakeBortles,JAX,QB,2017,1,HOU,14.7,24.6,60,196.5,7.8,1.2,1.2,81.42,3.4,15.1,5,0,11.2,11.17
28,ScottTolzien,IND,QB,2017,1,LAR,21.1,35.5,58.3,217,6,1.1,1.3,73.5,1.8,5.6,3,0,10.8,10.84
29,TomSavage,HOU,QB,2017,1,JAX,13.5,22.5,59.1,179.8,8.2,1.2,1.1,81.63,1.9,3.7,2,0,9.8,9.76
30,JoshMcCown,NYJ,QB,2017,1,BUF,13.6,22.7,60.9,181.5,7.9,1.1,1.1,82.16,2,6.7,3.5,0,9.7,9.73
31,DeshaunWatsonP,HOU,QB,2017,1,JAX,2,3.3,66.7,20.1,6.7,0.1,0.1,85.42,0.3,1.2,0,0,1.1,1.12
32,MitchTrubisky,CHI,QB,2017,1,ATL,1.1,1.8,50,14.7,7.5,0.1,0,75,0.1,0.6,0,0,1,1.05
33,ChadHenne,JAX,QB,2017,1,HOU,1,1.7,50,13.8,7,0.1,0.1,72.92,0.1,0.7,0,0,0.8,0.82
34,PatrickMahomes,KC,QB,2017,1,NE,1,1.6,50,12.8,6.5,0,0,70.83,0.2,0.6,0,0,0.6,0.57
35,BrockOsweiler,DEN,QB,2017,1,LAC,0.8,1.3,100,10.3,10,0,0,108.33,0.1,0.5,0,0,0.5,0.46
36,CaseKeenum,MIN,QB,2017,1,NO,0.8,1.3,100,10.1,10,0,0,108.33,0.1,0.3,0,0,0.4,0.43
37,LandryJones,PIT,QB,2017,1,CLE,0.6,0.9,100,7.4,7,0,0,95.83,0.1,0.3,0,0,0.3,0.33
37,KevinHogan,CLE,QB,2017,1,PIT,0.5,0.8,0,6.6,7,0,0,56.25,0.1,0.7,0,0,0.3,0.33
39,AJMcCarron,CIN,QB,2017,1,BAL,0.5,0.9,100,7.3,7,0,0,95.83,0.1,0.2,0,0,0.3,0.31
39,GenoSmith,NYG,QB,2017,1,DAL,0.5,0.9,100,7.1,7,0,0,95.83,0.1,0.3,0,0,0.3,0.31
41,MattCassel,TEN,QB,2017,1,OAK,0.5,0.8,0,6.6,7,0,0,56.25,0,0.3,0,0,0.3,0.29
42,NickFoles,PHI,QB,2017,1,WAS,0.4,0.8,0,6,6,0,0,52.08,0,0.1,0,0,0.2,0.25
43,KellenMoore,DAL,QB,2017,1,NYG,0.4,0.7,0,5.8,6,0,0,52.08,0.1,0.1,0,0,0.2,0.24
44,ColtMcCoy,WAS,QB,2017,1,PHI,0.4,0.6,0,5.2,5,0,0,47.92,0.1,0.2,0,0,0.2,0.23
45,AustinDavisP,SEA,QB,2017,1,GB,0.4,0.6,0,5,5,0,0,47.92,0,0.2,0,0,0.2,0.22
46,EJManuel,OAK,QB,2017,1,TEN,0.3,0.6,0,4.4,4,0,0,43.75,0.1,0.3,0,0,0.2,0.21
47,RyanMallett,BAL,QB,2017,1,CIN,0.3,0.6,0,4.5,4,0,0,43.75,0,0.2,0,0,0.2,0.2
