Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,RobGronkowskiQ,NE,TE,2017,10,DEN,8.72,5.1,55.6,73.7,0.7,0,8.2,14.8,0,0,0,0,0,0,11.6,11.57
2,EvanEngramO,NYG,TE,2017,10,SF,8.89,5.2,55.6,60.9,0.5,0,6.8,12.2,0,0,0,0,0,0,9.1,9.09
3,JimmyGrahamP,SEA,TE,2017,10,ARI,6.02,4.1,66.7,48.9,0.5,0,8.2,12.2,0,0,0,0,0.1,0.1,7.7,7.69
4,CameronBrate,TB,TE,2017,10,NYJ,5.4,3.7,80,42.3,0.4,0,8.4,10.5,0,0,0,0,0,0,6.6,6.63
5,KyleRudolph,MIN,TE,2017,10,WAS,7.56,4.3,50,40.5,0.4,0,5,10,0,0,0,0,0,0,6.4,6.45
6,DelanieWalkerIR,TEN,TE,2017,10,CIN,5.84,4.3,66.7,47.6,0.3,0,8,12,0,0,0,0,0.1,0.1,6.4,6.36
7,AustinSeferian-JenkinsP,NYJ,TE,2017,10,TB,5.24,3.8,80,39.2,0.4,0,7.8,9.8,0,0,0,0,0.1,0.1,6.1,6.12
8,JackDoyleO,IND,TE,2017,10,PIT,8.48,5.3,62.5,50.7,0.2,0,6.4,10.2,0,0,0,0,0.1,0.1,6.1,6.07
9,HunterHenryPUP,LAC,TE,2017,10,JAX,5.4,3.7,80,42.4,0.3,0,8.4,10.5,0,0,0,0,0,0,6,6.04
10,CharlesClayQ,BUF,TE,2017,10,NO,4.83,3.5,80,38.6,0.3,0,7.8,9.8,0,0,0,0,0,0,5.7,5.66
11,JasonWittenIR,DAL,TE,2017,10,ATL,7,4,57.1,39.1,0.3,0,5.6,9.8,0,0,0,0,0.1,0.1,5.5,5.51
12,TylerKroft,CIN,TE,2017,10,TEN,5.58,3.6,66.7,36.4,0.3,0,6,9,0,0,0,0,0,0,5.4,5.44
13,AustinHooper,ATL,TE,2017,10,DAL,3.96,3,75,33.8,0.3,0,8.5,11.3,0,0,0,0,0,0,5.2,5.18
14,VernonDavis,WAS,TE,2017,10,MIN,5.47,3.3,60,41.5,0.2,0,8.4,14,0,0,0,0,0.1,0.1,5.2,5.15
15,EdDickson,CAR,TE,2017,10,MIA,4.53,2.7,60,32.8,0.2,0,6.6,11,0,0,0,0,0,0,4.5,4.48
16,DavidNjoku,CLE,TE,2017,10,DET,3.79,2.9,75,31.4,0.2,0,7.8,10.3,0,0,0,0,0,0,4.3,4.34
17,EricEbronP,DET,TE,2017,10,CLE,3.42,2.5,66.7,29.6,0.2,0,10,15,0,0,0,0,0,0,4.2,4.16
18,JuliusThomas,MIA,TE,2017,10,CAR,4.29,2.9,75,28.9,0.2,0,7.2,9.7,0,0,0,0,0,0,4.1,4.09
19,CJFiedorowiczIR,HOU,TE,2017,10,LAR,3.51,2.7,75,25.7,0.2,0,6.5,8.7,0,0,0,0,0,0,3.8,3.77
20,GarrettCelek,SF,TE,2017,10,NYG,4.08,2.4,50,25.4,0.2,0,6.2,12.5,0,0,0,0,0,0,3.7,3.74
20,AJDerbyO,DEN,TE,2017,10,NE,3.37,2.5,66.7,27.4,0.2,0,9,13.5,0,0,0,0,0.1,0.1,3.7,3.74
22,TylerHigbeeQ,LAR,TE,2017,10,HOU,2.68,2,66.7,24,0.2,0,8,12,0,0,0,0,0,0,3.6,3.6
23,CobyFleener,NO,TE,2017,10,BUF,2.7,2,66.7,23.1,0.2,0,7.7,11.5,0,0,0,0,0,0,3.5,3.51
24,OJHoward,TB,TE,2017,10,NYJ,2.68,2,66.7,25,0.2,0,8.3,12.5,0,0,0,0,0.1,0.1,3.5,3.5
25,MarcedesLewis,JAX,TE,2017,10,LAC,3.11,1.8,66.7,21.2,0.2,0,7,10.5,0,0,0,0,0,0,3.3,3.32
26,JermaineGreshamQ,ARI,TE,2017,10,SEA,4.65,2.6,60,25.7,0.1,0,5.2,8.7,0,0,0,0,0,0,3.2,3.17
27,JesseJames,PIT,TE,2017,10,IND,2.34,1.7,100,19.3,0.2,0,9.5,9.5,0,0,0,0,0,0,3.1,3.13
28,AntonioGates,LAC,TE,2017,10,JAX,2.8,1.8,66.7,18.3,0.2,0,6,9,0,0,0,0,0,0,3,3.03
29,DarrenFells,DET,TE,2017,10,CLE,2.05,1.5,100,16.6,0.2,0,8.5,8.5,0,0,0,0,0,0,2.9,2.86
30,SethDeValveQ,CLE,TE,2017,10,DET,2.62,1.9,66.7,20.5,0.1,0,6.7,10,0,0,0,0,0,0,2.6,2.65
31,GeraldEverett,LAR,TE,2017,10,HOU,2.58,1.5,66.7,19.1,0.1,0,6.3,9.5,0,0.1,0,0,0,0,2.5,2.52
32,VanceMcDonald,PIT,TE,2017,10,IND,2.49,1.4,50,18.6,0.1,0,9.5,19,0,0,0,0,0,0,2.5,2.46
33,StephenAnderson,HOU,TE,2017,10,LAR,2.55,1.8,66.7,18.1,0.1,0,6,9,0,0,0,0,0,0,2.4,2.41
34,LanceKendricks,GB,TE,2017,10,CHI,2.62,1.5,66.7,15,0.1,0,5,7.5,0,0,0,0,0,0,2.1,2.1
35,RichardRodgersIR,GB,TE,2017,10,CHI,2.11,1.6,100,14,0.1,0,7,7,0,0,0,0,0,0,2,2
36,TroyNiklas,ARI,TE,2017,10,SEA,1.72,1.3,50,13,0.1,0,6.5,13,0,0,0,0,0,0,1.9,1.9
