Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,RyanSuccopP,KC,K,2013,7,HOU,2,2,100,42,2,2,8,8
1,AlexHenery,PHI,K,2013,7,DAL,2,2,100,35,2,2,8,8
1,JustinTucker,BAL,K,2013,7,PIT,2,2,100,30,2,2,8,8
1,MasonCrosby,GB,K,2013,7,CLE,2,2,100,34,2,2,8,8
5,DanCarpenter,BUF,K,2013,7,MIA,2,2,100,45,1,1,7,7
5,StephenGostkowski,NE,K,2013,7,NYJ,2,2,100,45,1,1,7,7
5,NickNovak,LAC,K,2013,7,JAX,2,2,100,44,1,1,7,7
5,JoshScobee,JAX,K,2013,7,LAC,2,2,100,42,1,1,7,7
5,MattPrater,DEN,K,2013,7,IND,1,1,100,40,4,4,7,7
5,AdamVinatieri,IND,K,2013,7,DEN,2,2,100,45,1,1,7,7
11,MattBryant,ATL,K,2013,7,TB,1,2,50,31,3,3,6,6
11,DanBailey,DAL,K,2013,7,PHI,1,2,50,30,3,3,6,6
11,KaiForbath,WAS,K,2013,7,CHI,1,1,100,15,3,3,6,6
11,GrahamGano,CAR,K,2013,7,LAR,1,1,100,28,3,3,6,6
11,GregZuerlein,LAR,K,2013,7,CAR,1,1,100,29,3,3,6,6
11,PhilDawson,SF,K,2013,7,TEN,1,1,100,20,3,3,6,6
11,BlairWalsh,MIN,K,2013,7,NYG,1,2,50,39,3,3,6,6
11,JoshBrown,NYG,K,2013,7,MIN,1,1,100,12,3,3,6,6
19,StevenHauschka,SEA,K,2013,7,ARI,1,2,50,36,2,2,5,5
19,RianLindell,TB,K,2013,7,ATL,1,2,50,31,2,2,5,5
19,MikeNugentIR,CIN,K,2013,7,DET,1,2,50,36,2,2,5,5
19,DavidAkers,DET,K,2013,7,CIN,1,2,50,35,2,2,5,5
19,CalebSturgis,MIA,K,2013,7,BUF,1,2,50,47,2,2,5,5
19,RobbieGould,CHI,K,2013,7,WAS,1,2,50,36,2,2,5,5
19,RobBironas,TEN,K,2013,7,SF,1,1,100,34,2,2,5,5
19,BillyCundiff,CLE,K,2013,7,GB,1,2,50,44,2,2,5,5
27,JayFeely,ARI,K,2013,7,SEA,1,2,50,27,1,1,4,4
27,RandyBullock,HOU,K,2013,7,KC,1,2,50,33,1,1,4,4
27,NickFolk,NYJ,K,2013,7,NE,1,2,50,42,1,1,4,4
27,ShaunSuisham,PIT,K,2013,7,BAL,1,2,50,32,1,1,4,4
