Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,PeytonManning,DEN,QB,2013,12,NE,37,58,63.8,465,8,3,1,98.71,-1,-3,3,0,28.3,28.3
2,DrewBrees,NO,QB,2013,12,ATL,35,53,66,425,8,3,1,101.53,1,2,2,0,27.2,27.2
3,TomBrady,NE,QB,2013,12,DEN,33,54,61.1,393,7.3,2,1,87.96,2,6,3,0,22.3,22.32
4,MatthewStafford,DET,QB,2013,12,TB,26,48,54.2,359,7.5,2,1,83.59,2,8,4,0,21.2,21.16
5,CaseKeenum,HOU,QB,2013,12,JAX,21,37,56.8,293,7.9,2,0,100.39,2,14,7,0,21.1,21.12
6,TonyRomo,DAL,QB,2013,12,NYG,30,52,57.7,333,6.4,2,1,81.65,1,4,4,0,19.7,19.72
7,EliManning,NYG,QB,2013,12,DAL,37,61,60.7,414,6.8,1,1,79.54,0,1,0,0,18.7,18.66
8,MattRyan,ATL,QB,2013,12,NO,33,54,61.1,351,6.5,2,2,77.01,1,5,5,0,18.5,18.54
8,BenRoethlisberger,PIT,QB,2013,12,CLE,26,40,65,296,7.4,2,1,93.33,2,7,3.5,0,18.5,18.54
10,AndrewLuckP,IND,QB,2013,12,ARI,24,42,57.1,284,6.8,1,0,85.81,5,21,4.2,0,17.5,17.46
11,CamNewton,CAR,QB,2013,12,MIA,21,32,65.6,232,7.2,1,0,97.4,9,38,4.2,0,17.1,17.08
12,ScottTolzien,GB,QB,2013,12,MIN,43,66,65.2,557,8.4,0,4,66.29,3,27,9,0,17,16.98
13,PhilipRivers,LAC,QB,2013,12,KC,25,37,67.6,304,8.2,1,0,101.63,2,6,3,0,16.8,16.76
14,RobertGriffinIII,WAS,QB,2013,12,SF,20,33,60.6,256,7.8,1,1,82.39,8,39,4.9,0,16.1,16.14
15,JoshMcCown,CHI,QB,2013,12,LAR,21,34,61.8,247,7.3,1,0,93.63,3,22,7.3,0,16.1,16.08
16,RyanFitzpatrick,TEN,QB,2013,12,OAK,20,32,62.5,232,7.2,1,0,94.79,5,27,5.4,0,16,15.98
17,ColinKaepernick,SF,QB,2013,12,WAS,15,26,57.7,184,7.1,1,0,92.47,6,40,6.7,0,15.4,15.36
18,MikeGlennon,TB,QB,2013,12,DET,25,39,64.1,255,6.5,1,0,91.29,2,6,3,0,14.8,14.8
19,JoeFlacco,BAL,QB,2013,12,NYJ,26,43,60.5,273,6.3,1,1,76.99,3,17,5.7,0,14.6,14.62
20,JasonCampbell,CLE,QB,2013,12,PIT,20,36,55.6,224,6.2,1,0,83.56,2,11,5.5,0,14.1,14.06
20,CarsonPalmer,ARI,QB,2013,12,IND,25,38,65.8,299,7.9,1,1,87.5,1,1,1,0,14.1,14.06
22,KellenClemens,LAR,QB,2013,12,CHI,16,31,51.6,237,7.6,1,1,74.26,3,14,4.7,0,12.9,12.88
23,AlexSmith,KC,QB,2013,12,LAC,24,42,57.1,228,5.4,0,0,72.32,6,37,6.2,0,12.8,12.82
24,RyanTannehillP,MIA,QB,2013,12,CAR,22,36,61.1,215,6,1,1,75.58,2,8,4,0,11.4,11.4
25,ChadHenne,JAX,QB,2013,12,HOU,31,48,64.6,329,6.9,0,1,75.78,0,0,0,0,11.2,11.16
26,GenoSmith,NYJ,QB,2013,12,BAL,15,26,57.7,172,6.6,0,0,77.72,4,16,4,0,8.5,8.48
27,MattMcGloin,OAK,QB,2013,12,TEN,9,18,50,107,5.9,1,0,87.04,0,-1,0,0,8.2,8.18
28,ChristianPonder,MIN,QB,2013,12,GB,19,29,65.5,183,6.3,0,1,68.61,4,25,6.2,0,7.8,7.82
29,LukeMcCown,NO,QB,2013,12,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,BrandonWeeden,CLE,QB,2013,12,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,JoeWebb,MIN,QB,2013,12,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,MattFlynn,GB,QB,2013,12,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
