Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,MasonCrosby,GB,K,2013,13,DET,2,2,100,38,2,2,8,8
1,DanCarpenter,BUF,K,2013,13,ATL,2,2,100,33,2,2,8,8
3,DavidAkers,DET,K,2013,13,GB,1,1,100,18,4,4,7,7
3,JustinTucker,BAL,K,2013,13,PIT,2,2,100,49,1,1,7,7
3,AdamVinatieri,IND,K,2013,13,TEN,2,2,100,43,1,1,7,7
3,MattPrater,DEN,K,2013,13,KC,1,1,100,29,4,4,7,7
3,AlexHenery,PHI,K,2013,13,ARI,1,1,100,19,4,4,7,7
3,MattBryant,ATL,K,2013,13,BUF,2,2,100,39,1,1,7,7
3,JoshBrown,NYG,K,2013,13,WAS,2,2,100,33,1,1,7,7
3,GarrettHartley,NO,K,2013,13,SEA,1,1,100,27,4,4,7,7
11,DanBailey,DAL,K,2013,13,OAK,1,2,50,41,3,3,6,6
11,GrahamGano,CAR,K,2013,13,TB,1,2,50,46,3,3,6,6
11,PhilDawson,SF,K,2013,13,LAR,1,2,50,40,3,3,6,6
11,StephenGostkowski,NE,K,2013,13,HOU,1,2,50,39,3,3,6,6
11,MikeNugentIR,CIN,K,2013,13,LAC,1,1,100,36,3,3,6,6
11,KaiForbath,WAS,K,2013,13,NYG,1,1,100,32,3,3,6,6
11,StevenHauschka,SEA,K,2013,13,NO,1,2,50,38,3,3,6,6
18,SebastianJanikowski,OAK,K,2013,13,DAL,1,2,50,27,2,2,5,5
18,ShaunSuisham,PIT,K,2013,13,BAL,1,2,50,39,2,2,5,5
18,RianLindell,TB,K,2013,13,CAR,1,1,100,40,2,2,5,5
18,RobBironas,TEN,K,2013,13,IND,1,2,50,28,2,2,5,5
18,RyanSuccopP,KC,K,2013,13,DEN,1,2,50,30,2,2,5,5
18,BlairWalsh,MIN,K,2013,13,CHI,1,2,50,38,2,2,5,5
18,RobbieGould,CHI,K,2013,13,MIN,1,2,50,30,2,2,5,5
18,GregZuerlein,LAR,K,2013,13,SF,1,1,100,29,2,2,5,5
18,NickNovak,LAC,K,2013,13,CIN,1,2,50,31,2,2,5,5
27,BillyCundiff,CLE,K,2013,13,JAX,1,2,50,37,1,1,4,4
27,JoshScobee,JAX,K,2013,13,CLE,1,2,50,33,1,1,4,4
27,CalebSturgis,MIA,K,2013,13,NYJ,1,2,50,44,1,1,4,4
27,NickFolk,NYJ,K,2013,13,MIA,1,2,50,33,1,1,4,4
27,JayFeely,ARI,K,2013,13,PHI,1,2,50,41,1,1,4,4
27,RandyBullock,HOU,K,2013,13,NE,1,2,50,47,1,1,4,4
