age,game_num,position_bit_1,position_bit_2,position_bit_3,away,kickoff_dome_x,kickoff_weather_summary_x_bit_1,kickoff_weather_summary_x_bit_2,kickoff_weather_summary_x_bit_3,kickoff_weather_summary_x_bit_4,kickoff_weather_summary_x_bit_5,kickoff_weather_summary_x_bit_6,wind_speed,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,kickoff_humidity_x,kickoff_visibility_x,kickoff_barometer_x,kickoff_dew_point_x,kickoff_cloud_cover_x,gs,scoring
22.31,5,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,22.0,10.0,29.0,45.0,0,1,6
22.324,7,0,1,1,0,0,1,1,0,0,0,0,5,0,0,1,0,0,92.0,8.0,29.0,49.0,78,1,6
22.339000000000002,8,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,63.0,10.0,30.0,23.0,17,1,0
22.345,9,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,82.0,9.0,29.0,34.0,83,1,0
23.28,3,0,1,1,0,0,1,1,0,0,0,0,10,1,1,1,0,0,79.0,9.0,29.0,65.0,77,1,0
23.301,5,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,59.0,10.0,30.0,52.0,2,1,0
23.322,8,0,1,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,56.0,10.0,31.0,51.0,0,1,0
23.344,11,0,1,1,1,0,0,1,0,0,0,0,4,0,1,1,0,0,62.0,9.0,30.0,35.0,57,1,6
23.357,13,0,1,1,0,0,1,1,0,0,0,0,2,1,0,1,1,0,90.0,8.0,30.0,25.0,61,1,0
23.364,14,0,1,1,1,0,0,1,0,0,0,0,7,0,0,1,0,0,71.0,9.0,30.0,1.0,28,1,0
24.004,15,0,1,1,0,0,1,1,0,0,0,0,4,0,1,0,1,0,86.0,10.0,29.0,31.0,73,1,0
24.011999999999997,16,0,1,1,1,1,0,0,0,0,0,0,4,1,1,1,0,0,79.0,10.0,29.0,26.0,7,1,6
24.348000000000003,12,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,71.0,10.0,30.0,32.0,17,1,0
25.011,16,0,1,1,1,1,0,0,0,0,0,0,5,1,0,0,1,0,62.0,10.0,29.0,1.0,21,1,0
28.171,1,0,1,1,1,1,1,0,1,0,0,0,8,1,1,1,1,0,46.0,10.0,30.0,50.0,0,1,18
