age,game_num,position_bit_1,position_bit_2,position_bit_3,away,kickoff_dome_x,kickoff_weather_summary_x_bit_1,kickoff_weather_summary_x_bit_2,kickoff_weather_summary_x_bit_3,kickoff_weather_summary_x_bit_4,kickoff_weather_summary_x_bit_5,kickoff_weather_summary_x_bit_6,wind_speed,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,kickoff_humidity_x,kickoff_visibility_x,kickoff_barometer_x,kickoff_dew_point_x,kickoff_cloud_cover_x,gs,rec_yds
25.046999999999997,9,1,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,76.0,9.0,30.0,59.0,36,1,0
25.075,12,1,0,0,1,0,0,1,0,0,0,0,3,1,0,1,0,0,61.0,10.0,30.0,61.0,28,1,3
25.081999999999997,13,1,0,0,1,0,0,1,0,0,0,0,11,0,1,1,0,0,36.0,10.0,30.0,22.0,35,1,57
26.004,3,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,56.0,10.0,29.0,67.0,6,1,5
22.335,3,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,47.0,10.0,30.0,65.0,5,1,2
22.35,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,71.0,10.0,29.0,55.0,23,1,0
22.355999999999998,6,1,0,0,1,0,1,1,0,0,0,0,4,1,1,0,0,0,88.0,9.0,29.0,65.0,84,1,0
23.005,8,1,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,46.0,10.0,30.0,35.0,0,1,0
23.019000000000002,9,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,82.0,9.0,29.0,34.0,83,1,39
23.026,10,1,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,65.0,10.0,30.0,21.0,44,1,41
23.033,11,1,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,46.0,10.0,29.0,28.0,5,1,1
26.075,13,1,0,0,1,0,1,1,0,0,0,0,7,0,0,1,1,0,66.0,9.0,29.0,36.0,68,1,0
24.145,2,1,0,0,1,1,0,0,0,0,0,0,7,0,1,1,0,0,60.0,10.0,29.0,68.0,5,1,5
24.215,12,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,71.0,10.0,30.0,32.0,17,1,13
24.221999999999998,13,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,56.0,9.0,29.0,38.0,5,1,0
24.23,14,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,86.0,9.0,29.0,66.0,13,1,23
23.291,11,1,0,0,1,0,1,1,0,0,0,0,6,0,1,0,1,0,77.0,8.0,32.0,32.0,70,1,0
