age,game_num,position_bit_1,position_bit_2,position_bit_3,away,kickoff_dome_x,kickoff_weather_summary_x_bit_1,kickoff_weather_summary_x_bit_2,kickoff_weather_summary_x_bit_3,kickoff_weather_summary_x_bit_4,kickoff_weather_summary_x_bit_5,kickoff_weather_summary_x_bit_6,wind_speed,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,kickoff_humidity_x,kickoff_visibility_x,kickoff_barometer_x,kickoff_dew_point_x,kickoff_cloud_cover_x,gs,pass_int
25.098000000000003,14,0,1,0,1,0,1,1,0,0,0,0,5,0,1,1,0,0,72.0,9.0,31.0,43.0,62,1,0
25.105999999999998,15,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,75.0,7.0,29.0,9.0,48,1,0
25.112,16,0,1,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0,73.0,7.0,30.0,25.0,91,1,0
29.28,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,70.0,36.0,29.0,56.0,0,1,1
29.287,2,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,78.0,10.0,30.0,55.0,0,1,0
29.294,3,0,1,0,1,0,1,0,1,0,0,0,7,0,0,1,1,0,49.0,10.0,29.0,47.0,0,1,2
29.308000000000003,4,0,1,0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,46.0,10.0,29.0,40.0,0,1,0
29.315,5,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,61.0,8.0,30.0,54.0,0,1,1
29.322,6,0,1,0,0,0,1,0,0,0,0,0,6,1,1,0,1,0,86.0,10.0,29.0,39.0,0,1,0
29.329,7,0,1,0,1,1,1,0,1,0,0,0,14,1,0,0,0,0,60.0,10.0,30.0,31.0,0,1,0
29.337,8,0,1,0,0,0,1,0,0,0,0,0,6,0,1,1,0,0,86.0,8.0,30.0,44.0,0,1,0
30.026999999999997,16,0,1,0,1,0,1,0,0,0,0,0,10,0,1,0,0,0,75.0,10.0,30.0,17.0,0,1,2
30.276,1,0,1,0,1,0,1,0,1,0,0,0,5,0,1,0,0,0,53.0,10.0,30.0,52.0,0,1,1
30.285999999999998,2,0,1,0,0,0,1,0,1,0,0,0,11,1,1,0,0,0,56.0,10.0,30.0,47.0,0,1,0
30.293000000000003,3,0,1,0,1,1,1,0,0,0,0,0,6,0,0,1,0,0,68.0,10.0,29.0,53.0,0,1,0
30.3,4,0,1,0,1,0,1,1,0,0,0,0,6,0,1,1,1,0,45.0,10.0,30.0,55.0,0,1,0
30.304000000000002,5,0,1,0,0,0,1,0,1,1,1,0,7,1,1,1,0,0,97.0,3.0,29.0,62.0,0,1,0
