ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,21.314,IND,,DET,L 35-39,,,0,0,0.0,0,1
2,2016,2016-09-18,2,21.321,IND,@,DEN,L 20-34,,,0,0,0.0,1,1
3,2016,2016-09-25,3,21.328,IND,,SDG,W 26-22,,,0,0,0.0,0,0
4,2016,2016-10-02,4,21.335,IND,@,JAX,L 27-30,,,0,0,0.5,1,1
5,2016,2016-10-09,5,21.342,IND,,CHI,W 29-23,,,0,0,0.0,0,1
6,2016,2016-10-16,6,21.349,IND,@,HOU,L 23-26,,,0,0,0.0,0,0
7,2016,2016-10-23,7,21.356,IND,@,TEN,W 34-26,,,0,0,0.0,0,1
8,2016,2016-10-30,8,21.363,IND,,KAN,L 14-30,,,0,0,0.0,1,1
9,2016,2016-11-06,9,22.004,IND,@,GNB,W 31-26,,,0,0,0.0,0,1
10,2016,2016-11-20,10,22.018,IND,,TEN,W 24-17,*,,0,0,0.0,0,1
11,2016,2016-11-24,11,22.022,IND,,PIT,L 7-28,,,0,0,0.0,2,0
12,2016,2016-12-05,12,22.033,IND,@,NYJ,W 41-10,*,,0,0,0.0,0,1
13,2016,2016-12-11,13,22.039,IND,,HOU,L 17-22,*,,0,0,1.0,1,4
14,2016,2016-12-18,14,22.046,IND,@,MIN,W 34-6,*,,0,0,0.0,0,0
15,2016,2016-12-24,15,22.052,IND,@,OAK,L 25-33,*,,0,0,0.0,1,0
16,2016,2017-01-01,16,22.060,IND,,JAX,W 24-20,,,0,0,0.0,1,0
17,2017,2017-09-10,1,22.312,IND,@,LAR,L 9-46,,,0,0,0.0,0,0
18,2017,2017-09-17,2,22.319,IND,,ARI,L 13-16,,,0,0,1.0,1,0
19,2017,2017-09-24,3,22.326,IND,,CLE,W 31-28,,,0,0,0.0,0,0
20,2017,2017-10-01,4,22.333,IND,@,SEA,L 18-46,,,0,0,0.0,0,2
21,2017,2017-10-08,5,22.340,IND,,SFO,W 26-23,,,0,0,0.0,0,1
22,2017,2017-10-16,6,22.348,IND,@,TEN,L 22-36,,,0,0,0.0,0,0
23,2017,2017-10-22,7,22.354,IND,,JAX,L 0-27,,,0,0,0.0,0,1
24,2017,2017-10-29,8,22.361,IND,@,CIN,L 23-24,,,0,0,0.0,1,0
25,2017,2017-11-05,9,23.003,IND,@,HOU,W 20-14,,,0,0,0.0,0,1
26,2017,2017-11-12,10,23.010,IND,,PIT,L 17-20,,,0,0,1.0,1,1
27,2017,2017-12-14,14,23.042,IND,,DEN,L 13-25,,,0,0,0.0,0,1
28,2017,2017-12-23,15,23.051,IND,@,BAL,L 16-23,,,0,0,0.0,1,0
29,2017,2017-12-31,16,23.059,IND,,HOU,W 22-13,*,1,0,2,1.0,1,2
30,2018,2018-09-16,2,23.318,IND,@,WAS,W 21-9,,,0,0,0.0,0,0
