ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1983,1983-11-06,10,22.083,DEN,@,SEA,L 19-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
2,1983,1983-11-20,12,22.097,DEN,,SEA,W 38-27,*,10,18,55.56,165,1,1,81.9,2,20,9.17,7.78,3,13,4.33,1,0,0,,0,1,6,0,0,,0
3,1983,1983-12-11,15,22.118,DEN,,BAL,W 21-19,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,4,4.00,0,0,0,,0,0,0,0,0,,0
4,1983,1983-12-18,16,22.125,DEN,@,KAN,L 17-48,,2,3,66.67,21,0,0,86.8,0,0,7.00,7.00,0,0,,0,0,0,,0,0,0,0,0,,0
5,1984,1984-09-02,1,23.018,DEN,,CIN,W 20-17,,10,16,62.50,79,1,0,95.6,0,0,4.94,6.19,3,-14,-4.67,0,0,0,,0,0,0,0,0,,0
6,1984,1984-09-09,2,23.025,DEN,@,CHI,L 0-27,*,3,6,50.00,40,0,1,31.9,2,19,6.67,-0.83,0,0,,0,0,0,,0,0,0,0,0,,0
7,1984,1984-10-07,6,23.053,DEN,@,DET,W 28-7,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,,,,,
8,1984,1984-10-21,8,23.067,DEN,@,BUF,W 37-7,,8,16,50.00,95,1,0,89.3,3,30,5.94,7.19,4,19,4.75,1,1,20,20.00,0,1,6,0,0,,0
9,1984,1984-10-28,9,23.074,DEN,@,RAI,W 22-19,*,21,34,61.76,206,2,0,98.4,4,28,6.06,7.24,2,22,11.00,0,0,0,,0,0,0,0,0,,0
10,1984,1984-11-18,12,23.095,DEN,,MIN,W 42-21,,2,3,66.67,20,0,0,85.4,1,9,6.67,6.67,0,0,,0,0,0,,0,0,0,0,0,,0
11,1984,1984-12-02,14,23.109,DEN,@,KAN,L 13-16,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,,,,,
12,1985,1985-09-08,1,24.024,DEN,@,RAM,L 16-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
13,1985,1985-09-15,2,24.031,DEN,,NOR,W 34-23,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
14,1985,1985-09-22,3,24.038,DEN,@,ATL,W 44-28,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
15,1985,1985-09-29,4,24.045,DEN,,MIA,L 26-30,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
16,1985,1985-10-06,5,24.052,DEN,,HOU,W 31-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
17,1985,1985-10-13,6,24.059,DEN,@,IND,W 15-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
18,1985,1985-10-20,7,24.066,DEN,,SEA,W 13-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
19,1985,1985-10-27,8,24.073,DEN,@,KAN,W 30-10,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,0,0,,0,0,0,0,0,,0
20,1985,1985-11-03,9,24.080,DEN,@,SDG,L 10-30,,1,4,25.00,54,1,0,118.7,0,0,13.50,18.50,0,0,,0,0,0,,0,0,0,0,0,,0
21,1985,1985-11-11,10,24.088,DEN,,SFO,W 17-16,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
22,1985,1985-11-17,11,24.094,DEN,,SDG,W 30-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
23,1985,1985-11-24,12,24.101,DEN,@,RAI,L 28-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
24,1985,1985-12-01,13,24.108,DEN,@,PIT,W 31-23,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
25,1985,1985-12-08,14,24.115,DEN,,RAI,L 14-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
26,1985,1985-12-14,15,24.121,DEN,,KAN,W 14-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
27,1985,1985-12-20,16,24.127,DEN,@,SEA,W 27-24,,0,0,,0,0,0,,0,,,,1,6,6.00,0,0,0,,0,0,0,0,0,,0
28,1986,1986-09-07,1,25.023,DEN,,RAI,W 38-36,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
29,1986,1986-09-15,2,25.031,DEN,@,PIT,W 21-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
30,1986,1986-09-21,3,25.037,DEN,@,PHI,W 33-7,,7,11,63.64,69,0,1,43.4,1,8,6.27,2.18,2,-2,-1.00,0,0,0,,0,0,0,0,0,,0
31,1986,1986-09-28,4,25.044,DEN,,NWE,W 27-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
32,1986,1986-10-05,5,25.051,DEN,,DAL,W 29-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
33,1986,1986-10-12,6,25.058,DEN,@,SDG,W 31-14,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,0,0,,0,0,0,,0,0,0,0,0,,0
34,1986,1986-10-20,7,25.066,DEN,@,NYJ,L 10-22,,10,14,71.43,114,1,1,89.6,0,0,8.14,6.36,1,4,4.00,0,0,0,,0,0,0,0,0,,0
35,1986,1986-10-26,8,25.072,DEN,,SEA,W 20-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
36,1986,1986-11-02,9,25.079,DEN,@,RAI,W 21-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
37,1986,1986-11-09,10,25.086,DEN,,SDG,L 3-9,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
38,1986,1986-11-16,11,25.093,DEN,,KAN,W 38-17,,0,1,0.00,0,0,0,39.6,1,7,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,,0
39,1986,1986-11-23,12,25.100,DEN,@,NYG,L 16-19,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
40,1986,1986-11-30,13,25.107,DEN,,CIN,W 34-28,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
41,1986,1986-12-07,14,25.114,DEN,@,KAN,L 10-37,,2,5,40.00,39,0,1,28.3,0,0,7.80,-1.20,1,6,6.00,0,0,0,,0,0,0,0,0,,0
42,1986,1986-12-13,15,25.120,DEN,,WAS,W 31-30,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,
43,1986,1986-12-20,16,25.127,DEN,@,SEA,L 16-41,,3,6,50.00,22,0,0,59.0,1,8,3.67,3.67,2,14,7.00,0,0,0,,0,0,0,0,0,,0
