ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2013,2013-09-22,3,23.239,NYJ,,BUF,W 27-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,294,42.00,0
2,2013,2013-09-29,4,23.246,NYJ,@,TEN,L 13-38,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,245,49.00,0
3,2013,2013-10-07,5,23.254,NYJ,@,ATL,W 30-28,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,140,46.67,0
4,2013,2013-10-13,6,23.260,NYJ,,PIT,L 6-19,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,312,44.57,0
5,2013,2013-10-20,7,23.267,NYJ,,NWE,W 30-27,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,241,40.17,0
6,2013,2013-10-27,8,23.274,NYJ,@,CIN,L 9-49,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,248,49.60,0
7,2013,2013-11-03,9,23.281,NYJ,,NOR,W 26-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,222,44.40,0
8,2013,2013-11-17,10,23.295,NYJ,@,BUF,L 14-37,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,284,47.33,0
9,2013,2013-11-24,11,23.302,NYJ,@,BAL,L 3-19,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,8,411,51.38,0
10,2013,2013-12-01,12,23.309,NYJ,,MIA,L 3-23,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,316,45.14,0
11,2013,2013-12-08,13,23.316,NYJ,,OAK,W 37-27,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,2,85,42.50,0
12,2013,2013-12-15,14,23.323,NYJ,@,CAR,L 20-30,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,132,44.00,0
13,2013,2013-12-22,15,23.330,NYJ,,CLE,W 24-13,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,138,46.00,0
14,2013,2013-12-29,16,23.337,NYJ,@,MIA,W 20-7,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,210,42.00,0
15,2014,2014-09-07,1,24.224,NYJ,,OAK,W 19-14,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,221,44.20,0
16,2014,2014-09-14,2,24.231,NYJ,@,GNB,L 24-31,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,233,46.60,0
