ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,24.099,STL,,DEN,W 18-10,,0,0,0.0,,,1,14,0
2,2006,2006-09-17,2,24.106,STL,@,SFO,L 13-20,,,,,,,,,
3,2006,2006-09-24,3,24.113,STL,@,ARI,W 16-14,,,,,,,,,
4,2006,2006-10-01,4,24.120,STL,,DET,W 41-34,,,,,,,,,
5,2006,2006-10-08,5,24.127,STL,@,GNB,W 23-20,*,,,,,,,,
6,2006,2006-10-15,6,24.134,STL,,SEA,L 28-30,*,,,,,,,,
7,2006,2006-10-29,7,24.148,STL,@,SDG,L 24-38,,,,,,,,,
8,2006,2006-11-05,8,24.155,STL,,KAN,L 17-31,,,,,,,,,
9,2006,2006-11-12,9,24.162,STL,@,SEA,L 22-24,*,,,,,,,,
10,2006,2006-11-19,10,24.169,STL,@,CAR,L 0-15,*,0,0,0.0,,,1,6,0
11,2006,2006-11-26,11,24.176,STL,,SFO,W 20-17,*,0,0,0.0,,,1,0,0
12,2006,2006-12-03,12,24.183,STL,,ARI,L 20-34,*,,,,,,,,
13,2006,2006-12-11,13,24.191,STL,,CHI,L 27-42,*,,,,,,,,
14,2006,2006-12-17,14,24.197,STL,@,OAK,W 20-0,*,,,,,,,,
15,2006,2006-12-24,15,24.204,STL,,WAS,W 37-31,*,,,,,,,,
16,2006,2006-12-31,16,24.211,STL,@,MIN,W 41-21,*,,,,,,,,
17,2007,2007-09-09,1,25.098,STL,,CAR,L 13-27,*,,,,,,,,
18,2007,2007-10-14,6,25.133,STL,@,BAL,L 3-22,,,,,,,,,
19,2007,2007-10-21,7,25.140,STL,@,SEA,L 6-33,*,,,,,,,,
20,2007,2007-10-28,8,25.147,STL,,CLE,L 20-27,*,,,,,,,,
21,2007,2007-11-11,9,25.161,STL,@,NOR,W 37-29,*,,,,,,,,
22,2007,2007-11-18,10,25.168,STL,@,SFO,W 13-9,*,0,0,0.0,,,1,0,0
23,2007,2007-11-25,11,25.175,STL,,SEA,L 19-24,*,,,,,,,,
24,2007,2007-12-02,12,25.182,STL,,ATL,W 28-16,*,,,,,,,,
25,2008,2008-09-07,1,26.096,STL,@,PHI,L 3-38,*,0,0,0.0,6,0,0,0,0
26,2008,2008-09-14,2,26.103,STL,,NYG,L 13-41,*,0,0,0.0,6,0,0,0,0
27,2008,2008-09-21,3,26.110,STL,@,SEA,L 13-37,*,0,0,0.0,6,0,0,0,0
28,2008,2008-09-28,4,26.117,STL,,BUF,L 14-31,*,0,0,0.0,2,0,0,0,0
29,2009,2009-10-25,6,27.144,ATL,@,DAL,L 21-37,,,,,,,,,
30,2009,2009-11-02,7,27.152,ATL,@,NOR,L 27-35,*,0,0,0.0,4,0,0,0,0
31,2009,2009-11-08,8,27.158,ATL,,WAS,W 31-17,*,1,6,0.0,0,0,1,62,1
32,2009,2009-11-15,9,27.165,ATL,@,CAR,L 19-28,*,0,0,0.0,1,0,0,0,0
33,2009,2009-11-29,11,27.179,ATL,,TAM,W 20-17,,0,0,0.0,1,0,0,0,0
34,2009,2009-12-06,12,27.186,ATL,,PHI,L 7-34,,0,0,0.0,1,0,0,0,0
35,2009,2009-12-20,14,27.200,ATL,@,NYJ,W 10-7,,,,,,,,,
36,2009,2009-12-27,15,27.207,ATL,,BUF,W 31-3,,,,,,,,,
37,2010,2010-12-12,13,28.192,DET,,GNB,W 7-3,,,,,,,,,
38,2010,2010-12-19,14,28.199,DET,@,TAM,W 23-20,,0,0,0.0,0,0,0,0,0
39,2010,2010-12-26,15,28.206,DET,@,MIA,W 34-27,,0,0,0.0,1,0,0,0,0
40,2010,2011-01-02,16,28.213,DET,,MIN,W 20-13,*,0,0,0.0,1,0,0,0,0
