ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1991,1991-12-01,13,22.037,RAM,,WAS,L 6-27,2,9,4.50,0,,0,0,,0,,,0,0
2,1991,1991-12-08,14,22.044,RAM,,ATL,L 14-31,0,0,,0,,2,35,17.50,1,,,1,6
3,1991,1991-12-15,15,22.051,RAM,@,MIN,L 14-20,0,0,,0,,0,0,,0,,,0,
4,1991,1991-12-22,16,22.058,RAM,@,SEA,L 9-23,0,0,,0,,0,0,,0,,,0,
5,1993,1993-09-05,1,23.315,KAN,@,TAM,W 27-3,1,2,2.00,0,,0,0,,0,0.0%,,0,0
6,1993,1993-09-12,2,23.322,KAN,@,HOU,L 0-30,0,0,,0,,0,0,,0,0.0%,,0,
7,1993,1993-09-20,3,23.330,KAN,,DEN,W 15-7,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0
8,1993,1993-10-03,4,23.343,KAN,,RAI,W 24-9,0,0,,0,,0,0,,0,0.0%,,0,
9,1993,1993-10-10,5,23.350,KAN,,CIN,W 17-15,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0
10,1993,1993-10-17,6,23.357,KAN,@,SDG,W 17-14,0,0,,0,,0,0,,0,0.0%,,0,
11,1993,1993-10-31,7,24.006,KAN,@,MIA,L 10-30,1,0,0.00,0,,0,0,,0,0.0%,,0,0
12,1993,1993-11-08,8,24.014,KAN,,GNB,W 23-16,1,3,3.00,0,,0,0,,0,0.0%,,0,0
13,1993,1993-11-14,9,24.020,KAN,@,RAI,W 31-20,1,1,1.00,0,,0,0,,0,0.0%,,0,0
14,1993,1993-11-21,10,24.027,KAN,,CHI,L 17-19,0,0,,0,,0,0,,0,0.0%,,0,
15,1993,1993-11-28,11,24.034,KAN,,BUF,W 23-7,1,2,2.00,0,,0,0,,0,0.0%,,0,0
16,1993,1993-12-05,12,24.041,KAN,@,SEA,W 31-16,2,5,2.50,0,1,0,0,,0,0.0%,0.00,0,0
17,1993,1993-12-12,13,24.048,KAN,@,DEN,L 21-27,0,0,,0,,0,0,,0,0.0%,,0,
18,1993,1993-12-19,14,24.055,KAN,,SDG,W 28-24,0,0,,0,,0,0,,0,0.0%,,0,
19,1993,1993-12-26,15,24.062,KAN,@,MIN,L 10-30,1,-5,-5.00,0,,0,0,,0,0.0%,,0,0
20,1993,1994-01-02,16,24.069,KAN,,SEA,W 34-24,3,20,6.67,0,2,2,24,12.00,0,100.0%,12.00,0,0
