ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-23,1,22.323,RAM,,STL,L 21-43,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
2,1960,1960-10-02,2,22.332,RAM,@,SFO,L 9-13,0,0,,0,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6,0,0,,0
3,1960,1960-10-09,3,22.339,RAM,@,CHI,L 27-34,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
4,1960,1960-10-16,4,22.346,RAM,@,BAL,L 17-31,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2,0,0,,0
5,1960,1960-10-23,5,22.353,RAM,,CHI,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
6,1960,1960-10-30,6,22.360,RAM,,DET,W 48-35,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,2,2,100.0,0,12,0,0,,0
7,1960,1960-11-06,7,23.001,RAM,@,DAL,W 38-13,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,0,0,,0
8,1960,1960-11-13,8,23.008,RAM,@,DET,L 10-12,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
9,1960,1960-11-20,9,23.015,RAM,@,GNB,W 33-31,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0,0,,0
10,1960,1960-12-04,10,23.029,RAM,,SFO,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,2,0.0,0,0,0,0,,0
11,1960,1960-12-11,11,23.036,RAM,,BAL,W 10-3,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
12,1960,1960-12-17,12,23.042,RAM,,GNB,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,0,0,,0
13,1961,1961-09-17,1,23.316,RAM,@,BAL,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6,0,0,,0
