ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1975,1975-09-28,2,22.053,CIN,@,NOR,W 21-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0,0,0
2,1975,1975-10-05,3,22.060,CIN,@,HOU,W 21-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1975,1975-10-12,4,22.067,CIN,,NWE,W 27-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1975,1975-10-19,5,22.074,CIN,,OAK,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,2,79,1
5,1975,1975-10-26,6,22.081,CIN,@,ATL,W 21-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1975,1975-11-02,7,22.088,CIN,,PIT,L 24-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1975,1975-11-09,8,22.095,CIN,@,DEN,W 17-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1975,1975-11-17,9,22.103,CIN,,BUF,W 33-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1975,1975-11-23,10,22.109,CIN,@,CLE,L 23-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1975,1975-11-30,11,22.116,CIN,,HOU,W 23-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1975,1975-12-07,12,22.123,CIN,@,PHI,W 31-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,37,0
12,1975,1975-12-13,13,22.129,CIN,@,PIT,L 14-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
