ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2012,2012-09-30,4,23.306,BUF,,NWE,L 28-52,,0.0,0,0,5,209,41.80,0
2,2012,2012-10-07,5,23.313,BUF,@,SFO,L 3-45,,0.0,0,0,6,286,47.67,0
3,2012,2012-10-14,6,23.320,BUF,@,ARI,W 19-16,,0.0,0,0,8,352,44.00,0
4,2012,2012-10-21,7,23.327,BUF,,TEN,L 34-35,,0.0,0,0,1,22,22.00,0
5,2012,2012-11-04,8,23.341,BUF,@,HOU,L 9-21,,0.0,0,0,5,247,49.40,0
6,2012,2012-11-11,9,23.348,BUF,@,NWE,L 31-37,,0.0,0,0,2,100,50.00,0
7,2012,2012-11-15,10,23.352,BUF,,MIA,W 19-14,,0.0,0,0,7,317,45.29,0
8,2012,2012-11-25,11,23.362,BUF,@,IND,L 13-20,,0.0,0,0,7,314,44.86,0
9,2012,2012-12-02,12,24.003,BUF,,JAX,W 34-18,,0.0,0,0,4,178,44.50,0
10,2012,2012-12-09,13,24.010,BUF,,STL,L 12-15,,0.0,0,0,7,274,39.14,0
11,2012,2012-12-16,14,24.017,BUF,,SEA,L 17-50,,0.0,0,0,4,194,48.50,0
12,2012,2012-12-23,15,24.024,BUF,@,MIA,L 10-24,,0.0,0,0,4,171,42.75,0
13,2012,2012-12-30,16,24.031,BUF,,NYJ,W 28-9,,0.0,0,0,5,196,39.20,0
14,2013,2013-09-08,1,24.283,BUF,,NWE,L 21-23,,0.0,0,0,9,412,45.78,0
15,2013,2013-09-15,2,24.290,BUF,,CAR,W 24-23,,0.0,0,0,3,134,44.67,0
16,2013,2013-09-22,3,24.297,BUF,@,NYJ,L 20-27,,0.0,0,0,7,357,51.00,0
17,2013,2013-09-29,4,24.304,BUF,,BAL,W 23-20,,0.0,0,0,8,346,43.25,0
18,2013,2013-10-03,5,24.308,BUF,@,CLE,L 24-37,,0.0,1,0,8,364,45.50,0
19,2013,2013-12-22,15,25.023,CIN,,MIN,W 42-14,,0.0,0,0,4,160,40.00,0
20,2013,2013-12-29,16,25.030,CIN,,BAL,W 34-17,,0.0,0,0,3,108,36.00,0
