ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1968,1968-09-08,1,23.094,BUF,,BOS,L 7-16,9,5,0.56,0,2,-9,-4.50,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,0,0
2,1968,1968-09-15,2,23.101,BUF,,OAK,L 6-48,11,88,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,121,24.20,0,0,0,,0,0,0
3,1968,1968-09-22,3,23.108,BUF,@,CIN,L 23-34,13,45,3.46,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,157,52.33,1,0,0,,0,2,12
4,1968,1968-09-29,4,23.115,BUF,,NYJ,W 37-35,13,17,1.31,0,1,7,7.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,88,29.33,0,0,0,,0,0,0
5,1968,1968-10-05,5,23.121,BUF,,KAN,L 7-18,3,14,4.67,0,1,19,19.00,0,0,0,,0,0,0,,0,0,,,4,79,19.75,0,0,0,,0,0,0
6,1968,1968-10-12,6,23.128,BUF,@,MIA,T 14-14,10,72,7.20,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,2,58,29.00,0,0,0,,0,0,0
7,1968,1968-10-20,7,23.136,BUF,@,BOS,L 6-23,11,14,1.27,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,3,66,22.00,0,0,0,,0,0,0
8,1968,1968-10-27,8,23.143,BUF,,HOU,L 7-30,14,32,2.29,0,2,13,6.50,0,0,0,,0,0,0,,0,0,,,4,91,22.75,0,0,0,,0,0,0
9,1968,1968-11-03,9,23.150,BUF,@,NYJ,L 21-25,13,32,2.46,0,1,15,15.00,0,0,0,,0,0,0,,0,0,,,4,82,20.50,0,0,0,,0,0,0
10,1968,1968-11-10,10,23.157,BUF,,MIA,L 17-21,11,54,4.91,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,3,74,24.67,0,0,0,,0,0,0
11,1968,1968-11-17,11,23.164,BUF,,SDG,L 6-21,12,40,3.33,0,5,13,2.60,0,0,0,,0,0,0,,0,0,,,2,26,13.00,0,0,0,,0,0,0
12,1968,1968-11-24,12,23.171,BUF,@,DEN,L 32-34,9,3,0.33,0,4,17,4.25,0,0,0,,0,0,0,,0,0,,,1,37,37.00,0,0,0,,0,0,0
13,1968,1968-11-28,13,23.175,BUF,@,OAK,L 10-13,11,60,5.45,1,2,31,15.50,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,,0,1,6
14,1968,1968-12-07,14,23.184,BUF,@,HOU,L 6-35,7,49,7.00,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,3,53,17.67,0,0,0,,0,0,0
15,1969,1969-09-14,1,24.100,BUF,,NYJ,L 19-33,0,0,,0,2,32,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0
16,1969,1969-09-21,2,24.107,BUF,,HOU,L 3-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,28,28.00,0,5,42,8.40,0,0,0
17,1969,1969-09-28,3,24.114,BUF,,DEN,W 41-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0
18,1969,1969-10-05,4,24.121,BUF,@,HOU,L 14-28,1,6,6.00,1,3,34,11.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,13,4.33,0,1,6
19,1969,1969-10-11,5,24.127,BUF,,BOS,W 23-16,10,46,4.60,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,3,3.00,0,0,0
20,1969,1969-11-09,9,24.156,BUF,@,NYJ,L 6-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,0,0
21,1969,1969-11-16,10,24.163,BUF,,MIA,W 28-3,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,15,7.50,0,0,0
22,1969,1969-11-23,11,24.170,BUF,@,BOS,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,0,0
23,1969,1969-12-07,13,24.184,BUF,@,KAN,L 19-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,3,32,10.67,0,0,0
24,1969,1969-12-14,14,24.191,BUF,@,SDG,L 6-45,1,16,16.00,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,0,0
