ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-10-26,8,25.273,MIA,@,IND,W 17-13,0,0,,0,0,0,,0,2,56,28.00,0,2,11,5.50,0,0,0
2,1986,1986-11-02,9,25.280,MIA,,HOU,W 28-7,0,0,,0,0,0,,0,0,0,,0,5,25,5.00,0,0,0
3,1986,1986-11-10,10,25.288,MIA,@,CLE,L 16-26,0,0,,0,0,0,,0,3,60,20.00,0,1,5,5.00,0,0,0
4,1986,1986-11-16,11,25.294,MIA,@,BUF,W 34-24,0,0,,0,0,0,,0,4,90,22.50,0,4,18,4.50,0,0,0
5,1986,1986-11-24,12,25.302,MIA,,NYJ,W 45-3,3,6,2.00,0,0,0,,0,1,14,14.00,0,2,10,5.00,0,0,0
6,1986,1986-11-30,13,25.308,MIA,,ATL,L 14-20,0,0,,0,0,0,,0,2,49,24.50,0,4,24,6.00,0,0,0
7,1986,1986-12-07,14,25.315,MIA,@,NOR,W 31-27,0,0,,0,0,0,,0,3,79,26.33,0,1,0,0.00,0,0,0
8,1986,1986-12-14,15,25.322,MIA,@,RAM,W 37-31,0,0,,0,0,0,,0,6,106,17.67,0,3,28,9.33,0,0,0
9,1986,1986-12-22,16,25.330,MIA,,NWE,L 27-34,0,0,,0,0,0,,0,4,87,21.75,0,2,28,14.00,0,0,0
10,1987,1987-10-04,3,26.251,RAI,,KAN,W 35-17,12,70,5.83,2,1,15,15.00,0,0,0,,0,0,0,,0,2,12
11,1987,1987-10-12,4,26.259,RAI,@,DEN,L 14-30,9,32,3.56,0,4,24,6.00,0,0,0,,0,0,0,,0,0,0
12,1987,1987-10-18,5,26.265,RAI,,SDG,L 17-23,12,36,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
