ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-10-17,5,26.282,DAL,@,MIN,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
2,2010,2010-10-25,6,26.290,DAL,,NYG,L 35-41,,,,,,,0.0%,,,,,,,,
3,2010,2010-10-31,7,26.296,DAL,,JAX,L 17-35,,,,,,,0.0%,,,,,,,,
4,2010,2010-11-07,8,26.303,DAL,@,GNB,L 7-45,,,,,,,0.0%,,,,,,,,
5,2010,2010-11-14,9,26.310,DAL,@,NYG,W 33-20,,,,,,,0.0%,,,,,,,,
6,2010,2010-11-21,10,26.317,DAL,,DET,W 35-19,,,,,,,0.0%,,,,,,,,
7,2010,2010-11-25,11,26.321,DAL,,NOR,L 27-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
8,2010,2010-12-05,12,26.331,DAL,@,IND,W 38-35,,0,0,0,,0,0.0%,,1,2,2.00,0,0.0,0,0
9,2010,2010-12-12,13,26.338,DAL,,PHI,L 27-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
10,2010,2010-12-19,14,26.345,DAL,,WAS,W 33-30,,,,,,,0.0%,,,,,,,,
11,2010,2010-12-25,15,26.351,DAL,@,ARI,L 26-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
12,2010,2011-01-02,16,26.359,DAL,@,PHI,W 14-13,,,,,,,0.0%,,,,,,,,
13,2011,2011-09-11,1,27.246,DAL,@,NYJ,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
14,2011,2011-09-18,2,27.253,DAL,@,SFO,W 27-24,,3,3,96,32.00,0,100.0%,32.00,0,0,,0,0.0,0,0
15,2011,2011-09-26,3,27.261,DAL,,WAS,W 18-16,,,,,,,0.0%,,,,,,,,
16,2011,2011-10-02,4,27.267,DAL,,DET,L 30-34,,,,,,,0.0%,,,,,,,,
17,2011,2011-10-16,5,27.281,DAL,@,NWE,L 16-20,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
18,2011,2011-10-23,6,27.288,DAL,,STL,W 34-7,,,,,,,0.0%,,,,,,,,
19,2011,2011-10-30,7,27.295,DAL,@,PHI,L 7-34,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
20,2011,2011-11-06,8,27.302,DAL,,SEA,W 23-13,,0,,,,,0.0%,,,,,,,,
21,2011,2011-11-13,9,27.309,DAL,,BUF,W 44-7,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0.0,0,0
22,2011,2011-11-20,10,27.316,DAL,@,WAS,W 27-24,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0.0,0,0
23,2011,2011-11-24,11,27.320,DAL,,MIA,W 20-19,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
24,2011,2011-12-04,12,27.330,DAL,@,ARI,L 13-19,,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0.0,0,0
25,2011,2011-12-11,13,27.337,DAL,,NYG,L 34-37,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
26,2011,2011-12-17,14,27.343,DAL,@,TAM,W 31-15,,,,,,,0.0%,,,,,,,,
27,2011,2011-12-24,15,27.350,DAL,,PHI,L 7-20,,0,0,0,,0,0.0%,,1,15,15.00,0,0.0,0,0
28,2011,2012-01-01,16,27.358,DAL,@,NYG,L 14-31,,,,,,,0.0%,,,,,,,,
