ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1985,1985-09-22,3,23.285,NYG,,STL,W 27-17,0,0,,0,3,3,100.0,2,3,66.7,0,9
2,1985,1985-09-29,4,23.292,NYG,@,PHI,W 16-10,0,0,,0,1,1,100.0,1,3,33.3,0,4
3,1985,1985-10-06,5,23.299,NYG,,DAL,L 29-30,0,0,,0,2,3,66.7,3,3,100.0,0,11
4,1985,1985-10-13,6,23.306,NYG,@,CIN,L 30-35,1,14,14.00,1,3,3,100.0,3,3,100.0,1,18
5,1985,1985-10-20,7,23.313,NYG,,WAS,W 17-3,0,0,,0,2,2,100.0,1,1,100.0,0,5
6,1985,1985-10-27,8,23.320,NYG,@,NOR,W 21-13,0,0,,0,3,3,100.0,,2,0.0,0,3
7,1985,1985-11-04,9,23.328,STL,,DAL,W 21-10,0,0,,0,3,3,100.0,,1,0.0,0,3
8,1985,1985-11-10,10,23.334,STL,@,TAM,L 0-16,0,0,,0,,,,,2,0.0,0,0
9,1986,1986-12-21,16,25.010,WAS,@,PHI,W 21-14,0,0,,0,3,3,100.0,,,,0,3
10,1987,1987-09-13,1,25.276,WAS,,PHI,W 34-24,0,0,,0,1,1,100.0,1,1,100.0,0,4
11,1988,1988-09-19,3,26.283,IND,@,CLE,L 17-23,,,,,,,,,,,,
