ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1982,1982-09-12,1,27.346,RAM,@,GNB,L 23-35,7,299,42.71,0
2,1982,1982-09-19,2,27.353,RAM,,DET,L 14-19,4,159,39.75,0
3,1982,1982-11-21,3,28.051,RAM,@,ATL,L 17-34,3,150,50.00,0
4,1982,1982-11-28,4,28.058,RAM,,KAN,W 20-14,4,188,47.00,0
5,1982,1982-12-02,5,28.062,RAM,,SFO,L 24-30,6,248,41.33,0
6,1982,1982-12-12,6,28.072,RAM,,DEN,L 24-27,6,285,47.50,1
7,1982,1982-12-18,7,28.078,RAM,@,RAI,L 31-37,6,250,41.67,0
8,1982,1982-12-26,8,28.086,RAM,,CHI,L 26-34,1,42,42.00,0
9,1982,1983-01-02,9,28.093,RAM,@,SFO,W 21-20,8,340,42.50,0
10,1983,1983-09-04,1,28.338,RAM,@,NYG,W 16-6,4,147,36.75,0
11,1983,1983-09-11,2,28.345,RAM,,NOR,W 30-27,5,198,39.60,0
12,1983,1983-09-18,3,28.352,RAM,@,GNB,L 24-27,6,248,41.33,0
13,1983,1983-09-25,4,28.359,RAM,@,NYJ,L 24-27,4,163,40.75,0
14,1983,1983-10-02,5,29.001,RAM,,DET,W 21-10,5,187,37.40,0
15,1983,1983-10-09,6,29.008,RAM,@,SFO,W 10-7,7,311,44.43,0
16,1983,1983-10-16,7,29.015,RAM,,ATL,W 27-21,4,160,40.00,0
17,1983,1983-10-23,8,29.022,RAM,,SFO,L 35-45,4,129,32.25,0
18,1983,1983-10-30,9,29.029,RAM,@,MIA,L 14-30,5,199,39.80,0
19,1983,1983-11-06,10,29.036,RAM,,CHI,W 21-14,6,223,37.17,1
20,1983,1983-11-14,11,29.044,RAM,@,ATL,W 36-13,3,125,41.67,0
21,1983,1983-11-20,12,29.050,RAM,,WAS,L 20-42,4,168,42.00,0
22,1983,1983-11-27,13,29.057,RAM,,BUF,W 41-17,5,213,42.60,0
23,1983,1983-12-04,14,29.064,RAM,@,PHI,L 9-13,6,198,33.00,0
24,1983,1983-12-11,15,29.071,RAM,,NWE,L 7-21,6,245,40.83,0
25,1983,1983-12-18,16,29.078,RAM,@,NOR,W 26-24,8,387,48.38,0
26,1984,1984-09-03,1,29.338,RAM,,DAL,L 13-20,5,200,40.00,0
27,1984,1984-09-09,2,29.344,RAM,,CLE,W 20-17,4,170,42.50,0
28,1984,1984-09-16,3,29.351,RAM,@,PIT,L 14-24,7,310,44.29,0
29,1984,1984-09-23,4,29.358,RAM,@,CIN,W 24-14,4,156,39.00,0
30,1984,1984-09-30,5,29.365,RAM,,NYG,W 33-12,7,283,40.43,0
31,1984,1984-10-07,6,30.006,RAM,,ATL,L 28-30,4,168,42.00,0
32,1984,1984-10-14,7,30.013,RAM,@,NOR,W 28-10,5,193,38.60,0
33,1984,1984-10-22,8,30.021,RAM,@,ATL,W 24-10,5,185,37.00,0
34,1984,1984-10-28,9,30.027,RAM,,SFO,L 0-33,6,239,39.83,0
35,1984,1984-11-04,10,30.034,RAM,@,STL,W 16-13,6,203,33.83,0
36,1984,1984-11-11,11,30.041,RAM,,CHI,W 29-13,2,89,44.50,0
37,1984,1984-11-18,12,30.048,RAM,@,GNB,L 6-31,6,204,34.00,0
38,1984,1984-11-25,13,30.055,RAM,@,TAM,W 34-33,3,97,32.33,0
39,1984,1984-12-02,14,30.062,RAM,,NOR,W 34-21,4,146,36.50,0
40,1984,1984-12-09,15,30.069,RAM,,HOU,W 27-16,2,72,36.00,0
41,1984,1984-12-14,16,30.074,RAM,@,SFO,L 16-19,4,151,37.75,0
42,1987,1987-10-18,5,33.017,DET,,SEA,L 14-37,6,242,40.33,0
