ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,23.301,GNB,,RAM,L 7-34,,,,,,,,,
2,1988,1988-09-11,2,23.308,GNB,,TAM,L 10-13,,,,,,,,,
3,1988,1988-09-18,3,23.315,GNB,@,MIA,L 17-24,0,0,,0,0,0,1,0,0
4,1988,1988-09-25,4,23.322,GNB,,CHI,L 6-24,,,,,,,,,
5,1988,1988-10-02,5,23.329,GNB,@,TAM,L 24-27,0,0,,0,0,0,2,56,0
6,1988,1988-10-09,6,23.336,GNB,,NWE,W 45-3,0,0,,0,0,0,1,0,0
7,1988,1988-10-16,7,23.343,GNB,@,MIN,W 34-14,,,,,,,,,
8,1988,1988-10-23,8,23.350,GNB,,WAS,L 17-20,,,,,,,,,
9,1988,1988-10-30,9,23.357,GNB,@,BUF,L 0-28,,,,,,,,,
10,1988,1988-11-06,10,23.364,GNB,@,ATL,L 0-20,,,,,,,,,
11,1988,1988-11-13,11,24.005,GNB,,IND,L 13-20,,,,,,,,,
12,1988,1988-11-20,12,24.012,GNB,,DET,L 9-19,,,,,,,,,
13,1988,1988-11-27,13,24.019,GNB,@,CHI,L 0-16,,,,,,,,,
14,1988,1988-12-04,14,24.026,GNB,@,DET,L 14-30,,,,,,,,,
15,1988,1988-12-11,15,24.033,GNB,,MIN,W 18-6,,,,,,,,,
16,1988,1988-12-18,16,24.040,GNB,@,PHO,W 26-17,,,,,,,,,
17,1989,1989-10-29,8,24.355,GNB,,DET,W 23-20,,,,,,,,,
18,1989,1989-11-05,9,24.362,GNB,,CHI,W 14-13,,,,,,,,,
19,1989,1989-11-12,10,25.004,GNB,@,DET,L 22-31,,,,,,,,,
20,1989,1989-11-19,11,25.011,GNB,@,SFO,W 21-17,0,0,,0,0,0,1,16,0
21,1989,1989-11-26,12,25.018,GNB,,MIN,W 20-19,,,,,,,,,
22,1989,1989-12-03,13,25.025,GNB,@,TAM,W 17-16,,,,,,,,,
23,1989,1989-12-10,14,25.032,GNB,,KAN,L 3-21,,,,,,,,,
24,1989,1989-12-17,15,25.039,GNB,@,CHI,W 40-28,,,,,,,,,
25,1989,1989-12-24,16,25.046,GNB,@,DAL,W 20-10,,,,,,,,,
26,1990,1990-10-14,6,25.340,GNB,@,TAM,L 14-26,,,,,,,,,
27,1990,1990-10-28,7,25.354,GNB,,MIN,W 24-10,,,,,,,,,
28,1990,1990-11-04,8,25.361,GNB,,SFO,L 20-24,,,,,,,,,
29,1990,1990-11-11,9,26.003,GNB,@,RAI,W 29-16,,,,,,,,,
30,1990,1990-11-18,10,26.010,GNB,@,PHO,W 24-21,0,0,,0,0,0,1,0,0
31,1990,1990-11-25,11,26.017,GNB,,TAM,W 20-10,,,,,,,,,
32,1990,1990-12-02,12,26.024,GNB,@,MIN,L 7-23,,,,,,,,,
33,1990,1990-12-09,13,26.031,GNB,,SEA,L 14-20,,,,,,,,,
34,1990,1990-12-16,14,26.038,GNB,@,PHI,L 0-31,,,,,,,,,
35,1991,1991-09-01,1,26.297,GNB,,PHI,L 3-20,,,,,,,,,
36,1991,1991-09-08,2,26.304,GNB,@,DET,L 14-23,,,,,,,,,
37,1991,1991-09-15,3,26.311,GNB,,TAM,W 15-13,,,,,,,,,
38,1991,1991-09-22,4,26.318,GNB,@,MIA,L 13-16,,,,,,,,,
39,1991,1991-09-29,5,26.325,GNB,@,RAM,L 21-23,,,,,,,,,
40,1991,1991-10-06,6,26.332,GNB,,DAL,L 17-20,,,,,,,,,
41,1991,1991-10-17,7,26.343,GNB,,CHI,L 0-10,0,0,,0,0,0,1,18,0
42,1991,1991-10-27,8,26.353,GNB,@,TAM,W 27-0,0,0,,0,0,0,1,26,0
43,1991,1991-11-03,9,26.360,GNB,@,NYJ,L 16-19,,,,,,,,,
44,1991,1991-11-10,10,27.002,GNB,,BUF,L 24-34,,,,,,,,,
45,1991,1991-11-17,11,27.009,GNB,,MIN,L 21-35,,,,,,,,,
46,1991,1991-11-24,12,27.016,GNB,,IND,W 14-10,,,,,,,,,
47,1991,1991-12-01,13,27.023,GNB,@,ATL,L 31-35,,,,,,,,,
48,1991,1991-12-08,14,27.030,GNB,@,CHI,L 13-27,,,,,,,,,
49,1991,1991-12-15,15,27.037,GNB,,DET,L 17-21,,,,,,,,,
50,1991,1991-12-21,16,27.043,GNB,@,MIN,W 27-7,0,0,,0,0,0,1,32,0
51,1992,1992-09-06,1,27.303,GNB,,MIN,L 20-23,0,0,,0,,,,,
52,1992,1992-09-13,2,27.310,GNB,@,TAM,L 3-31,0,0,,0,,,,,
53,1992,1992-09-20,3,27.317,GNB,,CIN,W 24-23,0,0,,0,,,,,
54,1992,1992-09-27,4,27.324,GNB,,PIT,W 17-3,0,0,,0,,,,,
55,1992,1992-10-04,5,27.331,GNB,@,ATL,L 10-24,0,0,,0,,,,,
56,1992,1992-10-18,6,27.345,GNB,@,CLE,L 6-17,0,0,,0,,,,,
57,1992,1992-10-25,7,27.352,GNB,,CHI,L 10-30,0,0,,0,,,,,
58,1992,1992-11-01,8,27.359,GNB,@,DET,W 27-13,0,0,,0,,,,,
59,1992,1992-11-08,9,28.000,GNB,@,NYG,L 7-27,0,0,,0,,,,,
60,1992,1992-11-15,10,28.007,GNB,,PHI,W 27-24,0,0,,0,,,,,
61,1992,1992-11-22,11,28.014,GNB,@,CHI,W 17-3,0,0,,0,0,0,1,21,0
62,1992,1992-11-29,12,28.021,GNB,,TAM,W 19-14,1,0,0.00,0,0,0,1,0,0
63,1992,1992-12-06,13,28.028,GNB,,DET,W 38-10,0,0,,0,,,,,
64,1992,1992-12-13,14,28.035,GNB,@,HOU,W 16-14,0,0,,0,0,0,1,29,0
65,1992,1992-12-20,15,28.042,GNB,,RAM,W 28-13,0,0,,0,0,0,1,2,0
66,1992,1992-12-27,16,28.049,GNB,@,MIN,L 7-27,0,0,,0,,,,,
67,1993,1993-09-05,1,28.301,PHO,@,PHI,L 17-23,,,,,,,,,
68,1993,1993-09-12,2,28.308,PHO,@,WAS,W 17-10,,,,,,,,,
69,1993,1993-09-19,3,28.315,PHO,,DAL,L 10-17,,,,,,,,,
70,1993,1993-09-26,4,28.322,PHO,@,DET,L 20-26,,,,,,,,,
71,1993,1993-10-10,5,28.336,PHO,,NWE,L 21-23,,,,,,,,,
72,1993,1993-10-17,6,28.343,PHO,,WAS,W 36-6,,,,,,,,,
73,1993,1993-10-24,7,28.350,PHO,@,SFO,L 14-28,,,,,,,,,
74,1993,1993-10-31,8,28.357,PHO,,NOR,L 17-20,,,,,,,,,
75,1993,1993-11-07,9,28.364,PHO,,PHI,W 16-3,,,,,,,,,
76,1993,1993-11-14,10,29.006,PHO,@,DAL,L 15-20,,,,,,,,,
77,1993,1993-11-28,11,29.020,PHO,@,NYG,L 17-19,,,,,,,,,
78,1993,1993-12-05,12,29.027,PHO,,RAM,W 38-10,,,,,,,,,
79,1993,1993-12-12,13,29.034,PHO,,DET,L 14-21,,,,,,,,,
80,1993,1993-12-19,14,29.041,PHO,@,SEA,W 30-27,,,,,,,,,
81,1993,1993-12-26,15,29.048,PHO,,NYG,W 17-6,,,,,,,,,
82,1995,1995-09-17,3,30.313,HOU,,CLE,L 7-14,,,,,,,,,
