ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2017,2017-09-10,1,22.160,DET,,ARI,W 35-23,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0,3,48,16.00,0,0,0,0.0,1,0
2,2017,2017-09-18,2,22.168,DET,@,NYG,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,3,101,33.67,1,1,6,0.0,0,0
3,2017,2017-09-24,3,22.174,DET,,ATL,L 26-30,,0,0,,0,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
4,2017,2017-10-01,4,22.181,DET,@,MIN,W 14-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2017,2017-10-08,5,22.188,DET,,CAR,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,1,6,6.00,0,0,0,0.0,0,0
6,2017,2017-10-15,6,22.195,DET,@,NOR,L 38-52,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,4,106,26.50,1,1,6,0.0,0,0
7,2017,2017-10-29,7,22.209,DET,,PIT,L 15-20,,0,0,,0,1,1,12,12.00,0,100.0%,12.00,1,20,20.00,0,2,21,10.50,0,0,0,0.0,0,0
8,2017,2017-11-06,8,22.217,DET,@,GNB,W 30-17,,1,4,4.00,0,0,0,0,,0,0.0%,,1,12,12.00,0,2,9,4.50,0,0,0,0.0,0,0
9,2017,2017-11-12,9,22.223,DET,,CLE,W 38-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,56,14.00,0,0,0,0.0,0,0
10,2017,2017-11-19,10,22.230,DET,@,CHI,W 27-24,,1,5,5.00,0,0,0,0,,0,0.0%,,4,74,18.50,0,3,23,7.67,0,0,0,0.0,0,0
11,2017,2017-12-16,14,22.257,DET,,CHI,W 20-10,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,4,46,11.50,0,0,0,0.0,0,0
12,2017,2017-12-24,15,22.265,DET,@,CIN,L 17-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2017,2017-12-31,16,22.272,DET,,GNB,W 35-11,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,31,10.33,0,0,0,0.0,4,0
14,2018,2018-09-10,1,23.160,DET,,NYJ,L 17-48,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0
15,2018,2018-09-16,2,23.166,DET,@,SFO,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,5,144,28.80,0,4,11,2.75,0,0,0,0.0,0,0
16,2018,2018-09-23,3,23.173,DET,,NWE,W 26-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,28,9.33,0,0,0,0.0,1,0
