ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1954,1954-10-03,2,24.334,GNB,,CHI,L 3-10,1,2,2.00,0,0,0,,0,0,
2,1954,1954-10-30,6,24.361,GNB,@,PHI,W 37-14,1,3,3.00,0,0,0,,0,0,
3,1954,1954-11-07,7,25.004,GNB,@,CHI,L 23-28,0,0,,0,2,21,10.50,0,0,
4,1954,1954-12-05,11,25.032,GNB,@,SFO,L 0-35,3,16,5.33,0,2,18,9.00,0,0,
5,1954,1954-12-12,12,25.039,GNB,@,RAM,L 27-35,2,10,5.00,0,6,33,5.50,1,1,
6,1955,1955-09-25,1,25.326,GNB,,DET,W 20-17,1,-4,-4.00,0,1,-6,-6.00,0,0,
7,1955,1955-10-02,2,25.333,GNB,,CHI,W 24-3,0,0,,0,1,6,6.00,0,0,
8,1955,1955-10-16,4,25.347,GNB,,RAM,W 30-28,0,0,,0,1,10,10.00,0,0,
9,1955,1955-10-23,5,25.354,GNB,@,CLE,L 10-41,2,14,7.00,0,0,0,,0,0,
10,1955,1955-11-13,8,26.010,GNB,,CRD,W 31-14,16,78,4.88,0,0,0,,0,0,
11,1955,1955-11-20,9,26.017,GNB,,SFO,W 27-21,13,46,3.54,0,1,34,34.00,1,1,
12,1955,1955-11-24,10,26.021,GNB,@,DET,L 10-24,8,36,4.50,0,2,16,8.00,0,0,
13,1955,1955-12-04,11,26.031,GNB,@,SFO,W 28-7,5,22,4.40,0,0,0,,0,0,
14,1955,1955-12-11,12,26.038,GNB,@,RAM,L 17-31,4,18,4.50,0,3,11,3.67,0,0,
15,1956,1956-09-30,1,26.332,GNB,,DET,L 16-20,1,3,3.00,0,1,20,20.00,0,0,
16,1956,1956-10-07,2,26.339,GNB,,CHI,L 21-37,0,0,,0,4,43,10.75,0,0,
17,1956,1956-10-14,3,26.346,GNB,,BAL,W 38-33,9,36,4.00,0,1,7,7.00,0,0,
18,1956,1956-10-21,4,26.353,GNB,,RAM,W 42-17,6,23,3.83,0,0,0,,0,0,
19,1956,1956-10-28,5,26.360,GNB,@,BAL,L 21-28,3,2,0.67,0,5,27,5.40,0,0,
20,1956,1956-11-04,6,27.001,GNB,,CLE,L 7-24,6,22,3.67,0,3,19,6.33,0,0,
21,1956,1956-11-11,7,27.008,GNB,@,CHI,L 14-38,0,0,,0,1,5,5.00,0,0,
22,1956,1956-11-18,8,27.015,GNB,,SFO,L 16-17,4,17,4.25,0,0,0,,0,0,
23,1956,1956-11-22,9,27.019,GNB,@,DET,W 24-20,0,0,,0,3,33,11.00,0,0,
24,1956,1956-12-02,10,27.029,GNB,@,CRD,W 24-21,0,0,,0,2,17,8.50,0,0,
25,1956,1956-12-08,11,27.035,GNB,@,SFO,L 20-38,0,0,,0,4,57,14.25,0,0,
26,1956,1956-12-16,12,27.043,GNB,@,RAM,L 21-49,6,26,4.33,0,4,30,7.50,0,0,
27,1957,1957-10-06,2,27.337,GNB,,DET,L 14-24,2,6,3.00,0,0,0,,0,0,
28,1957,1957-12-08,11,28.035,GNB,@,RAM,L 17-42,0,0,,0,3,30,10.00,0,0,
29,1957,1957-12-15,12,28.042,GNB,@,SFO,L 20-27,0,0,,0,4,45,11.25,1,1,
30,1958,1958-11-09,7,29.006,GNB,@,CHI,L 10-24,0,0,,0,2,76,38.00,0,0,
31,1958,1958-11-23,9,29.020,GNB,,SFO,L 12-33,0,0,,0,3,34,11.33,0,0,
32,1958,1958-11-27,10,29.024,GNB,@,DET,L 14-24,0,0,,0,1,4,4.00,0,0,
33,1958,1958-12-07,11,29.034,GNB,@,SFO,L 21-48,0,0,,0,3,54,18.00,1,1,
34,1958,1958-12-14,12,29.041,GNB,@,RAM,L 20-34,0,0,,0,1,8,8.00,0,0,
35,1960,1960-11-04,8,31.001,BOS,,OAK,W 34-28,0,0,,0,1,10,10.00,0,0,0
36,1960,1960-11-11,9,31.008,BOS,,NYT,W 38-21,0,0,,0,1,8,8.00,0,0,0
37,1960,1960-11-18,10,31.015,BOS,,DTX,W 42-14,0,0,,0,3,35,11.67,2,2,12
38,1960,1960-11-25,11,31.022,BOS,,HOU,L 10-24,0,0,,0,5,123,24.60,1,1,6
39,1960,1960-12-11,13,31.038,BOS,@,DTX,L 0-34,0,0,,0,1,10,10.00,0,0,0
40,1961,1961-10-22,7,31.353,BOS,,BUF,W 52-21,0,0,,0,2,-2,-1.00,0,0,0
41,1961,1961-10-29,8,31.360,BOS,@,DTX,W 18-17,0,0,,0,4,34,8.50,1,1,6
42,1961,1961-11-03,9,32.000,BOS,,DTX,W 28-21,0,0,,0,1,21,21.00,0,0,0
43,1961,1961-11-12,10,32.009,BOS,@,HOU,L 15-27,0,0,,0,2,29,14.50,0,0,0
