ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1996,1996-09-01,1,26.049,PIT,@,JAX,L 9-24,,0,0,,0,0,0,,0,0,0,,0,0,,,6,237,39.50,0
2,1996,1996-09-08,2,26.056,PIT,,BAL,W 31-17,,0,0,,0,0,0,,0,0,0,,0,0,,,2,76,38.00,0
3,1996,1996-09-16,3,26.064,PIT,,BUF,W 24-6,,0,0,,0,0,0,,0,0,0,,0,0,,,3,78,26.00,0
4,1996,1996-10-27,8,26.105,PIT,@,ATL,W 20-17,,0,0,,0,0,0,,0,0,0,,0,0,,,4,201,50.25,0
5,1996,1996-11-03,9,26.112,PIT,,STL,W 42-6,,0,0,,0,0,0,,0,0,0,,0,0,,,5,190,38.00,0
6,1996,1996-11-10,10,26.119,PIT,@,CIN,L 24-34,,0,0,,0,0,0,,0,0,0,,0,0,,,3,128,42.67,0
7,1996,1996-11-17,11,26.126,PIT,,JAX,W 28-3,,0,0,,0,0,0,,0,0,0,,0,0,,,6,239,39.83,0
8,1996,1996-11-25,12,26.134,PIT,@,MIA,W 24-17,,0,0,,0,0,0,,0,0,0,,0,0,,,3,149,49.67,0
9,1996,1996-12-01,13,26.140,PIT,@,BAL,L 17-31,,0,0,,0,0,0,,0,0,0,,0,0,,,6,242,40.33,0
10,1996,1996-12-08,14,26.147,PIT,,SDG,W 16-3,,0,0,,0,0,0,,0,0,0,,0,0,,,5,233,46.60,0
11,1996,1996-12-15,15,26.154,PIT,,SFO,L 15-25,,0,0,,0,0,0,,0,0,0,,0,0,,,4,167,41.75,0
12,1996,1996-12-22,16,26.161,PIT,@,CAR,L 14-18,,0,0,,0,0,0,,0,0,0,,0,0,,,8,316,39.50,0
13,1997,1997-08-31,1,27.048,PIT,,DAL,L 7-37,,0,0,,0,0,0,,0,0,0,,,,,,8,375,46.88,0
14,1997,1997-09-07,2,27.055,PIT,,WAS,W 14-13,,0,0,,0,0,0,,0,0,0,,,,,,2,90,45.00,0
15,1997,1997-09-22,3,27.070,PIT,@,JAX,L 21-30,,0,0,,0,0,0,,0,0,0,,,,,,2,78,39.00,0
16,1997,1997-09-28,4,27.076,PIT,,TEN,W 37-24,,0,0,,0,0,0,,0,0,0,,,,,,2,78,39.00,0
