ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1966,1966-10-16,5,23.182,BAL,,DET,W 45-14,0,0,,0,0,0,,0,1,7,0
2,1966,1966-11-20,10,23.217,BAL,@,DET,L 14-20,0,0,,0,2,14,7.00,0,0,0,0
3,1969,1969-11-23,11,26.220,BOS,,BUF,W 35-21,1,15,15.00,0,0,0,,0,0,0,0
4,1969,1969-12-07,13,26.234,BOS,@,SDG,L 18-28,5,54,10.80,0,0,0,,0,0,0,0
5,1970,1970-09-20,1,27.156,BOS,,MIA,W 27-14,1,13,13.00,0,0,0,,0,0,0,0
6,1970,1970-09-27,2,27.163,BOS,,NYJ,L 21-31,1,15,15.00,0,0,0,,0,0,0,0
7,1970,1970-10-04,3,27.170,BOS,,BAL,L 6-14,,,,,,,,,,,
8,1970,1970-10-11,4,27.177,BOS,@,KAN,L 10-23,,,,,,,,,,,
9,1970,1970-10-18,5,27.184,BOS,,NYG,L 0-16,2,16,8.00,0,0,0,,0,0,0,0
10,1970,1970-10-25,6,27.191,BOS,@,BAL,L 3-27,2,8,4.00,0,0,0,,0,0,0,0
11,1970,1970-11-01,7,27.198,BOS,,BUF,L 10-45,3,46,15.33,0,0,0,,0,0,0,0
12,1970,1970-11-08,8,27.205,BOS,@,STL,L 0-31,4,28,7.00,0,0,0,,0,0,0,0
13,1970,1970-11-15,9,27.212,BOS,,SDG,L 14-16,2,19,9.50,0,0,0,,0,0,0,0
14,1970,1970-11-22,10,27.219,BOS,@,NYJ,L 3-17,,,,,,,,,,,
15,1970,1970-11-29,11,27.226,BOS,@,BUF,W 14-10,0,0,,0,1,0,0.00,0,0,0,0
16,1970,1970-12-06,12,27.233,BOS,@,MIA,L 20-37,,,,,,,,,,,
17,1970,1970-12-13,13,27.240,BOS,,MIN,L 14-35,,,,,,,,,,,
18,1970,1970-12-20,14,27.247,BOS,@,CIN,L 7-45,,,,,,,,,,,
