ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-30,5,23.016,PHI,@,WAS,L 0-20,,,,,,,,
2,1984,1984-10-07,6,23.023,PHI,@,BUF,W 27-17,,,,,,,,
3,1984,1984-10-14,7,23.030,PHI,,IND,W 16-7,,,,,,,,
4,1984,1984-10-21,8,23.037,PHI,,NYG,W 24-10,,,,,,,,
5,1984,1984-10-28,9,23.044,PHI,,STL,L 14-34,,,,,,,,
6,1984,1984-11-04,10,23.051,PHI,@,DET,T 23-23,,,,,,,,
7,1984,1984-11-11,11,23.058,PHI,@,MIA,L 23-24,,,,,,,,
8,1984,1984-11-18,12,23.065,PHI,,WAS,W 16-10,,,,,,,,
9,1984,1984-11-25,13,23.072,PHI,@,STL,L 16-17,,,,,,,,
10,1984,1984-12-02,14,23.079,PHI,,DAL,L 10-26,,,,,,,,
11,1984,1984-12-09,15,23.086,PHI,,NWE,W 27-17,,,,,,,,
12,1984,1984-12-16,16,23.093,PHI,@,ATL,L 10-26,,,,,,,,
13,1985,1985-09-08,1,23.359,PHI,@,NYG,L 0-21,,,,,,,,
14,1985,1985-09-15,2,24.001,PHI,,RAM,L 6-17,,,,,,,,
15,1985,1985-09-22,3,24.008,PHI,@,WAS,W 19-6,,,,,,,,
16,1985,1985-09-29,4,24.015,PHI,,NYG,L 10-16,,,,,,,,
17,1985,1985-10-06,5,24.022,PHI,@,NOR,L 21-23,,,,,,,,
18,1985,1985-10-13,6,24.029,PHI,,STL,W 30-7,,,,,,,,
19,1985,1985-10-20,7,24.036,PHI,,DAL,W 16-14,,,,,,,,
20,1985,1985-10-27,8,24.043,PHI,,BUF,W 21-17,,,,,,,,
21,1985,1985-11-03,9,24.050,PHI,@,SFO,L 13-24,,,,,,,,
22,1985,1985-11-10,10,24.057,PHI,,ATL,W 23-17,,,,,,,,
23,1985,1985-11-17,11,24.064,PHI,@,STL,W 24-14,,,,,,,,
24,1985,1985-11-24,12,24.071,PHI,@,DAL,L 17-34,,,,,,,,
25,1985,1985-12-01,13,24.078,PHI,,MIN,L 23-28,,,,,,,,
26,1985,1985-12-08,14,24.085,PHI,,WAS,L 12-17,0,0,,0,0.0,1,10,0
27,1985,1985-12-15,15,24.092,PHI,@,SDG,L 14-20,,,,,,,,
28,1985,1985-12-22,16,24.099,PHI,@,MIN,W 37-35,,,,,,,,
29,1986,1986-09-07,1,24.358,PHI,@,WAS,L 14-41,,,,,,,,
30,1986,1986-09-14,2,25.000,PHI,@,CHI,L 10-13,,,,,,,,
