ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-11-13,11,22.088,SDG,@,ATL,W 10-7,,,,,,,,,,,,
2,1988,1988-11-20,12,22.095,SDG,@,RAM,W 38-24,,,,,,,,,,,,
3,1988,1988-11-27,13,22.102,SDG,,SFO,L 10-48,,,,,,,,,,,,
4,1988,1988-12-04,14,22.109,SDG,@,CIN,L 10-27,,,,,,,,,,,,
5,1988,1988-12-11,15,22.116,SDG,,PIT,W 20-14,,,,,,,,,,,,
6,1988,1988-12-18,16,22.123,SDG,,KAN,W 24-13,,,,,,,,,,,,
7,1989,1989-09-10,1,23.024,SDG,@,RAI,L 14-40,0,0,,0,0,0,,0,,,,
8,1989,1989-09-17,2,23.031,SDG,,HOU,L 27-34,0,0,,0,0,0,,0,,,,
9,1989,1989-09-24,3,23.038,SDG,,KAN,W 21-6,0,0,,0,0,0,,0,,,,
10,1989,1989-10-01,4,23.045,SDG,@,PHO,W 24-13,0,0,,0,0,0,,0,,,,
11,1989,1989-10-08,5,23.052,SDG,@,DEN,L 10-16,0,0,,0,0,0,,0,,,,
12,1989,1989-10-15,6,23.059,SDG,,SEA,L 16-17,0,0,,0,0,0,,0,,,,
13,1989,1989-10-22,7,23.066,SDG,,NYG,L 13-20,0,0,,0,0,0,,0,,,,
14,1989,1989-10-29,8,23.073,SDG,@,SEA,L 7-10,0,0,,0,0,0,,0,,,,
15,1989,1989-11-05,9,23.080,SDG,,PHI,W 20-17,0,0,,0,0,0,,0,,,,
16,1989,1989-11-12,10,23.087,SDG,,RAI,W 14-12,0,0,,0,1,0,0.00,0,0.0,0,0,0
17,1989,1989-11-19,11,23.094,SDG,@,PIT,L 17-20,0,0,,0,0,0,,0,,,,
18,1989,1989-11-26,12,23.101,SDG,@,IND,L 6-10,0,0,,0,0,0,,0,,,,
19,1989,1989-12-03,13,23.108,SDG,,NYJ,L 17-20,0,0,,0,0,0,,0,,,,
20,1989,1989-12-10,14,23.115,SDG,@,WAS,L 21-26,1,21,21.00,0,0,0,,0,0.0,0,0,0
