ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1973,1973-11-19,10,22.313,ATL,,MIN,W 20-14,1,4,4.00,0,0,0,,0,0,0
2,1973,1973-11-25,11,22.319,ATL,@,NYJ,W 28-20,3,77,25.67,1,0,0,,0,1,6
3,1973,1973-12-02,12,22.326,ATL,,BUF,L 6-17,1,50,50.00,0,0,0,,0,0,0
4,1973,1973-12-09,13,22.333,ATL,,STL,L 10-32,,,,,,,,,,
5,1973,1973-12-16,14,22.340,ATL,,NOR,W 14-10,,,,,,,,,,
6,1974,1974-09-15,1,23.248,ATL,,DAL,L 0-24,1,3,3.00,0,0,0,,0,0,0
7,1974,1974-09-29,3,23.262,ATL,@,NOR,L 13-14,,,,,,,,,,
8,1974,1974-10-06,4,23.269,ATL,@,NYG,W 14-7,,,,,,,,,,
9,1974,1974-10-13,5,23.276,ATL,,CHI,W 13-10,2,25,12.50,0,1,-1,-1.00,0,0,0
10,1974,1974-10-20,6,23.283,ATL,,NOR,L 3-13,2,25,12.50,0,0,0,,0,0,0
11,1974,1974-11-03,8,23.297,ATL,@,MIA,L 7-42,,,,,,,,,,
12,1974,1974-11-10,9,23.304,ATL,@,RAM,L 0-21,,,,,,,,,,
13,1974,1974-11-17,10,23.311,ATL,,BAL,L 7-17,1,16,16.00,0,0,0,,0,0,0
14,1974,1974-11-24,11,23.318,ATL,@,SFO,L 0-27,,,,,,,,,,
15,1974,1974-12-01,12,23.325,ATL,,RAM,L 7-30,2,30,15.00,0,0,0,,0,0,0
