ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1998,1998-09-06,1,23.022,NOR,@,STL,W 24-17,,6,4,82,20.50,0,66.7%,13.67,0,0,,0,0,0
2,1998,1998-09-13,2,23.029,NOR,,CAR,W 19-14,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0
3,1998,1998-09-27,3,23.043,NOR,@,IND,W 19-13,,3,3,49,16.33,1,100.0%,16.33,0,0,,0,1,6
4,1998,1998-10-04,4,23.050,NOR,,NWE,L 27-30,,12,8,64,8.00,1,66.7%,5.33,0,0,,0,1,6
5,1998,1998-10-11,5,23.057,NOR,,SFO,L 0-31,,7,2,27,13.50,0,28.6%,3.86,0,0,,0,0,0
6,1998,1998-10-18,6,23.064,NOR,@,ATL,L 23-31,,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0
7,1998,1998-10-25,7,23.071,NOR,,TAM,W 9-3,,6,4,55,13.75,0,66.7%,9.17,0,0,,0,0,0
8,1998,1998-11-01,8,23.078,NOR,@,CAR,L 17-31,,4,3,62,20.67,1,75.0%,15.50,0,0,,0,1,6
9,1998,1998-11-08,9,23.085,NOR,@,MIN,L 24-31,,2,,,,,0.0%,,,,,,,
10,1998,1998-11-15,10,23.092,NOR,,STL,W 24-3,,4,2,19,9.50,1,50.0%,4.75,0,0,,0,1,6
11,1998,1998-11-22,11,23.099,NOR,@,SFO,L 20-31,,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0
12,1998,1998-11-29,12,23.106,NOR,@,MIA,L 10-30,,6,1,29,29.00,0,16.7%,4.83,0,0,,0,0,0
13,1998,1998-12-06,13,23.113,NOR,,DAL,W 22-3,,1,,,,,0.0%,,,,,,,
14,1998,1998-12-13,14,23.120,NOR,,ATL,L 17-27,,3,2,3,1.50,0,66.7%,1.00,0,0,,0,0,0
15,1998,1998-12-20,15,23.127,NOR,@,ARI,L 17-19,,8,7,71,10.14,1,87.5%,8.88,0,0,,0,1,6
16,1998,1998-12-27,16,23.134,NOR,,BUF,L 33-45,,14,10,112,11.20,1,71.4%,8.00,0,0,,0,1,6
