ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1982,1982-09-12,1,22.280,CLE,@,SEA,W 21-7,,,,
2,1982,1982-09-19,2,22.287,CLE,,PHI,L 21-24,,,,
3,1982,1982-11-21,3,22.350,CLE,,NWE,W 10-7,,,,
4,1982,1982-11-25,4,22.354,CLE,@,DAL,L 14-31,,,,
5,1982,1982-12-05,5,22.364,CLE,,SDG,L 13-30,,,,
6,1982,1982-12-19,7,23.013,CLE,,PIT,W 10-9,,,,
7,1982,1983-01-02,9,23.027,CLE,@,PIT,L 21-37,,,,
8,1983,1983-09-04,1,23.272,CLE,,MIN,L 21-27,,,,
9,1983,1983-09-11,2,23.279,CLE,@,DET,W 31-26,,,,
10,1983,1983-09-15,3,23.283,CLE,,CIN,W 17-7,,,,
11,1983,1983-09-25,4,23.293,CLE,@,SDG,W 30-24,,,,
12,1983,1983-10-02,5,23.300,CLE,,SEA,L 9-24,,,,
13,1983,1983-10-09,6,23.307,CLE,,NYJ,W 10-7,,,,
14,1983,1983-10-16,7,23.314,CLE,@,PIT,L 17-44,,,,
15,1983,1983-10-23,8,23.321,CLE,@,CIN,L 21-28,,,,
16,1983,1983-10-30,9,23.328,CLE,,HOU,W 25-19,,,,
17,1983,1983-11-06,10,23.335,CLE,@,GNB,L 21-35,,,,
18,1983,1983-11-13,11,23.342,CLE,,TAM,W 20-0,,,,
19,1983,1983-11-20,12,23.349,CLE,@,NWE,W 30-0,,,,
20,1983,1983-11-27,13,23.356,CLE,,BAL,W 41-23,,,,
21,1983,1983-12-11,15,24.005,CLE,@,HOU,L 27-34,,,,
22,1983,1983-12-18,16,24.012,CLE,,PIT,W 30-17,,,,
23,1984,1984-09-03,1,24.272,CLE,@,SEA,L 0-33,,,,
24,1984,1984-09-09,2,24.278,CLE,@,RAM,L 17-20,,,,
25,1984,1984-09-16,3,24.285,CLE,,DEN,L 14-24,,,,
26,1984,1984-09-23,4,24.292,CLE,,PIT,W 20-10,,,,
27,1984,1984-09-30,5,24.299,CLE,@,KAN,L 6-10,,,,
28,1984,1984-10-07,6,24.306,CLE,,NWE,L 16-17,,,,
29,1984,1984-10-14,7,24.313,CLE,,NYJ,L 20-24,,,,
30,1984,1984-10-21,8,24.320,CLE,@,CIN,L 9-12,,,,
31,1984,1984-10-28,9,24.327,CLE,,NOR,L 14-16,,,,
32,1984,1984-11-04,10,24.334,CLE,@,BUF,W 13-10,,,,
33,1984,1984-11-11,11,24.341,CLE,,SFO,L 7-41,,,,
34,1984,1984-11-18,12,24.348,CLE,@,ATL,W 23-7,,,,
35,1984,1984-11-25,13,24.355,CLE,,HOU,W 27-10,,,,
36,1984,1984-12-02,14,24.362,CLE,,CIN,L 17-20,,,,
37,1984,1984-12-09,15,25.003,CLE,@,PIT,L 20-23,,,,
38,1984,1984-12-16,16,25.010,CLE,@,HOU,W 27-20,,,,
39,1985,1985-09-08,1,25.276,CLE,,STL,L 24-27,1,0,0.00,0
40,1985,1985-09-16,2,25.284,CLE,,PIT,W 17-7,0,0,,0
41,1985,1985-09-22,3,25.290,CLE,@,DAL,L 7-20,0,0,,0
42,1985,1985-09-29,4,25.297,CLE,@,SDG,W 21-7,0,0,,0
43,1985,1985-10-06,5,25.304,CLE,,NWE,W 24-20,0,0,,0
44,1985,1985-10-13,6,25.311,CLE,@,HOU,W 21-6,0,0,,0
45,1985,1985-10-20,7,25.318,CLE,,RAI,L 20-21,0,0,,0
46,1985,1985-10-27,8,25.325,CLE,,WAS,L 7-14,0,0,,0
47,1985,1985-11-03,9,25.332,CLE,@,PIT,L 9-10,0,0,,0
48,1985,1985-11-10,10,25.339,CLE,@,CIN,L 10-27,0,0,,0
49,1985,1985-11-17,11,25.346,CLE,,BUF,W 17-7,0,0,,0
50,1985,1985-11-24,12,25.353,CLE,,CIN,W 24-6,0,0,,0
51,1985,1985-12-01,13,25.360,CLE,@,NYG,W 35-33,0,0,,0
