ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1973,1973-09-16,1,21.363,NWE,,BUF,L 13-31,2,26,13.00,0,1,1,1.00,0,0,0,,0,1,4,4.00,0,0,0
2,1973,1973-09-23,2,22.005,NWE,,KAN,L 7-10,2,22,11.00,0,0,0,,0,0,0,,0,1,1,1.00,0,0,0
3,1973,1973-09-30,3,22.012,NWE,@,MIA,L 23-44,3,53,17.67,0,0,0,,0,0,0,,0,1,16,16.00,0,0,0
4,1973,1973-10-07,4,22.019,NWE,,BAL,W 24-16,0,0,,0,1,13,13.00,0,0,0,,0,0,0,,0,0,0
5,1973,1973-10-14,5,22.026,NWE,,NYJ,L 7-9,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
6,1973,1973-10-21,6,22.033,NWE,@,CHI,W 13-10,,,,,,,,,,,,,,,,,,
7,1973,1973-10-28,7,22.040,NWE,,MIA,L 14-30,3,53,17.67,0,0,0,,0,2,37,18.50,0,0,0,,0,0,0
8,1973,1973-11-04,8,22.047,NWE,@,PHI,L 23-24,4,45,11.25,2,1,14,14.00,0,0,0,,0,0,0,,0,2,12
9,1973,1973-11-11,9,22.054,NWE,@,NYJ,L 13-33,0,0,,0,1,-1,-1.00,0,2,51,25.50,0,0,0,,0,0,0
10,1973,1973-11-18,10,22.061,NWE,,GNB,W 33-24,3,50,16.67,0,1,18,18.00,0,2,55,27.50,0,0,0,,0,0,0
11,1973,1973-11-25,11,22.068,NWE,@,HOU,W 32-0,1,13,13.00,0,1,19,19.00,0,0,0,,0,0,0,,0,0,0
12,1973,1973-12-02,12,22.075,NWE,,SDG,W 30-14,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
13,1973,1973-12-09,13,22.082,NWE,@,BUF,L 13-37,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
14,1973,1973-12-16,14,22.089,NWE,@,BAL,L 13-18,,,,,,,,,,,,,,,,,,
15,1974,1974-09-15,1,22.362,NWE,,MIA,W 34-24,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
16,1974,1974-09-22,2,23.004,NWE,@,NYG,W 28-20,2,20,10.00,0,2,20,10.00,0,0,0,,0,0,0,,0,0,0
17,1974,1974-09-29,3,23.011,NWE,,RAM,W 20-14,3,53,17.67,1,0,0,,0,0,0,,0,0,0,,0,1,6
18,1974,1974-10-06,4,23.018,NWE,,BAL,W 42-3,1,19,19.00,0,2,22,11.00,1,0,0,,0,0,0,,0,1,6
19,1974,1974-10-13,5,23.025,NWE,@,NYJ,W 24-0,2,18,9.00,0,1,21,21.00,0,0,0,,0,0,0,,0,0,0
20,1975,1975-09-21,1,24.003,NWE,,HOU,L 0-7,0,0,,0,2,11,5.50,0,0,0,,0,4,38,9.50,0,0,0
21,1975,1975-09-28,2,24.010,NWE,,MIA,L 14-22,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
22,1975,1975-10-05,3,24.017,NWE,@,NYJ,L 7-36,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
23,1975,1975-10-12,4,24.024,NWE,@,CIN,L 10-27,,,,,,,,,,,,,,,,,,
24,1975,1975-10-19,5,24.031,NWE,,BAL,W 21-10,1,15,15.00,0,1,21,21.00,0,0,0,,0,2,11,5.50,0,0,0
25,1975,1975-10-26,6,24.038,NWE,,SFO,W 24-16,2,19,9.50,0,0,0,,0,0,0,,0,3,32,10.67,0,0,0
26,1975,1975-11-02,7,24.045,NWE,@,STL,L 17-24,1,45,45.00,0,1,8,8.00,0,0,0,,0,0,0,,0,0,0
27,1975,1975-11-09,8,24.052,NWE,@,SDG,W 33-19,2,50,25.00,0,1,4,4.00,0,0,0,,0,0,0,,0,0,0
28,1975,1975-11-16,9,24.059,NWE,,DAL,L 31-34,5,75,15.00,2,0,0,,0,0,0,,0,4,25,6.25,0,2,12
29,1975,1975-11-23,10,24.066,NWE,@,BUF,L 31-45,3,47,15.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
30,1975,1975-12-01,11,24.074,NWE,@,MIA,L 7-20,0,0,,0,1,-5,-5.00,0,0,0,,0,1,7,7.00,0,0,0
31,1975,1975-12-07,12,24.080,NWE,,NYJ,L 28-30,1,25,25.00,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
32,1975,1975-12-14,13,24.087,NWE,,BUF,L 14-34,3,59,19.67,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0
33,1975,1975-12-21,14,24.094,NWE,@,BAL,L 21-34,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0
34,1976,1976-09-12,1,24.360,NWE,,BAL,L 13-27,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
35,1976,1976-09-19,2,25.001,NWE,,MIA,W 30-14,,,,,,,,,,,,,,,,,,
36,1976,1976-09-26,3,25.008,NWE,@,PIT,W 30-27,2,72,36.00,1,1,1,1.00,0,0,0,,0,0,0,,0,1,6
37,1976,1976-10-03,4,25.015,NWE,,OAK,W 48-17,2,36,18.00,2,2,48,24.00,0,0,0,,0,0,0,,0,2,12
38,1976,1976-10-10,5,25.022,NWE,@,DET,L 10-30,3,46,15.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
39,1976,1976-10-18,6,25.030,NWE,,NYJ,W 41-7,0,0,,0,1,-6,-6.00,0,0,0,,0,0,0,,0,0,0
40,1976,1976-10-24,7,25.036,NWE,@,BUF,W 26-22,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
41,1976,1976-10-31,8,25.043,NWE,@,MIA,L 3-10,,,,,,,,,,,,,,,,,,
42,1976,1976-11-07,9,25.050,NWE,,BUF,W 20-10,2,36,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
43,1976,1976-11-14,10,25.057,NWE,@,BAL,W 21-14,1,21,21.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,0
44,1976,1976-11-21,11,25.064,NWE,@,NYJ,W 38-24,1,17,17.00,1,1,3,3.00,0,0,0,,0,0,0,,0,1,6
45,1976,1976-11-28,12,25.071,NWE,,DEN,W 38-14,1,44,44.00,0,1,6,6.00,0,0,0,,0,1,2,2.00,0,0,0
46,1976,1976-12-05,13,25.078,NWE,,NOR,W 27-6,2,54,27.00,0,1,-9,-9.00,0,0,0,,0,0,0,,0,0,0
