ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
46,1997,1997-11-30,13,29.350,SDG,,DEN,L 28-38,6,2,17,8.50,0,33.3%,2.83,0,0,,0,0,0
47,1997,1997-12-07,14,29.357,SDG,,ATL,L 3-14,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0
48,1997,1997-12-14,15,29.364,SDG,,KAN,L 7-29,5,4,54,13.50,0,80.0%,10.80,0,0,,0,0,0
49,1997,1997-12-21,16,30.006,SDG,@,DEN,L 3-38,0,0,0,,0,0.0%,,,,,,,
50,1998,1998-09-06,1,30.265,SDG,,BUF,W 16-14,,,,,,0.0%,,,,,,,
51,1998,1998-09-13,2,30.272,SDG,@,TEN,W 13-7,,,,,,0.0%,,,,,,,
52,1998,1998-09-20,3,30.279,SDG,@,KAN,L 7-23,,,,,,0.0%,,,,,,,
53,1998,1998-09-27,4,30.286,SDG,,NYG,L 16-34,0,0,0,,0,0.0%,,1,11,11.00,0,0,0
54,1998,1998-10-04,5,30.293,SDG,@,IND,L 12-17,,,,,,0.0%,,,,,,,
55,1998,1998-10-11,6,30.300,SDG,@,OAK,L 6-7,,,,,,0.0%,,,,,,,
56,1998,1998-10-18,7,30.307,SDG,,PHI,W 13-10,,,,,,0.0%,,,,,,,
57,1998,1998-10-25,8,30.314,SDG,,SEA,L 20-27,,,,,,0.0%,,,,,,,
58,1998,1998-11-08,9,30.328,SDG,@,DEN,L 10-27,,,,,,0.0%,,,,,,,
59,1998,1998-11-15,10,30.335,SDG,,BAL,W 14-13,1,,,,,0.0%,,,,,,,
60,1998,1998-11-22,11,30.342,SDG,,KAN,W 38-37,,,,,,0.0%,,,,,,,
61,1998,1998-11-29,12,30.349,SDG,,DEN,L 16-31,1,,,,,0.0%,,,,,,,
62,1998,1998-12-06,13,30.356,SDG,@,WAS,L 20-24,,,,,,0.0%,,,,,,,
63,1998,1998-12-13,14,30.363,SDG,@,SEA,L 17-38,,,,,,0.0%,,,,,,,
64,1998,1998-12-20,15,31.005,SDG,,OAK,L 10-17,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0
65,1998,1998-12-27,16,31.012,SDG,@,ARI,L 13-16,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
