ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2014,2014-09-07,1,22.220,WAS,@,HOU,L 6-17,*,0,0,,0,0,0,0.0,1,0,0,0,0
2,2014,2014-09-14,2,22.227,WAS,,JAX,W 41-10,*,0,0,,0,0,0,0.0,1,1,0,0,0
3,2014,2014-09-21,3,22.234,WAS,@,PHI,L 34-37,,0,0,,0,0,0,0.0,3,0,0,0,0
4,2014,2014-09-25,4,22.238,WAS,,NYG,L 14-45,*,0,0,,0,0,0,0.0,3,0,0,0,0
5,2014,2014-10-06,5,22.249,WAS,,SEA,L 17-27,*,0,0,,0,0,0,0.0,1,2,0,0,0
6,2014,2014-10-12,6,22.255,WAS,@,ARI,L 20-30,*,0,0,,0,0,0,0.0,5,0,0,0,0
7,2014,2014-10-19,7,22.262,WAS,,TEN,W 19-17,*,0,0,,0,0,0,0.0,5,0,1,0,0
8,2014,2014-10-27,8,22.270,WAS,@,DAL,W 20-17,*,0,0,,0,0,0,0.0,6,0,0,0,0
9,2014,2014-11-02,9,22.276,WAS,@,MIN,L 26-29,*,0,0,,0,0,0,0.0,4,1,0,0,0
10,2014,2014-11-16,10,22.290,WAS,,TAM,L 7-27,*,0,0,,0,0,0,0.0,2,1,0,0,0
11,2014,2014-11-23,11,22.297,WAS,@,SFO,L 13-17,*,0,0,,0,0,0,0.0,4,1,0,0,0
12,2014,2014-11-30,12,22.304,WAS,@,IND,L 27-49,*,0,0,,0,0,0,0.0,3,1,0,0,0
13,2014,2014-12-07,13,22.311,WAS,,STL,L 0-24,*,0,0,,0,0,0,0.0,3,0,0,0,0
14,2014,2014-12-14,14,22.318,WAS,@,NYG,L 13-24,*,0,0,,0,0,0,0.0,6,0,0,0,0
15,2014,2014-12-20,15,22.324,WAS,,PHI,W 27-24,*,0,0,,0,0,0,0.0,3,2,1,0,0
16,2014,2014-12-28,16,22.332,WAS,,DAL,L 17-44,*,0,0,,0,0,0,0.0,8,2,0,0,0
17,2015,2015-09-20,2,23.233,WAS,,STL,W 24-10,*,0,0,,0,0,0,0.0,1,0,0,0,0
18,2015,2015-09-24,3,23.237,WAS,@,NYG,L 21-32,*,0,0,,0,0,0,0.0,2,1,0,0,0
19,2015,2015-10-04,4,23.247,WAS,,PHI,W 23-20,*,0,0,,0,0,0,0.0,4,1,0,0,0
20,2015,2015-10-11,5,23.254,WAS,@,ATL,L 19-25,*,0,0,,0,0,0,0.0,6,2,1,28,0
21,2015,2015-10-18,6,23.261,WAS,@,NYJ,L 20-34,*,0,0,,0,0,0,0.0,3,1,1,28,0
22,2015,2015-10-25,7,23.268,WAS,,TAM,W 31-30,*,0,0,,0,0,0,0.0,7,5,0,0,0
23,2015,2015-11-08,8,23.282,WAS,@,NWE,L 10-27,,0,0,,0,0,0,0.0,0,1,0,0,0
24,2015,2015-11-15,9,23.289,WAS,,NOR,W 47-14,,0,0,,0,0,0,0.0,6,3,0,0,0
25,2015,2015-11-22,10,23.296,WAS,@,CAR,L 16-44,*,0,0,,0,0,0,0.0,8,3,0,0,0
26,2015,2015-11-29,11,23.303,WAS,,NYG,W 20-14,*,0,0,,0,0,0,0.0,4,1,0,0,0
27,2015,2015-12-07,12,23.311,WAS,,DAL,L 16-19,*,0,0,,0,0,0,0.0,4,1,0,0,0
28,2015,2015-12-13,13,23.317,WAS,@,CHI,W 24-21,*,0,0,,0,0,0,0.0,4,1,0,0,0
29,2015,2015-12-20,14,23.324,WAS,,BUF,W 35-25,*,0,0,,0,0,0,0.0,4,1,0,0,0
30,2015,2015-12-26,15,23.330,WAS,@,PHI,W 38-24,*,0,0,,0,0,0,0.0,3,0,0,0,0
31,2015,2016-01-03,16,23.338,WAS,@,DAL,W 34-23,*,0,0,,0,0,0,0.0,3,1,0,0,0
32,2016,2016-09-12,1,24.226,WAS,,PIT,L 16-38,*,0,0,,0,0,0,0.0,6,3,1,26,0
33,2016,2016-09-18,2,24.232,WAS,,DAL,L 23-27,*,0,0,,0,0,0,0.0,9,1,0,0,0
34,2016,2016-09-25,3,24.239,WAS,@,NYG,W 29-27,*,0,0,,0,0,0,0.0,0,0,0,0,0
35,2016,2016-10-16,6,24.260,WAS,,PHI,W 27-20,*,0,0,,0,0,0,0.0,2,2,0,0,0
36,2016,2016-10-23,7,24.267,WAS,@,DET,L 17-20,*,0,0,,0,0,0,0.0,3,0,0,0,0
37,2016,2016-10-30,8,24.274,WAS,@,CIN,T 27-27,*,0,0,,0,0,0,0.0,3,0,0,0,0
38,2016,2016-11-13,9,24.288,WAS,,MIN,W 26-20,*,0,0,,0,0,0,0.0,5,1,0,0,0
39,2016,2016-11-20,10,24.295,WAS,,GNB,W 42-24,*,0,0,,0,0,0,0.0,7,1,0,0,0
40,2016,2016-11-24,11,24.299,WAS,@,DAL,L 26-31,*,0,0,,0,0,0,0.0,3,1,0,0,0
41,2016,2016-12-04,12,24.309,WAS,@,ARI,L 23-31,*,0,0,,0,0,0,0.0,5,1,0,0,0
42,2016,2016-12-11,13,24.316,WAS,@,PHI,W 27-22,*,0,0,,0,0,0,1.0,7,0,0,0,0
43,2016,2016-12-19,14,24.324,WAS,,CAR,L 15-26,*,0,0,,0,0,0,0.0,3,1,0,0,0
