ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,24.140,MIN,@,BUF,L 10-13,,,,,,,,,,,
2,1988,1988-09-11,2,24.147,MIN,,NWE,W 36-6,,0,0,,0,,,0.0,1,40,0
3,1988,1988-09-18,3,24.154,MIN,@,CHI,W 31-7,,,,,,,,,,,
4,1988,1988-09-25,4,24.161,MIN,,PHI,W 23-21,,,,,,,,,,,
5,1988,1988-10-02,5,24.168,MIN,@,MIA,L 7-24,,,,,,,,,,,
6,1988,1988-10-16,7,24.182,MIN,,GNB,L 14-34,,,,,,,,,,,
7,1988,1988-10-23,8,24.189,MIN,@,TAM,W 49-20,,,,,,,,,,,
8,1988,1988-10-30,9,24.196,MIN,@,SFO,L 21-24,,,,,,,,,,,
9,1988,1988-11-06,10,24.203,MIN,,DET,W 44-17,,,,,,,,,,,
10,1988,1988-11-13,11,24.210,MIN,@,DAL,W 43-3,,0,0,,0,,,0.0,2,17,0
11,1988,1988-11-20,12,24.217,MIN,,IND,W 12-3,,,,,,,,,,,
12,1988,1988-11-24,13,24.221,MIN,@,DET,W 23-0,,,,,,,,,,,
13,1988,1988-12-04,14,24.231,MIN,,NOR,W 45-3,,,,,,,,,,,
14,1988,1988-12-11,15,24.238,MIN,@,GNB,L 6-18,,,,,,,,,,,
15,1988,1988-12-19,16,24.246,MIN,,CHI,W 28-27,,,,,,,,,,,
16,1989,1989-09-10,1,25.146,MIN,,HOU,W 38-7,,,,,,,,,,,
17,1989,1989-09-17,2,25.153,MIN,@,CHI,L 7-38,,,,,,,,,,,
18,1989,1989-09-24,3,25.160,MIN,@,PIT,L 14-27,,,,,,,,,,,
19,1989,1989-10-01,4,25.167,MIN,,TAM,W 17-3,,,,,,,,,,,
20,1989,1989-10-08,5,25.174,MIN,,DET,W 24-17,,,,,,,,,,,
21,1989,1989-10-15,6,25.181,MIN,,GNB,W 26-14,,,,,,,,,,,
22,1989,1989-10-22,7,25.188,MIN,@,DET,W 20-7,,,,,,,,,,,
