ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-05,1,26.122,NYG,,DAL,L 17-24,,0,0,,0,0,0,0.0,0,1
2,2012,2012-09-16,2,26.133,NYG,,TAM,W 41-34,,0,0,,0,0,0,0.0,0,1
3,2012,2012-09-20,3,26.137,NYG,@,CAR,W 36-7,,0,0,,0,0,0,0.0,0,1
4,2012,2012-09-30,4,26.147,NYG,@,PHI,L 17-19,,,,,,,,,,
5,2012,2012-10-07,5,26.154,NYG,,CLE,W 41-27,*,0,0,,0,0,0,0.0,1,1
6,2012,2012-10-14,6,26.161,NYG,@,SFO,W 26-3,,,,,,,,,,
7,2012,2012-10-21,7,26.168,NYG,,WAS,W 27-23,,0,0,,0,0,0,0.0,2,0
8,2012,2012-10-28,8,26.175,NYG,@,DAL,W 29-24,,0,0,,0,0,0,0.0,1,0
9,2012,2012-11-04,9,26.182,NYG,,PIT,L 20-24,,,,,,,,,,
10,2012,2012-11-11,10,26.189,NYG,@,CIN,L 13-31,,0,0,,0,0,0,0.0,0,0
11,2013,2013-12-01,12,27.209,NYG,@,WAS,W 24-17,,,,,,,,,,
12,2013,2013-12-08,13,27.216,NYG,@,SDG,L 14-37,,1,13,13.00,0,0,0,0.0,0,0
13,2013,2013-12-15,14,27.223,NYG,,SEA,L 0-23,,0,0,,0,0,0,0.0,1,0
14,2013,2013-12-22,15,27.230,NYG,@,DET,W 23-20,,,,,,,,,,
15,2013,2013-12-29,16,27.237,NYG,,WAS,W 20-6,,,,,,,,,,
16,2014,2014-09-21,3,28.138,NYG,,HOU,W 30-17,,,,,,,,,,
17,2014,2014-09-25,4,28.142,NYG,@,WAS,W 45-14,,0,0,,0,0,0,0.0,1,2
18,2014,2014-10-05,5,28.152,NYG,,ATL,W 30-20,,0,0,,0,0,0,0.0,1,1
19,2014,2014-10-12,6,28.159,NYG,@,PHI,L 0-27,,0,0,,0,0,0,0.0,2,0
20,2014,2014-10-19,7,28.166,NYG,@,DAL,L 21-31,,0,0,,0,0,0,0.0,1,0
21,2014,2014-11-03,8,28.181,NYG,,IND,L 24-40,,,,,,,,,,
22,2014,2014-11-09,9,28.187,NYG,@,SEA,L 17-38,,0,0,,0,0,0,0.0,0,1
23,2014,2014-11-16,10,28.194,NYG,,SFO,L 10-16,,0,0,,0,0,0,0.0,1,1
24,2014,2014-11-23,11,28.201,NYG,,DAL,L 28-31,,,,,,,,,,
25,2014,2014-11-30,12,28.208,NYG,@,JAX,L 24-25,*,,,,,,,,,
26,2014,2014-12-07,13,28.215,NYG,@,TEN,W 36-7,,0,0,,0,0,6,0.0,1,1
27,2014,2014-12-14,14,28.222,NYG,,WAS,W 24-13,,0,0,,0,0,0,0.0,1,2
28,2014,2014-12-21,15,28.229,NYG,@,STL,W 37-27,,,,,,,,,,
29,2014,2014-12-28,16,28.236,NYG,,PHI,L 26-34,,0,0,,0,0,0,1.0,2,1
30,2015,2015-09-13,1,29.130,NYG,@,DAL,L 26-27,*,0,0,,0,0,0,0.0,1,0
31,2015,2015-10-11,5,29.158,NYG,,SFO,W 30-27,,0,0,,0,0,0,0.0,1,1
32,2015,2015-10-19,6,29.166,NYG,@,PHI,L 7-27,,0,0,,0,0,0,0.0,2,1
33,2015,2015-10-25,7,29.172,NYG,,DAL,W 27-20,*,0,0,,0,0,0,0.5,1,0
34,2015,2015-11-01,8,29.179,NYG,@,NOR,L 49-52,*,0,0,,0,0,0,0.0,0,0
35,2015,2015-11-08,9,29.186,NYG,@,TAM,W 32-18,,0,0,,0,0,0,0.0,0,0
36,2015,2015-11-15,10,29.193,NYG,,NWE,L 26-27,*,0,0,,0,0,0,0.0,1,3
37,2015,2015-11-29,11,29.207,NYG,@,WAS,L 14-20,*,0,0,,0,0,0,0.0,0,3
38,2015,2015-12-06,12,29.214,NYG,,NYJ,L 20-23,*,0,0,,0,0,0,0.0,1,2
39,2015,2015-12-14,13,29.222,NYG,@,MIA,W 31-24,*,0,0,,0,0,0,0.0,2,1
