ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,22.024,CIN,@,NWE,W 31-7,0,0,,0,1,28,28.00,0,0,0,0
2,1972,1972-09-24,2,22.031,CIN,,PIT,W 15-10,,,,,,,,,,,
3,1972,1972-10-01,3,22.038,CIN,@,CLE,L 6-27,0,0,,0,1,22,22.00,0,0,0,0
4,1972,1972-10-08,4,22.045,CIN,,DEN,W 21-10,0,0,,0,2,51,25.50,0,0,0,0
5,1972,1972-10-15,5,22.052,CIN,@,KAN,W 23-16,0,0,,0,1,35,35.00,0,0,0,0
6,1972,1972-10-22,6,22.059,CIN,@,RAM,L 12-15,0,0,,0,1,20,20.00,0,1,0,0
7,1972,1972-10-29,7,22.066,CIN,,HOU,W 30-7,0,0,,0,1,14,14.00,0,0,0,0
8,1972,1972-11-05,8,22.073,CIN,@,PIT,L 17-40,0,0,,0,1,19,19.00,0,0,0,0
9,1972,1972-11-12,9,22.080,CIN,,OAK,L 14-20,0,0,,0,3,80,26.67,0,0,0,0
10,1972,1972-11-19,10,22.087,CIN,,BAL,L 19-20,0,0,,0,3,48,16.00,0,0,0,0
11,1972,1972-11-26,11,22.094,CIN,@,CHI,W 13-3,,,,,,,,,,,
12,1972,1972-12-03,12,22.101,CIN,,NYG,W 13-10,,,,,,,,,,,
13,1972,1972-12-09,13,22.107,CIN,,CLE,L 24-27,0,0,,0,6,179,29.83,0,0,0,0
14,1972,1972-12-17,14,22.115,CIN,@,HOU,W 61-17,0,0,,0,1,13,13.00,0,0,0,0
15,1973,1973-09-16,1,23.023,CIN,@,DEN,L 10-28,0,0,,0,2,54,27.00,0,0,0,0
16,1973,1973-09-23,2,23.030,CIN,,HOU,W 24-10,0,0,,0,2,59,29.50,0,0,0,0
17,1973,1973-09-30,3,23.037,CIN,@,SDG,W 20-13,,,,,,,,,,,
18,1973,1973-10-07,4,23.044,CIN,@,CLE,L 10-17,0,0,,0,1,26,26.00,0,0,0,0
19,1973,1973-10-14,5,23.051,CIN,,PIT,W 19-7,0,0,,0,2,25,12.50,0,0,0,0
20,1973,1973-10-21,6,23.058,CIN,,KAN,W 14-6,,,,,,,,,,,
21,1973,1973-10-28,7,23.065,CIN,@,PIT,L 13-20,,,,,,,,,,,
22,1973,1973-11-04,8,23.072,CIN,@,DAL,L 10-38,0,0,,0,2,52,26.00,0,0,0,0
23,1973,1973-11-11,9,23.079,CIN,@,BUF,W 16-13,0,0,,0,3,79,26.33,0,0,0,0
