ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-09-01,1,22.006,ATL,@,CAR,L 6-29,,0,0,,0,0.0%,
2,1996,1996-09-08,2,22.013,ATL,,MIN,L 17-23,1,1,27,27.00,0,100.0%,27.00
3,1996,1996-10-06,5,22.041,ATL,@,DET,L 24-28,2,2,21,10.50,0,100.0%,10.50
4,1996,1996-10-13,6,22.048,ATL,,HOU,L 13-23,6,4,32,8.00,0,66.7%,5.33
5,1996,1996-10-20,7,22.055,ATL,@,DAL,L 28-32,,0,0,,0,0.0%,
6,1996,1996-10-27,8,22.062,ATL,,PIT,L 17-20,,0,0,,0,0.0%,
7,1996,1996-11-03,9,22.069,ATL,,CAR,W 20-17,,0,0,,0,0.0%,
8,1996,1996-11-10,10,22.076,ATL,@,STL,L 16-59,,0,0,,0,0.0%,
9,1996,1996-11-24,12,22.090,ATL,@,CIN,L 31-41,,0,0,,0,0.0%,
10,1996,1996-12-02,13,22.098,ATL,,SFO,L 10-34,1,0,0,,0,0.0%,0.00
11,1997,1997-09-21,4,23.026,ATL,@,SFO,L 7-34,,,,,,0.0%,
12,1997,1997-09-28,5,23.033,ATL,,DEN,L 21-29,,,,,,0.0%,
13,1998,1998-09-06,1,24.011,IND,,MIA,L 15-24,,,,,,0.0%,
