ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1957,1957-11-10,7,22.207,RAM,,SFO,W 37-24,1,18,18.00,0,0,,,,
2,1957,1957-11-17,8,22.214,RAM,@,GNB,W 31-27,3,57,19.00,1,1,,,,
3,1957,1957-12-08,11,22.235,RAM,,GNB,W 42-17,1,31,31.00,1,1,,,,
4,1957,1957-12-15,12,22.242,RAM,,BAL,W 37-21,1,8,8.00,1,1,,,,
5,1958,1958-09-28,1,23.164,RAM,,CLE,L 27-30,3,59,19.67,1,1,,,,
6,1958,1958-10-05,2,23.171,RAM,@,SFO,W 33-3,3,59,19.67,1,1,,,,
7,1958,1958-10-12,3,23.178,RAM,@,DET,W 42-28,1,8,8.00,0,0,,,,
8,1958,1958-10-26,5,23.192,RAM,,DET,L 24-41,3,36,12.00,0,0,,,,
9,1958,1958-11-09,7,23.206,RAM,,SFO,W 56-7,4,45,11.25,1,1,,,,
10,1958,1958-11-16,8,23.213,RAM,@,GNB,W 20-7,2,46,23.00,0,0,,,,
11,1958,1958-11-23,9,23.220,RAM,@,BAL,L 7-34,6,103,17.17,0,0,,,,
12,1958,1958-12-06,11,23.233,RAM,,BAL,W 30-28,2,34,17.00,0,0,,,,
13,1958,1958-12-14,12,23.241,RAM,,GNB,W 34-20,1,6,6.00,0,0,,,,
14,1959,1959-11-29,10,24.226,RAM,@,BAL,L 21-35,3,66,22.00,0,0,,,,
15,1959,1959-12-06,11,24.233,RAM,,GNB,L 20-38,1,8,8.00,0,0,,,,
16,1960,1960-10-30,6,25.196,RAM,,DET,W 48-35,0,0,,0,1,6,1,25,1
17,1964,1964-09-13,1,29.149,RAM,@,PIT,W 26-14,0,0,,0,1,6,1,14,1
18,1966,1966-09-16,2,31.152,RAM,,CHI,W 31-17,0,0,,0,1,6,1,33,1
