ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2015,2015-09-14,1,23.174,MIN,@,SFO,L 3-20,,0,0,0,,0,0.0%,,0,0,,0
2,2015,2015-09-20,2,23.180,MIN,,DET,W 26-16,,0,0,0,,0,0.0%,,0,0,,0
3,2015,2015-09-27,3,23.187,MIN,,SDG,W 31-14,,2,0,0,,0,0.0%,0.00,0,0,,0
4,2015,2015-10-04,4,23.194,MIN,@,DEN,L 20-23,,1,0,0,,0,0.0%,0.00,0,0,,0
5,2015,2015-10-18,5,23.208,MIN,,KAN,W 16-10,,0,0,0,,0,0.0%,,0,0,,0
6,2015,2015-10-25,6,23.215,MIN,@,DET,W 28-19,,1,1,13,13.00,0,100.0%,13.00,0,0,,0
7,2015,2015-11-01,7,23.222,MIN,@,CHI,W 23-20,,3,2,15,7.50,0,66.7%,5.00,0,0,,0
8,2015,2015-11-08,8,23.229,MIN,,STL,W 21-18,,2,1,6,6.00,0,50.0%,3.00,0,0,,0
9,2015,2015-11-15,9,23.236,MIN,@,OAK,W 30-14,*,2,2,7,3.50,0,100.0%,3.50,1,12,12.00,0
10,2015,2015-11-22,10,23.243,MIN,,GNB,L 13-30,,1,1,8,8.00,0,100.0%,8.00,0,0,,0
11,2015,2015-11-29,11,23.250,MIN,@,ATL,W 20-10,,0,0,0,,0,0.0%,,0,0,,0
12,2015,2015-12-06,12,23.257,MIN,,SEA,L 7-38,,1,1,4,4.00,0,100.0%,4.00,0,0,,0
13,2015,2015-12-10,13,23.261,MIN,@,ARI,L 20-23,,2,2,36,18.00,0,100.0%,18.00,0,0,,0
14,2015,2015-12-20,14,23.271,MIN,,CHI,W 38-17,*,0,0,0,,0,0.0%,,0,0,,0
15,2015,2015-12-27,15,23.278,MIN,,NYG,W 49-17,*,0,0,0,,0,0.0%,,0,0,,0
16,2015,2016-01-03,16,23.285,MIN,@,GNB,W 20-13,,1,0,0,,0,0.0%,0.00,0,0,,0
17,2016,2016-10-03,4,24.193,MIN,,NYG,W 24-10,,1,1,7,7.00,0,100.0%,7.00,0,0,,0
18,2016,2016-10-09,5,24.199,MIN,,HOU,W 31-13,,0,0,0,,0,0.0%,,0,0,,0
19,2016,2016-12-24,15,24.275,CHI,,WAS,L 21-41,,0,0,0,,0,0.0%,,0,0,,0
20,2016,2017-01-01,16,24.283,CHI,@,MIN,L 10-38,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
21,2017,2017-12-10,13,25.261,HOU,,SFO,L 16-26,,0,0,0,,0,0.0%,,0,0,,0
22,2018,2018-09-16,2,26.176,TEN,,HOU,W 20-17,,0,0,0,,0,0.0%,,0,0,,0
23,2018,2018-09-23,3,26.183,TEN,@,JAX,W 9-6,,0,0,0,,0,0.0%,,0,0,,0
