ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,22.286,ARI,@,STL,W 17-13,,3,2,29,14.50,0,66.7%,9.67,5,31,6.20,0,0.0,0,0
2,2010,2010-09-19,2,22.293,ARI,@,ATL,L 7-41,,1,,,,,0.0%,,,,,,,,
3,2010,2010-09-26,3,22.300,ARI,,OAK,W 24-23,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
4,2010,2010-10-03,4,22.307,ARI,@,SDG,L 10-41,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0.0,0,0
5,2010,2010-10-10,5,22.314,ARI,,NOR,W 30-20,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0.0,0,0
6,2010,2010-10-24,6,22.328,ARI,@,SEA,L 10-22,,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0.0,1,0
7,2010,2010-12-25,15,23.025,ARI,,DAL,W 27-26,,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0.0,0,0
8,2010,2011-01-02,16,23.033,ARI,@,SFO,L 7-38,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0.0,0,0
9,2011,2011-12-25,15,24.025,CHI,@,GNB,L 21-35,,,,,,,0.0%,,,,,,,,
10,2011,2012-01-01,16,24.032,CHI,@,MIN,W 17-13,,,,,,,0.0%,,,,,,,,
