ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,23.074,MIA,@,ARI,L 10-31,,7,12,58.33,67,0,0,74.0,0,0,5.58,5.58,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2008,2008-09-21,3,23.081,MIA,@,NWE,W 38-13,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,,,
3,2008,2008-11-23,11,23.144,MIA,,NWE,L 28-48,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,,,
4,2009,2009-09-27,3,24.087,MIA,@,SDG,L 13-23,,10,19,52.63,92,0,1,44.2,1,6,4.84,2.47,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2009,2009-10-04,4,24.094,MIA,,BUF,W 38-10,*,14,22,63.64,115,1,0,92.0,6,29,5.23,6.14,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
6,2009,2009-10-12,5,24.102,MIA,,NYJ,W 31-27,*,20,26,76.92,241,2,0,130.4,0,0,9.27,10.81,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2009,2009-10-25,6,24.115,MIA,,NOR,L 34-46,*,18,36,50.00,211,0,2,45.0,2,14,5.86,3.36,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2009,2009-11-01,7,24.122,MIA,@,NYJ,W 30-25,*,12,21,57.14,112,1,0,87.8,5,51,5.33,6.29,3,-5,-1.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2009,2009-11-08,8,24.129,MIA,@,NWE,L 17-27,*,19,34,55.88,219,0,0,75.5,2,19,6.44,6.44,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2009,2009-11-15,9,24.136,MIA,,TAM,W 25-23,*,17,31,54.84,175,1,1,68.6,0,0,5.65,4.84,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2009,2009-11-19,10,24.140,MIA,@,CAR,W 24-17,*,17,29,58.62,172,1,0,87.1,0,0,5.93,6.62,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2009,2009-11-29,11,24.150,MIA,@,BUF,L 14-31,*,17,31,54.84,175,1,3,42.5,1,7,5.65,1.94,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
13,2009,2009-12-06,12,24.157,MIA,,NWE,W 22-21,*,29,52,55.77,335,2,1,80.2,1,7,6.44,6.35,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2009,2009-12-13,13,24.164,MIA,@,JAX,W 14-10,*,21,29,72.41,220,0,1,79.7,2,12,7.59,6.03,4,1,0.25,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
15,2009,2009-12-20,14,24.171,MIA,@,TEN,L 24-27,*,29,46,63.04,349,1,3,66.3,1,2,7.59,5.09,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2009,2009-12-27,15,24.178,MIA,,HOU,L 20-27,*,35,55,63.64,322,1,1,78.0,3,19,5.85,5.40,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
17,2009,2010-01-03,16,24.185,MIA,,PIT,L 24-30,*,16,20,80.00,140,1,1,91.7,2,10,7.00,5.75,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2010,2010-09-12,1,25.072,MIA,@,BUF,W 15-10,*,21,34,61.76,182,0,0,75.9,3,18,5.35,5.35,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2010,2010-09-19,2,25.079,MIA,@,MIN,W 14-10,*,9,15,60.00,114,1,0,106.0,2,8,7.60,8.93,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2010,2010-09-26,3,25.086,MIA,,NYJ,L 23-31,*,26,44,59.09,363,2,1,91.4,2,11,8.25,8.14,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
21,2010,2010-10-04,4,25.094,MIA,,NWE,L 14-41,*,28,38,73.68,305,2,3,81.6,2,12,8.03,5.53,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
22,2010,2010-10-17,5,25.107,MIA,@,GNB,W 23-20,*,23,39,58.97,231,2,1,82.3,0,0,5.92,5.79,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
23,2010,2010-10-24,6,25.114,MIA,,PIT,L 22-23,*,23,36,63.89,257,1,1,82.8,1,8,7.14,6.44,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
24,2010,2010-10-31,7,25.121,MIA,@,CIN,W 22-14,*,24,37,64.86,217,0,1,69.3,0,0,5.86,4.65,3,-7,-2.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
25,2010,2010-11-07,8,25.128,MIA,@,BAL,L 10-26,*,22,34,64.71,231,0,3,47.5,2,15,6.79,2.82,6,13,2.17,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
26,2010,2010-11-14,9,25.135,MIA,,TEN,W 29-17,,19,28,67.86,240,1,1,91.4,1,7,8.57,7.68,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
27,2010,2010-11-28,11,25.149,MIA,@,OAK,W 33-17,*,17,30,56.67,307,2,1,100.3,3,22,10.23,10.07,3,-4,-1.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
28,2010,2010-12-05,12,25.156,MIA,,CLE,L 10-13,*,16,32,50.00,174,1,3,37.8,1,7,5.44,1.84,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
29,2010,2010-12-12,13,25.163,MIA,@,NYJ,W 10-6,*,5,18,27.78,55,1,0,58.3,5,25,3.06,4.17,4,7,1.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
30,2010,2010-12-19,14,25.170,MIA,,BUF,L 14-17,*,33,45,73.33,276,1,1,86.9,3,15,6.13,5.58,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
31,2010,2010-12-26,15,25.177,MIA,,DET,L 27-34,*,29,44,65.91,278,1,2,72.0,2,7,6.32,4.73,5,14,2.80,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
32,2010,2011-01-02,16,25.184,MIA,@,NWE,L 7-38,*,6,16,37.50,71,0,1,25.8,3,23,4.44,1.63,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
33,2011,2011-09-12,1,26.072,MIA,,NWE,L 24-38,*,30,49,61.22,416,2,1,93.6,4,26,8.49,8.39,7,59,8.43,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
