ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1955,1955-10-16,4,21.032,SFO,@,DET,W 27-24,4,16,4.00,1,2,78,39.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
2,1955,1955-10-23,5,21.039,SFO,,CHI,L 23-34,1,5,5.00,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
3,1955,1955-10-30,6,21.046,SFO,,DET,W 38-21,8,53,6.63,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
4,1955,1955-11-06,7,21.053,SFO,@,RAM,L 14-27,5,19,3.80,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
5,1955,1955-11-13,8,21.060,SFO,@,WAS,L 0-7,8,25,3.13,0,2,16,8.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
6,1955,1955-11-20,9,21.067,SFO,@,GNB,L 21-27,9,83,9.22,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
7,1955,1955-12-11,12,21.088,SFO,,BAL,W 35-24,6,34,5.67,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,
8,1956,1956-09-30,1,22.016,SFO,,NYG,L 21-38,7,18,2.57,0,3,79,26.33,0,0,0,,0,0,,,,,,,,,,,,,,,,,
9,1957,1957-09-29,1,23.015,SFO,,CRD,L 10-20,4,31,7.75,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
10,1957,1957-10-13,3,23.029,SFO,@,CHI,W 21-17,2,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
11,1957,1957-10-27,5,23.043,SFO,,CHI,W 21-17,2,16,8.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
12,1957,1957-11-17,8,23.064,SFO,@,DET,L 10-31,1,1,1.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
13,1959,1959-10-04,2,25.020,SFO,,RAM,W 34-0,3,9,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
14,1959,1959-11-01,6,25.048,SFO,,DET,W 33-7,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,
15,1959,1959-11-22,9,25.069,SFO,@,BAL,L 14-45,0,0,,0,1,12,12.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
16,1960,1960-09-24,1,26.010,PIT,@,DAL,W 35-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,36,36.00,0,0,0,,0,0,0,0
17,1960,1960-10-02,2,26.018,PIT,@,CLE,L 20-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,80,26.67,0,0,0,,0,0,0,0
18,1960,1960-10-09,3,26.025,PIT,,NYG,L 17-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,6,0
19,1960,1960-10-16,4,26.032,PIT,,STL,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,0,0,,0,1,12,0
20,1960,1960-11-06,7,26.053,PIT,@,PHI,L 7-34,,,,,,,,,,,,,,,,,,,,,,,,1,4,4.00,0,,,
21,1960,1960-11-27,10,26.074,PIT,,WAS,W 22-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,0
22,1960,1960-12-11,11,26.088,PIT,,PHI,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,1,31,0
23,1961,1961-10-15,5,27.031,DAL,,NYG,L 10-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,25,0
24,1961,1961-11-26,11,27.073,DAL,@,PHI,L 13-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0
