ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,23.060,NYG,,PHI,W 28-27,0,0,,0,4,66,16.50,0
2,1984,1984-09-09,2,23.067,NYG,,DAL,W 28-7,0,0,,0,0,0,,0
3,1984,1984-09-16,3,23.074,NYG,@,WAS,L 14-30,0,0,,0,0,0,,0
4,1984,1984-09-23,4,23.081,NYG,,TAM,W 17-14,0,0,,0,0,0,,0
5,1984,1984-09-30,5,23.088,NYG,@,RAM,L 12-33,1,0,0.00,0,2,35,17.50,0
6,1984,1984-10-08,6,23.096,NYG,,SFO,L 10-31,0,0,,0,1,30,30.00,0
7,1984,1984-10-14,7,23.102,NYG,@,ATL,W 19-7,0,0,,0,0,0,,0
8,1984,1984-10-21,8,23.109,NYG,@,PHI,L 10-24,0,0,,0,0,0,,0
9,1984,1984-10-28,9,23.116,NYG,,WAS,W 37-13,2,2,1.00,0,0,0,,0
10,1984,1984-11-04,10,23.123,NYG,@,DAL,W 19-7,0,0,,0,0,0,,0
11,1984,1984-11-11,11,23.130,NYG,@,TAM,L 17-20,0,0,,0,0,0,,0
12,1984,1984-11-18,12,23.137,NYG,,STL,W 16-10,0,0,,0,0,0,,0
13,1984,1984-11-25,13,23.144,NYG,,KAN,W 28-27,0,0,,0,0,0,,0
14,1984,1984-12-02,14,23.151,NYG,@,NYJ,W 20-10,0,0,,0,2,47,23.50,0
15,1984,1984-12-09,15,23.158,NYG,@,STL,L 21-31,0,0,,0,0,0,,0
16,1984,1984-12-15,16,23.164,NYG,,NOR,L 3-10,0,0,,0,0,0,,0
