ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1996,1996-12-22,16,24.095,ATL,@,JAX,L 17-19,,2,8,4.00,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1998,1998-09-06,1,25.353,PIT,@,BAL,W 20-13,,2,52,26.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
3,1998,1998-09-13,2,25.360,PIT,,CHI,W 17-12,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
4,1998,1998-09-20,3,26.002,PIT,@,MIA,L 0-21,,5,26,5.20,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1998,1998-09-27,4,26.009,PIT,,SEA,W 13-10,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,42,21.00,0,0,0
6,1998,1998-10-11,5,26.023,PIT,@,CIN,L 20-25,,20,85,4.25,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
7,1998,1998-10-18,6,26.030,PIT,,BAL,W 16-6,,21,52,2.48,0,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
8,1998,1998-10-26,7,26.038,PIT,@,KAN,W 20-13,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
9,1998,1998-11-01,8,26.044,PIT,,TEN,L 31-41,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
10,1998,1998-11-09,9,26.052,PIT,,GNB,W 27-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0
11,1998,1998-11-15,10,26.058,PIT,@,TEN,L 14-23,,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0
12,1998,1998-11-22,11,26.065,PIT,,JAX,W 30-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0
13,1998,1998-11-26,12,26.069,PIT,@,DET,L 16-19,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,10,10.00,0,0,0
14,1998,1998-12-06,13,26.079,PIT,,NWE,L 9-23,,,,,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
15,1998,1998-12-13,14,26.086,PIT,@,TAM,L 3-16,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1998,1998-12-20,15,26.093,PIT,,CIN,L 24-25,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
17,1998,1998-12-28,16,26.101,PIT,@,JAX,L 3-21,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
18,1999,1999-09-12,1,26.359,PIT,@,CLE,W 43-0,,10,41,4.10,1,6,5,67,13.40,2,83.3%,11.17,0,0,,0,0,0,,,,,,0,0,,0,3,18
19,1999,1999-09-19,2,27.001,PIT,@,BAL,W 23-20,,10,49,4.90,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,0,0,,0,1,6
20,1999,1999-09-26,3,27.008,PIT,,SEA,L 10-29,,5,19,3.80,0,2,2,30,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1999,1999-10-03,4,27.015,PIT,,JAX,L 3-17,,5,18,3.60,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,1999,1999-10-10,5,27.022,PIT,@,BUF,L 21-24,,5,16,3.20,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
23,1999,1999-10-17,6,27.029,PIT,@,CIN,W 17-3,,4,18,4.50,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1999,1999-10-25,7,27.037,PIT,,ATL,W 13-9,,1,3,3.00,0,2,2,12,6.00,1,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
25,1999,1999-11-07,8,27.050,PIT,@,SFO,W 27-6,,7,83,11.86,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,1999,1999-11-14,9,27.057,PIT,,CLE,L 15-16,,4,12,3.00,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
27,1999,1999-11-21,10,27.064,PIT,@,TEN,L 10-16,,3,4,1.33,0,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,1999,1999-11-28,11,27.071,PIT,,CIN,L 20-27,*,5,12,2.40,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,3,73,24.33,0,0,0
29,1999,1999-12-02,12,27.075,PIT,@,JAX,L 6-20,,2,37,18.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,35,17.50,0,0,0
30,1999,1999-12-12,13,27.085,PIT,,BAL,L 24-31,*,8,68,8.50,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,4,110,27.50,0,0,0
31,1999,1999-12-18,14,27.091,PIT,@,KAN,L 19-35,,6,37,6.17,0,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,3,67,22.33,0,0,0
32,1999,1999-12-26,15,27.099,PIT,,CAR,W 30-20,,7,72,10.29,1,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,2,22,11.00,0,1,6
33,1999,2000-01-02,16,27.106,PIT,,TEN,L 36-47,,11,78,7.09,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,1,29,29.00,0,1,6
34,2000,2000-09-03,1,27.351,PIT,,BAL,L 0-16,,7,31,4.43,0,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
35,2000,2000-09-17,2,27.365,PIT,@,CLE,L 20-23,,3,6,2.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
36,2000,2000-10-15,6,28.027,PIT,,CIN,W 15-0,,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
37,2000,2000-10-22,7,28.034,PIT,,CLE,W 22-0,,4,5,1.25,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
38,2000,2000-10-29,8,28.041,PIT,@,BAL,W 9-6,,7,24,3.43,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
39,2000,2000-11-05,9,28.048,PIT,@,TEN,L 7-9,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
40,2000,2000-11-12,10,28.055,PIT,,PHI,L 23-26,,4,31,7.75,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
41,2000,2000-11-19,11,28.062,PIT,,JAX,L 24-34,,6,31,5.17,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
42,2000,2000-11-26,12,28.069,PIT,@,CIN,W 48-28,,2,20,10.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
43,2000,2000-12-03,13,28.076,PIT,,OAK,W 21-20,,2,11,5.50,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
44,2000,2000-12-10,14,28.083,PIT,@,NYG,L 10-30,,,,,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
45,2000,2000-12-16,15,28.089,PIT,,WAS,W 24-3,,7,56,8.00,2,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,2,12
46,2000,2000-12-24,16,28.097,PIT,@,SDG,W 34-21,,2,1,0.50,0,2,2,30,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
47,2001,2001-09-30,3,29.012,CAR,,GNB,L 7-28,,5,19,3.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,20,20.00,0,0,0
48,2001,2001-10-07,4,29.019,CAR,@,SFO,L 14-24,,3,6,2.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
49,2001,2001-10-14,5,29.026,CAR,,NOR,L 25-27,,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
50,2001,2001-10-21,6,29.033,CAR,@,WAS,L 14-17,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,
51,2001,2001-10-28,7,29.040,CAR,,NYJ,L 12-13,*,14,52,3.71,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
52,2001,2001-11-04,8,29.047,CAR,@,MIA,L 6-23,*,12,49,4.08,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0
53,2001,2001-11-11,9,29.054,CAR,@,STL,L 14-48,*,6,7,1.17,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0
54,2001,2001-11-18,10,29.061,CAR,,SFO,L 22-25,*,13,63,4.85,0,7,5,31,6.20,1,71.4%,4.43,0,0,,0,0,0,,0,,,,0,0,,0,1,6
55,2001,2001-11-25,11,29.068,CAR,,ATL,L 7-10,*,19,55,2.89,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
56,2001,2001-12-02,12,29.075,CAR,@,NOR,L 23-27,*,15,41,2.73,0,5,1,3,3.00,0,20.0%,0.60,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
57,2001,2001-12-09,13,29.082,CAR,@,BUF,L 24-25,,22,67,3.05,1,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,,,0,0,,0,1,6
58,2001,2001-12-23,14,29.096,CAR,,STL,L 32-38,*,19,74,3.89,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6
59,2001,2001-12-30,15,29.103,CAR,,ARI,L 7-30,*,12,62,5.17,0,3,3,3,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
60,2001,2002-01-06,16,29.110,CAR,,NWE,L 6-38,*,21,168,8.00,0,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
61,2002,2002-09-29,4,30.011,DET,,NOR,W 26-21,*,3,4,1.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
62,2002,2002-10-27,7,30.039,DET,@,BUF,L 17-24,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
63,2002,2002-11-03,8,30.046,DET,,DAL,W 9-7,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
