ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2016,2016-09-11,1,23.213,SDG,@,KAN,L 27-33,,0,0,,0,,,,,,,0,0,5,178,35.60,0
2,2016,2016-09-18,2,23.220,SDG,,JAX,W 38-14,,0,0,,0,,,,,,,0,0,4,173,43.25,0
3,2016,2016-09-25,3,23.227,SDG,@,IND,L 22-26,,0,0,,0,,,,,,,0,0,3,121,40.33,0
4,2016,2016-10-02,4,23.234,SDG,,NOR,L 34-35,,0,0,,0,,,,,,,0,0,4,176,44.00,0
5,2016,2016-10-09,5,23.241,SDG,@,OAK,L 31-34,,1,0,0.00,0,,,,,,,0,0,1,16,16.00,0
6,2016,2016-10-13,6,23.245,SDG,,DEN,W 21-13,,0,0,,0,,,,,,,0,0,5,237,47.40,0
7,2016,2016-10-23,7,23.255,SDG,@,ATL,W 33-30,,0,0,,0,,,,,,,0,0,2,91,45.50,0
8,2016,2016-10-30,8,23.262,SDG,@,DEN,L 19-27,,0,0,,0,,,,,,,0,0,5,285,57.00,0
9,2016,2016-11-06,9,23.269,SDG,,TEN,W 43-35,,0,0,,0,,,,,,,0,0,3,140,46.67,0
10,2016,2016-11-13,10,23.276,SDG,,MIA,L 24-31,,0,0,,0,,,,,,,0,0,4,199,49.75,0
11,2016,2016-11-27,11,23.290,SDG,@,HOU,W 21-13,,0,0,,0,,,,,,,0,0,6,292,48.67,0
12,2016,2016-12-04,12,23.297,SDG,,TAM,L 21-28,,0,0,,0,,,,,,,0,0,3,127,42.33,0
13,2016,2016-12-11,13,23.304,SDG,@,CAR,L 16-28,,0,0,,0,,,,,,,0,0,3,122,40.67,0
14,2016,2016-12-18,14,23.311,SDG,,OAK,L 16-19,,0,0,,0,,,,,,,0,0,5,274,54.80,0
15,2016,2016-12-24,15,23.317,SDG,@,CLE,L 17-20,,0,0,,0,,,,,,,0,0,5,251,50.20,0
16,2016,2017-01-01,16,23.325,SDG,,KAN,L 27-37,,0,0,,0,,,,,,,0,0,1,49,49.00,0
17,2017,2017-09-11,1,24.212,LAC,@,DEN,L 21-24,,0,0,,0,,,,,,,0,0,5,230,46.00,0
18,2017,2017-09-17,2,24.218,LAC,,MIA,L 17-19,,0,0,,0,,,,,,,0,0,4,170,42.50,0
19,2017,2017-09-24,3,24.225,LAC,,KAN,L 10-24,,0,0,,0,,,,,,,0,0,5,250,50.00,0
20,2017,2017-10-01,4,24.232,LAC,,PHI,L 24-26,,0,0,,0,,,,,,,0,0,4,191,47.75,0
21,2017,2017-10-08,5,24.239,LAC,@,NYG,W 27-22,,0,0,,0,,,,,,,0,0,6,333,55.50,0
22,2017,2017-10-15,6,24.246,LAC,@,OAK,W 17-16,,0,0,,0,,,,,,,0,0,4,223,55.75,0
23,2017,2017-10-22,7,24.253,LAC,,DEN,W 21-0,,0,0,,0,,,,,,,0,0,8,413,51.63,0
24,2017,2017-10-29,8,24.260,LAC,@,NWE,L 13-21,,0,0,,0,,,,,,,0,0,5,225,45.00,0
25,2017,2017-11-12,9,24.274,LAC,@,JAX,L 17-20,,0,0,,0,,,,,,,0,0,10,485,48.50,0
26,2017,2017-11-19,10,24.281,LAC,,BUF,W 54-24,,0,0,,0,,,,,,,0,0,2,73,36.50,0
27,2017,2017-11-23,11,24.285,LAC,@,DAL,W 28-6,,0,0,,0,1,3,33.3,,,,0,1,0,0,,0
28,2017,2017-12-03,12,24.295,LAC,,CLE,W 19-10,,0,0,,0,,,,,,,0,0,2,73,36.50,0
29,2017,2017-12-10,13,24.302,LAC,,WAS,W 30-13,,0,0,,0,,,,,,,0,0,5,264,52.80,0
30,2017,2017-12-16,14,24.308,LAC,@,KAN,L 13-30,,0,0,,0,,,,,,,0,0,3,149,49.67,0
31,2017,2017-12-24,15,24.316,LAC,@,NYJ,W 14-7,,0,0,,0,,,,,,,0,0,9,416,46.22,0
32,2017,2017-12-31,16,24.323,LAC,,OAK,W 30-10,,0,0,,0,,,,,,,0,0,2,63,31.50,0
33,2018,2018-09-09,1,25.210,LAC,,KAN,L 28-38,,0,0,,0,,,,,,,0,0,2,120,60.00,0
34,2018,2018-09-16,2,25.217,LAC,@,BUF,W 31-20,,0,0,,0,,,,,,,0,0,5,233,46.60,0
35,2018,2018-09-23,3,25.224,LAC,@,LAR,L 23-35,,0,0,,0,,,,,,,0,0,2,102,51.00,1
