ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1977,1977-09-18,1,21.271,STL,@,DEN,L 0-7,,,,,,,,,
2,1977,1977-09-25,2,21.278,STL,,CHI,W 16-13,,,,,,,,,
3,1977,1977-10-02,3,21.285,STL,@,WAS,L 14-24,,,,,,,,,
4,1977,1977-10-09,4,21.292,STL,,DAL,L 24-30,,,,,,,,,
5,1977,1977-10-16,5,21.299,STL,@,PHI,W 21-17,,,,,,,,,
6,1977,1977-10-23,6,21.306,STL,,NOR,W 49-31,,,,,,,,,
7,1977,1977-10-31,7,21.314,STL,,NYG,W 28-0,,,,,,,,,
8,1977,1977-11-06,8,21.320,STL,@,MIN,W 27-7,,,,,,,,,
9,1977,1977-11-14,9,21.328,STL,@,DAL,W 24-17,0,0,,0,0,0,1,22,0
10,1977,1977-11-20,10,21.334,STL,,PHI,W 21-16,,,,,,,,,
11,1977,1977-11-24,11,21.338,STL,,MIA,L 14-55,,,,,,,,,
12,1977,1977-12-04,12,21.348,STL,@,NYG,L 7-27,,,,,,,,,
13,1977,1977-12-10,13,21.354,STL,,WAS,L 20-26,,,,,,,,,
14,1977,1977-12-18,14,21.362,STL,@,TAM,L 7-17,,,,,,,,,
15,1978,1978-09-03,1,22.256,STL,@,CHI,L 10-17,,,,,,,,,
16,1978,1978-09-10,2,22.263,STL,,NWE,L 6-16,0,0,,0,0,0,1,0,0
17,1978,1978-09-24,4,22.277,STL,@,DAL,L 12-21,,,,,,,,,
18,1978,1978-10-01,5,22.284,STL,@,MIA,L 10-24,,,,,,,,,
19,1978,1978-10-08,6,22.291,STL,,BAL,L 17-30,,,,,,,,,
20,1978,1978-10-15,7,22.298,STL,,DAL,L 21-24,,,,,,,,,
21,1978,1978-10-22,8,22.305,STL,@,NYJ,L 10-23,,,,,,,,,
22,1978,1978-10-29,9,22.312,STL,@,PHI,W 16-10,0,0,,0,0,0,1,6,0
23,1978,1978-11-05,10,22.319,STL,,NYG,W 20-10,,,,,,,,,
24,1978,1978-11-12,11,22.326,STL,@,SFO,W 16-10,,,,,,,,,
25,1978,1978-11-19,12,22.333,STL,@,WAS,W 27-17,0,0,,0,0,0,1,9,0
26,1978,1978-11-26,13,22.340,STL,,PHI,L 10-14,,,,,,,,,
27,1978,1978-12-03,14,22.347,STL,,DET,W 21-14,0,0,,0,0,0,1,0,0
28,1978,1978-12-10,15,22.354,STL,@,NYG,L 0-17,,,,,,,,,
29,1978,1978-12-17,16,22.361,STL,,ATL,W 42-21,0,0,,0,0,0,2,39,0
30,1979,1979-09-02,1,23.255,STL,,DAL,L 21-22,,,,,,,,,
31,1979,1979-09-09,2,23.262,STL,@,NYG,W 27-14,,,,,,,,,
32,1979,1979-09-16,3,23.269,STL,,PIT,L 21-24,0,0,,0,0,0,1,7,0
33,1979,1979-09-23,4,23.276,STL,,WAS,L 7-17,,,,,,,,,
34,1979,1979-09-30,5,23.283,STL,@,RAM,L 0-21,,,,,,,,,
35,1979,1979-10-07,6,23.290,STL,@,HOU,W 24-17,0,0,,0,0,0,1,17,0
36,1979,1979-10-14,7,23.297,STL,,PHI,L 20-24,,,,,,,,,
37,1979,1979-10-21,8,23.304,STL,@,DAL,L 13-22,0,0,,0,0,0,1,0,0
38,1979,1979-10-28,9,23.311,STL,,CLE,L 20-38,,,,,,,,,
39,1979,1979-11-04,10,23.318,STL,,MIN,W 37-7,,,,,,,,,
40,1979,1979-11-11,11,23.325,STL,@,WAS,L 28-30,,,,,,,,,
41,1979,1979-11-18,12,23.332,STL,@,PHI,L 13-16,,,,,,,,,
42,1979,1979-11-25,13,23.339,STL,@,CIN,L 28-34,,,,,,,,,
43,1979,1979-12-02,14,23.346,STL,,SFO,W 13-10,0,0,,0,0,0,1,24,0
44,1979,1979-12-16,16,23.360,STL,@,CHI,L 6-42,0,0,,0,0,0,1,78,0
45,1980,1980-09-07,1,24.261,STL,,NYG,L 35-41,,,,,,,,,
46,1980,1980-09-14,2,24.268,STL,@,SFO,L 21-24,,,,,,,,,
47,1980,1980-09-21,3,24.275,STL,@,DET,L 7-20,,,,,,,,,
48,1980,1980-09-28,4,24.282,STL,,PHI,W 24-14,1,0,0.00,0,1,6,1,70,1
49,1980,1980-10-05,5,24.289,STL,@,NOR,W 40-7,,,,,,,,,
50,1980,1980-10-12,6,24.296,STL,,RAM,L 13-21,,,,,,,,,
51,1980,1980-10-19,7,24.303,STL,@,WAS,L 0-23,0,0,,0,0,0,1,5,0
52,1980,1980-10-26,8,24.310,STL,@,BAL,W 17-10,,,,,,,,,
53,1980,1980-11-02,9,24.317,STL,,DAL,L 24-27,,,,,,,,,
54,1980,1980-11-09,10,24.324,STL,,ATL,L 27-33,,,,,,,,,
55,1980,1980-11-16,11,24.331,STL,@,DAL,L 21-31,,,,,,,,,
56,1980,1980-11-23,12,24.338,STL,,KAN,L 13-21,,,,,,,,,
57,1980,1980-11-30,13,24.345,STL,@,NYG,W 23-7,,,,,,,,,
58,1980,1980-12-07,14,24.352,STL,,DET,W 24-23,0,0,,0,0,0,1,29,0
59,1980,1980-12-14,15,24.359,STL,@,PHI,L 3-17,,,,,,,,,
60,1980,1980-12-21,16,25.000,STL,,WAS,L 7-31,,,,,,,,,
61,1981,1981-09-06,1,25.259,STL,,MIA,L 7-20,,,,,,,,,
62,1981,1981-09-13,2,25.266,STL,@,DAL,L 17-30,,,,,,,,,
63,1981,1981-09-20,3,25.273,STL,,WAS,W 40-30,,,,,,,,,
64,1981,1981-09-27,4,25.280,STL,@,TAM,L 10-20,,,,,,,,,
65,1981,1981-10-11,6,25.294,STL,@,NYG,L 14-34,,,,,,,,,
66,1981,1981-10-18,7,25.301,STL,@,ATL,L 20-41,,,,,,,,,
67,1981,1981-10-25,8,25.308,STL,,MIN,W 30-17,,,,,,,,,
68,1981,1981-11-01,9,25.315,STL,@,WAS,L 21-42,,,,,,,,,
69,1981,1981-11-08,10,25.322,STL,,PHI,L 10-52,,,,,,,,,
70,1981,1981-11-15,11,25.329,STL,,BUF,W 24-0,,,,,,,,,
71,1982,1982-09-12,1,26.265,STL,@,NOR,W 21-7,,,,,,,,,
72,1982,1982-09-19,2,26.272,STL,,DAL,L 7-24,0,0,,0,0,0,1,0,0
73,1982,1982-11-21,3,26.335,STL,,SFO,L 20-31,,,,,,,,,
74,1982,1982-11-28,4,26.342,STL,@,ATL,W 23-20,,,,,,,,,
75,1982,1982-12-05,5,26.349,STL,@,PHI,W 23-20,,,,,,,,,
76,1982,1982-12-12,6,26.356,STL,,WAS,L 7-12,,,,,,,,,
77,1982,1982-12-19,7,26.363,STL,@,CHI,W 10-7,,,,,,,,,
78,1982,1982-12-26,8,27.005,STL,,NYG,W 24-21,,,,,,,,,
79,1982,1983-01-02,9,27.012,STL,@,WAS,L 0-28,,,,,,,,,
