ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1985,1985-09-08,1,24.191,HOU,,MIA,W 26-23,12,34,2.83,2,1,7,7.00,0,0,0,,0,0,0,,,,,,2,12
2,1985,1985-09-15,2,24.198,HOU,@,WAS,L 13-16,3,-2,-0.67,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
3,1985,1985-09-22,3,24.205,HOU,@,PIT,L 0-20,4,21,5.25,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
4,1985,1985-09-29,4,24.212,HOU,,DAL,L 10-17,9,22,2.44,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
5,1985,1985-10-06,5,24.219,HOU,@,DEN,L 20-31,6,22,3.67,0,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0
6,1985,1985-10-13,6,24.226,HOU,,CLE,L 6-21,16,49,3.06,0,2,6,3.00,0,0,0,,0,0,0,,,,,,0,0
7,1985,1985-10-20,7,24.233,HOU,,CIN,W 44-27,17,75,4.41,1,2,56,28.00,0,0,0,,0,0,0,,,,,,1,6
8,1985,1985-10-27,8,24.240,HOU,@,STL,W 20-10,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,1985,1985-11-17,11,24.261,HOU,,PIT,L 7-30,3,18,6.00,1,0,0,,0,0,0,,0,0,0,,,,,,1,6
10,1985,1985-11-24,12,24.268,HOU,,SDG,W 37-35,10,49,4.90,2,0,0,,0,0,0,,0,0,0,,,,,,2,12
11,1985,1985-12-01,13,24.275,HOU,@,CIN,L 27-45,5,31,6.20,1,1,7,7.00,0,0,0,,0,0,0,,,,,,1,6
12,1985,1985-12-08,14,24.282,HOU,,NYG,L 14-35,4,13,3.25,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
13,1985,1985-12-15,15,24.289,HOU,@,CLE,L 21-28,24,80,3.33,1,2,15,7.50,0,0,0,,0,0,0,,,,,,1,6
14,1985,1985-12-22,16,24.296,HOU,@,IND,L 16-34,19,49,2.58,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
15,1986,1986-09-07,1,25.190,HOU,@,GNB,W 31-3,23,83,3.61,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0
