ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1995,1995-09-04,1,22.222,NYG,,DAL,L 0-35,0,,,
2,1995,1995-09-10,2,22.228,NYG,@,KAN,L 17-20,0,0,,0
3,1995,1995-09-17,3,22.235,NYG,@,GNB,L 6-14,0,0,,0
4,1995,1995-09-24,4,22.242,NYG,,NOR,W 45-29,0,,,
5,1995,1995-10-01,5,22.249,NYG,@,SFO,L 6-20,0,,,
6,1995,1995-10-08,6,22.256,NYG,,ARI,W 27-21,0,,,
7,1995,1995-10-15,7,22.263,NYG,,PHI,L 14-17,0,,,
8,1995,1995-10-29,8,22.277,NYG,@,WAS,W 24-15,0,,,
9,1995,1995-11-05,9,22.284,NYG,@,SEA,L 28-30,0,0,,0
10,1995,1995-11-12,10,22.291,NYG,,OAK,L 13-17,0,0,,0
11,1995,1995-11-19,11,22.298,NYG,@,PHI,L 19-28,0,0,,0
12,1995,1995-11-26,12,22.305,NYG,,CHI,L 24-27,0,0,,0
13,1995,1995-11-30,13,22.309,NYG,@,ARI,W 10-6,1,0,0.00,0
14,1995,1995-12-10,14,22.319,NYG,,WAS,W 20-13,0,0,,0
15,1995,1995-12-17,15,22.326,NYG,@,DAL,L 20-21,0,0,,0
16,1995,1995-12-23,16,22.332,NYG,,SDG,L 17-27,0,0,,0
17,1996,1996-09-01,1,23.220,NYG,,BUF,L 20-23,,,,
18,1996,1996-09-08,2,23.227,NYG,@,DAL,L 0-27,,,,
19,1996,1996-09-22,4,23.241,NYG,@,NYJ,W 13-6,,,,
20,1996,1996-09-29,5,23.248,NYG,,MIN,W 15-10,,,,
21,1996,1996-10-13,6,23.262,NYG,,PHI,L 10-19,,,,
22,1996,1996-10-20,7,23.269,NYG,@,WAS,L 21-31,,,,
23,1996,1996-10-27,8,23.276,NYG,@,DET,W 35-7,,,,
24,1996,1996-11-24,12,23.304,NYG,,DAL,W 20-6,,,,
25,1996,1996-12-01,13,23.311,NYG,@,PHI,L 0-24,,,,
26,1996,1996-12-08,14,23.318,NYG,@,MIA,W 17-7,,,,
27,1996,1996-12-15,15,23.325,NYG,,NOR,L 3-17,,,,
28,1996,1996-12-21,16,23.331,NYG,,NWE,L 22-23,,,,
29,1997,1997-08-31,1,24.218,NYG,,PHI,W 31-17,,,,
30,1997,1997-09-07,2,24.225,NYG,@,JAX,L 13-40,,,,
31,1997,1997-09-21,4,24.239,NYG,@,STL,L 3-13,,,,
32,1997,1997-09-28,5,24.246,NYG,,NOR,W 14-9,,,,
33,1997,1997-10-05,6,24.253,NYG,,DAL,W 20-17,,,,
34,1997,1997-10-12,7,24.260,NYG,@,ARI,W 27-13,,,,
35,1997,1997-12-07,14,24.316,NYG,@,PHI,W 31-21,,,,
36,1997,1997-12-13,15,24.322,NYG,,WAS,W 30-10,,,,
37,1997,1997-12-21,16,24.330,NYG,@,DAL,W 20-7,,,,
38,1998,1998-10-04,5,25.252,NYG,@,TAM,L 3-20,,,,
39,1998,1998-10-11,6,25.259,NYG,,ATL,L 20-34,,,,
