ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2016,2016-09-25,3,22.236,BUF,,ARI,W 33-18,,3,2,0.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
2,2016,2016-10-16,6,22.257,BUF,,SFO,W 45-16,,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
3,2016,2016-10-30,8,22.271,BUF,,NWE,L 25-41,,5,12,2.40,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,6
4,2016,2016-11-07,9,22.279,BUF,@,SEA,L 25-31,,0,0,,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
5,2016,2016-11-20,10,22.292,BUF,@,CIN,W 16-12,,4,26,6.50,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
6,2016,2016-11-27,11,22.299,BUF,,JAX,W 28-21,,3,12,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
7,2016,2016-12-04,12,22.306,BUF,@,OAK,L 24-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
8,2016,2016-12-18,14,22.320,BUF,,CLE,W 33-13,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
9,2016,2016-12-24,15,22.326,BUF,,MIA,L 31-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
10,2016,2017-01-01,16,22.334,BUF,@,NYJ,L 10-30,,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
11,2018,2018-09-09,1,24.219,NOR,,TAM,L 40-48,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
12,2018,2018-09-16,2,24.226,NOR,,CLE,W 21-18,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
13,2018,2018-09-23,3,24.233,NOR,@,ATL,W 43-37,,1,1,1.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,0,0
