ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1979,1979-10-21,8,23.041,SDG,@,RAM,W 40-16,,,,,,,,,,
2,1979,1979-10-25,9,23.045,SDG,@,OAK,L 22-45,,,,,,,,,,
3,1979,1979-11-11,11,23.062,SDG,@,CIN,W 26-24,1,40,40.00,0,0,0,,0,0,0
4,1979,1979-11-18,12,23.069,SDG,,PIT,W 35-7,,,,,,,,,,
5,1979,1979-11-25,13,23.076,SDG,,KAN,W 28-7,1,21,21.00,0,0,0,,0,0,0
6,1979,1979-12-02,14,23.083,SDG,,ATL,L 26-28,3,37,12.33,1,0,0,,0,1,6
7,1979,1979-12-09,15,23.090,SDG,@,NOR,W 35-0,2,17,8.50,0,0,0,,0,0,0
8,1979,1979-12-17,16,23.098,SDG,,DEN,W 17-7,3,37,12.33,0,0,0,,0,0,0
9,1980,1980-09-07,1,23.363,SDG,@,SEA,W 34-13,,,,,,,,,,
10,1980,1980-09-14,2,24.004,SDG,,OAK,W 30-24,0,0,,0,1,0,0.00,0,0,0
11,1980,1980-09-21,3,24.011,SDG,@,DEN,W 30-13,,,,,,,,,,
12,1980,1980-09-28,4,24.018,SDG,@,KAN,W 24-7,,,,,,,,,,
13,1980,1980-10-12,6,24.032,SDG,@,OAK,L 24-38,,,,,,,,,,
14,1980,1980-10-19,7,24.039,SDG,,NYG,W 44-7,1,31,31.00,1,0,0,,0,1,6
15,1980,1980-10-26,8,24.046,SDG,@,DAL,L 31-42,,,,,,,,,,
16,1980,1980-11-02,9,24.053,SDG,@,CIN,W 31-14,,,,,,,,,,
17,1980,1980-11-09,10,24.060,SDG,,DEN,L 13-20,,,,,,,,,,
18,1980,1980-11-16,11,24.067,SDG,,KAN,W 20-7,,,,,,,,,,
19,1980,1980-11-20,12,24.071,SDG,@,MIA,W 27-24,,,,,,,,,,
20,1980,1980-11-30,13,24.081,SDG,,PHI,W 22-21,,,,,,,,,,
21,1980,1980-12-07,14,24.088,SDG,@,WAS,L 17-40,,,,,,,,,,
22,1980,1980-12-13,15,24.094,SDG,,SEA,W 21-14,,,,,,,,,,
23,1980,1980-12-22,16,24.103,SDG,,PIT,W 26-17,,,,,,,,,,
24,1981,1981-09-06,1,24.361,STL,,MIA,L 7-20,2,27,13.50,0,0,0,,0,0,0
25,1981,1981-09-13,2,25.003,STL,@,DAL,L 17-30,1,5,5.00,0,0,0,,0,0,0
26,1981,1981-09-20,3,25.010,STL,,WAS,W 40-30,0,0,,0,,,,,,
27,1981,1981-09-27,4,25.017,STL,@,TAM,L 10-20,0,0,,0,,,,,,
