ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,27.009,PIT,,NYG,L 7-18,8,-18,-2.25,0,0,0,,0
2,1950,1950-09-24,2,27.016,PIT,@,DET,L 7-10,1,1,1.00,0,0,0,,0
3,1950,1950-10-01,3,27.023,PIT,@,WAS,W 26-7,5,1,0.20,0,0,0,,0
4,1950,1950-10-07,4,27.029,PIT,,CLE,L 17-30,3,10,3.33,0,0,0,,0
5,1950,1950-10-22,6,27.044,PIT,,PHI,L 10-17,3,-7,-2.33,0,0,0,,0
6,1950,1950-11-23,10,27.076,PIT,@,CRD,W 28-17,12,31,2.58,1,1,68,68.00,0
7,1950,1950-12-03,11,27.086,PIT,,WAS,L 7-24,10,62,6.20,0,0,0,,0
8,1950,1950-12-10,12,27.093,PIT,,CRD,W 28-7,8,54,6.75,0,0,10,,1
9,1951,1951-10-01,1,28.023,PIT,,NYG,T 13-13,1,4,4.00,0,0,0,,0
10,1951,1951-10-07,2,28.029,PIT,@,GNB,L 33-35,0,0,,0,0,0,,0
11,1951,1951-10-14,3,28.036,PIT,,SFO,L 24-28,1,5,5.00,0,0,0,,0
12,1951,1951-10-21,4,28.043,PIT,@,CLE,L 0-17,7,4,0.57,0,1,39,39.00,0
13,1951,1951-10-28,5,28.050,PIT,@,CRD,W 28-14,2,5,2.50,0,0,0,,0
14,1951,1951-11-04,6,28.057,PIT,,PHI,L 13-34,3,12,4.00,0,0,0,,0
15,1951,1951-11-11,7,28.064,PIT,,GNB,W 28-7,7,25,3.57,1,1,4,4.00,0
16,1951,1951-11-18,8,28.071,PIT,,WAS,L 7-22,2,3,1.50,0,0,0,,0
17,1951,1951-11-25,9,28.078,PIT,@,PHI,W 17-13,1,0,0.00,0,0,0,,0
18,1951,1951-12-09,11,28.092,PIT,,CLE,L 0-28,3,-2,-0.67,0,0,0,,0
