ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-09-10,1,22.172,CHI,,CIN,W 17-14,0,0,,0,,0,0,,0,,,0,0,,0,2,33,16.50,0,0,0
2,1989,1989-09-17,2,22.179,CHI,,MIN,W 38-7,1,37,37.00,1,,0,0,,0,,,1,23,23.00,0,3,26,8.67,0,1,6
3,1989,1989-09-24,3,22.186,CHI,@,DET,W 47-27,2,-2,-1.00,0,,1,21,21.00,0,,,3,62,20.67,0,0,0,,0,0,0
4,1989,1989-10-02,4,22.194,CHI,,PHI,W 27-13,0,0,,0,,0,0,,0,,,1,21,21.00,0,0,0,,0,0,0
5,1989,1989-10-08,5,22.200,CHI,@,TAM,L 35-42,0,0,,0,,2,19,9.50,0,,,1,20,20.00,0,2,31,15.50,0,0,0
6,1989,1989-10-15,6,22.207,CHI,,HOU,L 28-33,0,0,,0,,0,0,,0,,,4,98,24.50,0,1,4,4.00,0,0,0
7,1989,1989-10-23,7,22.215,CHI,@,CLE,L 7-27,0,0,,0,,1,2,2.00,0,,,0,0,,0,3,24,8.00,0,0,0
8,1989,1989-10-29,8,22.221,CHI,,RAM,W 20-10,0,0,,0,,0,0,,0,,,0,0,,0,1,0,0.00,0,0,0
9,1989,1989-12-17,15,22.270,CHI,,GNB,L 28-40,0,0,,0,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
10,1989,1989-12-24,16,22.277,CHI,@,SFO,L 0-26,2,11,5.50,0,,0,0,,0,,,1,15,15.00,0,4,23,5.75,0,0,0
11,1990,1990-09-09,1,23.171,CHI,,SEA,W 17-0,4,32,8.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
12,1990,1990-09-16,2,23.178,CHI,@,GNB,W 31-13,2,6,3.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
13,1990,1990-09-23,3,23.185,CHI,,MIN,W 19-16,2,5,2.50,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
14,1990,1990-11-04,8,23.227,CHI,@,TAM,W 26-6,3,8,2.67,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
15,1990,1990-11-11,9,23.234,CHI,,ATL,W 30-24,0,0,,0,,0,0,,0,,,0,0,,0,,,,,0,
16,1990,1990-11-18,10,23.241,CHI,@,DEN,W 16-13,0,0,,0,,0,0,,0,,,0,0,,0,,,,,0,
17,1990,1990-11-25,11,23.248,CHI,@,MIN,L 13-41,2,17,8.50,0,,3,25,8.33,1,,,1,14,14.00,0,0,0,,0,1,6
18,1990,1990-12-02,12,23.255,CHI,,DET,W 23-17,0,0,,0,,1,1,1.00,0,,,1,19,19.00,0,0,0,,0,0,0
19,1990,1990-12-09,13,23.262,CHI,@,WAS,L 9-10,0,0,,0,,0,0,,0,,,0,0,,0,,,,,0,
20,1990,1990-12-16,14,23.269,CHI,@,DET,L 21-38,2,7,3.50,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
21,1990,1990-12-23,15,23.276,CHI,,TAM,W 27-14,11,45,4.09,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
22,1990,1990-12-29,16,23.282,CHI,,KAN,L 10-21,1,6,6.00,0,,0,0,,0,,,5,79,15.80,0,0,0,,0,0,0
23,1991,1991-09-01,1,24.163,CHI,,MIN,W 10-6,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
24,1991,1991-09-08,2,24.170,CHI,@,TAM,W 21-20,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
25,1991,1991-09-15,3,24.177,CHI,,NYG,W 20-17,0,0,,0,,0,0,,0,,,1,15,15.00,0,0,0,,0,0,0
26,1991,1991-09-23,4,24.185,CHI,,NYJ,W 19-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
27,1991,1991-09-29,5,24.191,CHI,@,BUF,L 20-35,2,5,2.50,1,,1,15,15.00,0,,,1,13,13.00,0,0,0,,0,1,6
28,1991,1991-10-06,6,24.198,CHI,,WAS,L 7-20,1,6,6.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
29,1991,1991-10-17,7,24.209,CHI,@,GNB,W 10-0,8,19,2.38,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
30,1991,1991-10-27,8,24.219,CHI,@,NOR,W 20-17,3,6,2.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
31,1991,1991-11-03,9,24.226,CHI,,DET,W 20-10,4,9,2.25,0,,0,0,,0,,,1,29,29.00,0,0,0,,0,0,0
32,1991,1991-11-11,10,24.234,CHI,@,MIN,W 34-17,4,8,2.00,0,,0,0,,0,,,1,12,12.00,0,3,9,3.00,0,0,0
33,1991,1991-11-17,11,24.240,CHI,@,IND,W 31-17,9,53,5.89,0,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0
34,1991,1991-11-24,12,24.247,CHI,,MIA,L 13-16,1,0,0.00,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
35,1991,1991-11-28,13,24.251,CHI,@,DET,L 6-16,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
36,1991,1991-12-08,14,24.261,CHI,,GNB,W 27-13,4,9,2.25,0,,3,20,6.67,0,,,0,0,,0,0,0,,0,0,0
37,1991,1991-12-14,15,24.267,CHI,,TAM,W 27-0,18,82,4.56,2,,1,15,15.00,0,,,0,0,,0,0,0,,0,2,12
38,1991,1991-12-23,16,24.276,CHI,@,SFO,L 14-52,7,20,2.86,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
39,1992,1992-09-06,1,25.168,CHI,,DET,W 27-24,3,21,7.00,0,1,1,9,9.00,0,100.0%,9.00,3,68,22.67,0,0,0,,0,0,0
40,1992,1992-09-13,2,25.175,CHI,@,NOR,L 6-28,3,9,3.00,0,1,1,6,6.00,0,100.0%,6.00,2,44,22.00,0,0,0,,0,0,0
41,1992,1992-09-21,3,25.183,CHI,,NYG,L 14-27,0,0,,0,,0,0,,0,0.0%,,4,69,17.25,0,0,0,,0,0,0
42,1992,1992-09-27,4,25.189,CHI,,ATL,W 41-31,2,3,1.50,0,,0,0,,0,0.0%,,1,14,14.00,0,0,0,,0,0,0
43,1992,1992-10-04,5,25.196,CHI,@,MIN,L 20-21,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
44,1992,1992-10-18,6,25.210,CHI,,TAM,W 31-14,1,4,4.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
45,1992,1992-10-25,7,25.217,CHI,@,GNB,W 30-10,3,8,2.67,0,1,1,43,43.00,0,100.0%,43.00,0,0,,0,0,0,,0,0,0
46,1992,1992-11-02,8,25.225,CHI,,MIN,L 10-38,2,32,16.00,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
47,1992,1992-11-08,9,25.231,CHI,,CIN,L 28-31,2,1,0.50,1,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6
48,1992,1992-11-22,11,25.245,CHI,,GNB,L 3-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
49,1992,1992-11-29,12,25.252,CHI,@,CLE,L 14-27,1,6,6.00,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0
50,1992,1992-12-07,13,25.260,CHI,@,HOU,L 7-24,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
51,1992,1992-12-13,14,25.266,CHI,,PIT,W 30-6,3,12,4.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
52,1992,1992-12-20,15,25.273,CHI,@,DET,L 3-16,0,0,,0,1,1,5,5.00,0,100.0%,5.00,1,29,29.00,0,0,0,,0,0,0
53,1992,1992-12-27,16,25.280,CHI,@,DAL,L 14-27,3,11,3.67,1,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6
