ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-10-25,6,22.030,NOR,,SFO,L 22-24,4,93,23.25,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
2,1987,1987-11-01,7,22.037,NOR,@,ATL,W 38-0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,0,
3,1987,1987-11-08,8,22.044,NOR,@,RAM,W 31-14,1,3,3.00,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
4,1987,1987-11-15,9,22.051,NOR,@,SFO,W 26-24,1,23,23.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1987,1987-11-22,10,22.058,NOR,,NYG,W 23-14,3,53,17.67,0,1,-9,-9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1987,1987-11-29,11,22.065,NOR,@,PIT,W 20-16,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
7,1987,1987-12-06,12,22.072,NOR,,TAM,W 44-34,3,27,9.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
8,1987,1987-12-13,13,22.079,NOR,,HOU,W 24-10,2,39,19.50,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
9,1987,1987-12-20,14,22.086,NOR,@,CIN,W 41-24,2,43,21.50,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
10,1987,1987-12-27,15,22.093,NOR,,GNB,W 33-24,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
11,1988,1988-09-04,1,22.345,NOR,,SFO,L 33-34,7,74,10.57,1,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
12,1988,1988-09-11,2,22.352,NOR,@,ATL,W 29-21,2,13,6.50,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
13,1988,1988-09-18,3,22.359,NOR,@,DET,W 22-14,4,65,16.25,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
14,1988,1988-09-25,4,23.000,NOR,,TAM,W 13-9,6,73,12.17,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
15,1988,1988-10-03,5,23.008,NOR,,DAL,W 20-17,4,31,7.75,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
16,1988,1988-10-09,6,23.014,NOR,@,SDG,W 23-17,4,30,7.50,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
17,1988,1988-10-16,7,23.021,NOR,@,SEA,W 20-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,,0,0,
18,1988,1988-10-23,8,23.028,NOR,,RAI,W 20-6,4,47,11.75,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,4,35,8.75,0,0,0
19,1988,1988-10-30,9,23.035,NOR,,RAM,L 10-12,6,45,7.50,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,5,5.00,0,1,6
20,1988,1988-11-06,10,23.042,NOR,@,WAS,L 24-27,4,56,14.00,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
21,1988,1988-11-13,11,23.049,NOR,@,RAM,W 14-10,6,83,13.83,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
22,1988,1988-11-20,12,23.056,NOR,,DEN,W 42-0,2,21,10.50,0,1,2,2.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
23,1988,1988-11-27,13,23.063,NOR,,NYG,L 12-13,6,53,8.83,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
24,1988,1988-12-04,14,23.070,NOR,@,MIN,L 3-45,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
25,1988,1988-12-11,15,23.077,NOR,@,SFO,L 17-30,6,61,10.17,1,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,4,4.00,0,1,6
26,1988,1988-12-18,16,23.084,NOR,,ATL,W 10-9,3,21,7.00,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,64,16.00,0,0,0
