ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.022,KAN,,ATL,L 24-40,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
2,2012,2012-09-16,2,22.029,KAN,@,BUF,L 17-35,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1
3,2012,2012-09-23,3,22.036,KAN,@,NOR,W 27-24,*,,,,,,,,,,,,,,,,,,,,
4,2012,2012-09-30,4,22.043,KAN,,SDG,L 20-37,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
5,2012,2012-10-07,5,22.050,KAN,,BAL,L 6-9,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
6,2012,2012-10-14,6,22.057,KAN,@,TAM,L 10-38,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
7,2012,2012-10-28,7,22.071,KAN,,OAK,L 16-26,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0
8,2012,2012-11-01,8,22.075,KAN,@,SDG,L 13-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,2
9,2012,2012-11-12,9,22.086,KAN,@,PIT,L 13-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,1
10,2012,2012-11-18,10,22.092,KAN,,CIN,L 6-28,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
11,2012,2012-11-25,11,22.099,KAN,,DEN,L 9-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1
12,2012,2012-12-02,12,22.106,KAN,,CAR,W 27-21,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
13,2012,2012-12-09,13,22.113,KAN,@,CLE,L 7-30,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1
14,2012,2012-12-16,14,22.120,KAN,@,OAK,L 0-15,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1
15,2012,2012-12-23,15,22.127,KAN,,IND,L 13-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
16,2012,2012-12-30,16,22.134,KAN,@,DEN,L 3-38,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1
17,2013,2013-09-08,1,23.021,KAN,@,JAX,W 28-2,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.5,5,1
18,2013,2013-09-15,2,23.028,KAN,,DAL,W 17-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2.0,4,0
19,2013,2013-09-19,3,23.032,KAN,@,PHI,W 26-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
20,2013,2013-09-29,4,23.042,KAN,,NYG,W 31-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
21,2013,2013-10-06,5,23.049,KAN,@,TEN,W 26-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,6,1
22,2013,2013-10-13,6,23.056,KAN,,OAK,W 24-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
23,2013,2013-10-20,7,23.063,KAN,,HOU,W 17-16,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1
24,2013,2013-10-27,8,23.070,KAN,,CLE,W 23-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
25,2013,2013-11-03,9,23.077,KAN,@,BUF,W 23-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,5,4
26,2013,2013-11-17,10,23.091,KAN,@,DEN,L 17-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
27,2013,2013-11-24,11,23.098,KAN,,SDG,L 38-41,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
28,2013,2013-12-01,12,23.105,KAN,,DEN,L 28-35,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
29,2013,2013-12-08,13,23.112,KAN,@,WAS,W 45-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
30,2013,2013-12-15,14,23.119,KAN,@,OAK,W 56-31,*,,,,,,,,,,,,,,,,,,,,
31,2013,2013-12-22,15,23.126,KAN,,IND,L 7-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1
32,2014,2014-09-07,1,24.020,KAN,,TEN,L 10-26,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,5,1
33,2014,2014-09-14,2,24.027,KAN,@,DEN,L 17-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
34,2014,2014-09-21,3,24.034,KAN,@,MIA,W 34-15,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.5,3,1
35,2014,2014-09-29,4,24.042,KAN,,NWE,W 41-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
36,2014,2014-10-05,5,24.048,KAN,@,SFO,L 17-22,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.5,2,1
37,2014,2014-10-19,6,24.062,KAN,@,SDG,W 23-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
38,2014,2014-10-26,7,24.069,KAN,,STL,W 34-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0
39,2014,2014-11-02,8,24.076,KAN,,NYJ,W 24-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,4,0
40,2014,2014-11-09,9,24.083,KAN,@,BUF,W 17-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,3,1
41,2014,2014-11-16,10,24.090,KAN,,SEA,W 24-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,2,1
42,2014,2014-11-20,11,24.094,KAN,@,OAK,L 20-24,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
43,2014,2014-11-30,12,24.104,KAN,,DEN,L 16-29,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
44,2014,2014-12-07,13,24.111,KAN,@,ARI,L 14-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
45,2014,2014-12-14,14,24.118,KAN,,OAK,W 31-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
46,2014,2014-12-21,15,24.125,KAN,@,PIT,L 12-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,2
47,2014,2014-12-28,16,24.132,KAN,,SDG,W 19-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,2,1
48,2015,2015-09-13,1,25.026,KAN,@,HOU,W 27-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
49,2015,2015-09-17,2,25.030,KAN,,DEN,L 24-31,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
50,2015,2015-09-28,3,25.041,KAN,@,GNB,L 28-38,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
51,2015,2015-10-04,4,25.047,KAN,@,CIN,L 21-36,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2
52,2015,2015-10-11,5,25.054,KAN,,CHI,L 17-18,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2
53,2015,2015-10-25,7,25.068,KAN,,PIT,W 23-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
54,2015,2015-11-01,8,25.075,KAN,,DET,W 45-10,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,3,0
55,2015,2015-11-15,9,25.089,KAN,@,DEN,W 29-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
56,2015,2015-11-22,10,25.096,KAN,@,SDG,W 33-3,*,1,1,1.00,1,0,0,,0,0,0,,0,0,,,1,6,0.0,3,1
57,2015,2015-11-29,11,25.103,KAN,,BUF,W 30-22,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
58,2015,2015-12-06,12,25.110,KAN,@,OAK,W 34-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
59,2015,2015-12-13,13,25.117,KAN,,SDG,W 10-3,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
60,2015,2015-12-20,14,25.124,KAN,@,BAL,W 34-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
61,2015,2015-12-27,15,25.131,KAN,,CLE,W 17-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,5,1
62,2015,2016-01-03,16,25.138,KAN,,OAK,W 23-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
63,2016,2016-09-11,1,26.024,KAN,,SDG,W 33-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
64,2016,2016-09-18,2,26.031,KAN,@,HOU,L 12-19,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,3
65,2016,2016-09-25,3,26.038,KAN,,NYJ,W 24-3,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
66,2016,2016-10-02,4,26.045,KAN,@,PIT,L 14-43,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.5,0,1
67,2016,2016-10-16,5,26.059,KAN,@,OAK,W 26-10,*,1,1,1.00,1,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
68,2016,2016-10-23,6,26.066,KAN,,NOR,W 27-21,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
69,2016,2016-10-30,7,26.073,KAN,@,IND,W 30-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
70,2016,2016-11-06,8,26.080,KAN,,JAX,W 19-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
71,2016,2016-11-13,9,26.087,KAN,@,CAR,W 20-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,3
72,2016,2016-11-20,10,26.094,KAN,,TAM,L 17-19,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
73,2016,2016-11-27,11,26.101,KAN,@,DEN,W 30-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
74,2016,2016-12-04,12,26.108,KAN,@,ATL,W 29-28,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0
75,2016,2016-12-08,13,26.112,KAN,,OAK,W 21-13,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
76,2016,2016-12-18,14,26.122,KAN,,TEN,L 17-19,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,1,0
77,2016,2016-12-25,15,26.129,KAN,,DEN,W 33-10,*,0,0,,0,1,1,100.00,2,1,0,118.7,0,0,2.00,22.00,0,0,0.0,1,0
78,2016,2017-01-01,16,26.136,KAN,@,SDG,W 37-27,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
79,2017,2017-09-10,1,27.023,ATL,@,CHI,W 23-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
80,2017,2017-09-17,2,27.030,ATL,,GNB,W 34-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
81,2017,2017-09-24,3,27.037,ATL,@,DET,W 30-26,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
82,2017,2017-10-01,4,27.044,ATL,,BUF,L 17-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,3,2
83,2017,2017-10-15,5,27.058,ATL,,MIA,L 17-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
84,2017,2017-10-22,6,27.065,ATL,@,NWE,L 7-23,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2
85,2017,2017-10-29,7,27.072,ATL,@,NYJ,W 25-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.5,2,2
86,2017,2017-11-05,8,27.079,ATL,@,CAR,L 17-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
87,2017,2017-11-12,9,27.086,ATL,,DAL,W 27-7,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,2,2
88,2017,2017-11-20,10,27.094,ATL,@,SEA,W 34-31,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1
89,2017,2017-11-26,11,27.100,ATL,,TAM,W 34-20,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
90,2017,2017-12-03,12,27.107,ATL,,MIN,L 9-14,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1
91,2017,2017-12-07,13,27.111,ATL,,NOR,W 20-17,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1.0,2,3
92,2017,2017-12-18,14,27.122,ATL,@,TAM,W 24-21,*,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0
