ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1951,1951-11-04,6,24.330,CLE,@,CRD,W 34-17,2,0,0.00,0,0,0,,0
2,1951,1951-12-16,12,25.007,CLE,@,PHI,W 24-9,5,30,6.00,0,0,0,,0
3,1952,1952-10-19,4,25.315,CLE,@,PHI,W 49-7,11,98,8.91,0,0,0,,0
4,1952,1952-11-02,6,25.329,CLE,@,DET,L 6-17,1,3,3.00,0,2,36,18.00,0
5,1952,1952-11-09,7,25.336,CLE,,CRD,W 28-13,3,14,4.67,0,0,0,,0
6,1952,1952-11-30,10,25.357,CLE,@,WAS,W 48-24,16,147,9.19,1,0,0,,0
7,1952,1952-12-07,11,25.364,CLE,@,CRD,W 10-0,13,59,4.54,0,3,64,21.33,0
8,1952,1952-12-14,12,26.005,CLE,@,NYG,L 34-37,13,52,4.00,1,4,103,25.75,1
9,1953,1953-09-27,1,26.292,CLE,@,GNB,W 27-0,5,11,2.20,0,0,0,,0
10,1953,1953-10-04,2,26.299,CLE,@,CRD,W 27-7,15,20,1.33,1,2,40,20.00,0
11,1953,1953-10-10,3,26.305,CLE,,PHI,W 37-13,8,73,9.13,2,1,-1,-1.00,0
12,1953,1953-10-18,4,26.313,CLE,@,WAS,W 30-14,8,21,2.63,0,5,52,10.40,0
13,1953,1953-10-25,5,26.320,CLE,@,NYG,W 7-0,3,5,1.67,0,0,0,,0
14,1953,1953-11-01,6,26.327,CLE,,WAS,W 27-3,5,15,3.00,0,1,4,4.00,0
15,1953,1953-11-08,7,26.334,CLE,,PIT,W 34-16,7,53,7.57,0,2,51,25.50,0
16,1953,1953-11-15,8,26.341,CLE,,SFO,W 23-21,11,45,4.09,0,1,5,5.00,0
17,1953,1953-11-22,9,26.348,CLE,@,PIT,W 20-16,3,17,5.67,0,2,6,3.00,0
18,1953,1953-11-29,10,26.355,CLE,,CRD,W 27-16,12,57,4.75,1,6,36,6.00,0
19,1953,1953-12-06,11,26.362,CLE,,NYG,W 62-14,2,6,3.00,0,0,0,,0
20,1953,1953-12-13,12,27.004,CLE,@,PHI,L 27-42,7,21,3.00,0,0,0,,0
21,1954,1954-09-26,1,27.291,CHI,@,DET,L 23-48,15,49,3.27,1,3,51,17.00,0
22,1954,1954-10-03,2,27.298,CHI,@,GNB,W 10-3,17,66,3.88,0,3,18,6.00,0
23,1954,1954-10-10,3,27.305,CHI,,BAL,W 28-9,17,50,2.94,0,0,0,,0
24,1954,1954-10-17,4,27.312,CHI,,SFO,L 24-31,10,18,1.80,0,0,0,,0
25,1954,1954-10-24,5,27.319,CHI,@,RAM,L 38-42,16,52,3.25,1,2,20,10.00,0
26,1954,1954-10-31,6,27.326,CHI,@,SFO,W 31-27,12,44,3.67,0,5,25,5.00,0
27,1954,1954-11-07,7,27.333,CHI,,GNB,W 28-23,6,17,2.83,0,3,16,5.33,0
28,1954,1954-11-21,9,27.347,CHI,@,BAL,W 28-13,19,78,4.11,1,3,31,10.33,0
29,1954,1954-11-28,10,27.354,CHI,,RAM,W 24-13,20,44,2.20,0,1,-3,-3.00,0
30,1954,1954-12-05,11,27.361,CHI,@,CRD,W 29-7,9,40,4.44,0,2,10,5.00,0
31,1954,1954-12-12,12,28.003,CHI,,DET,W 28-24,16,40,2.50,0,2,4,2.00,0
32,1955,1955-09-25,1,28.290,CHI,@,BAL,L 17-23,7,16,2.29,0,2,9,4.50,0
33,1955,1955-10-02,2,28.297,CHI,@,GNB,L 3-24,5,11,2.20,0,2,-3,-1.50,0
34,1955,1955-10-09,3,28.304,CHI,,SFO,L 19-20,4,7,1.75,0,1,4,4.00,0
35,1955,1955-10-16,4,28.311,CHI,,BAL,W 38-10,12,28,2.33,0,0,0,,0
36,1955,1955-10-23,5,28.318,CHI,@,SFO,W 34-23,4,22,5.50,0,0,0,,0
37,1955,1955-10-30,6,28.325,CHI,@,RAM,W 31-20,4,9,2.25,0,1,6,6.00,0
38,1955,1955-11-06,7,28.332,CHI,,GNB,W 52-31,7,63,9.00,1,0,0,,0
39,1955,1955-11-13,8,28.339,CHI,,RAM,W 24-3,11,46,4.18,1,0,0,,0
40,1955,1955-11-20,9,28.346,CHI,@,DET,W 24-14,8,23,2.88,0,0,0,,0
41,1955,1955-11-27,10,28.353,CHI,@,CRD,L 14-53,3,9,3.00,0,1,0,0.00,0
42,1955,1955-12-04,11,28.360,CHI,,DET,W 21-20,2,15,7.50,0,0,0,,0
43,1955,1955-12-11,12,29.002,CHI,,PHI,W 17-10,5,60,12.00,0,0,0,,0
