ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1989,1989-11-12,10,22.265,NWE,,NOR,L 24-28,0,0,,0,0,0,,0,,
2,1989,1989-11-19,11,22.272,NWE,,BUF,W 33-24,2,18,9.00,1,0,0,,0,1,6
3,1989,1989-11-26,12,22.279,NWE,@,RAI,L 21-24,1,2,2.00,0,0,0,,0,0,0
4,1989,1989-12-03,13,22.286,NWE,,IND,W 22-16,0,0,,0,0,0,,0,,
5,1989,1989-12-10,14,22.293,NWE,@,MIA,L 10-31,0,0,,0,0,0,,0,,
6,1989,1989-12-17,15,22.300,NWE,@,PIT,L 10-28,0,0,,0,2,26,13.00,0,0,0
7,1989,1989-12-24,16,22.307,NWE,,RAM,L 20-24,0,0,,0,0,0,,0,,
