ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.240,TAM,,CAR,W 16-10,*,24,95,3.96,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,,0,0,0.0,0,0
2,2012,2012-09-16,2,23.247,TAM,@,NYG,L 34-41,*,20,66,3.30,1,3,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0
3,2012,2012-09-23,3,23.254,TAM,@,DAL,L 10-16,*,19,53,2.79,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,,0,0,0.0,0,0
4,2012,2012-09-30,4,23.261,TAM,,WAS,L 22-24,*,8,33,4.13,0,5,2,9,4.50,0,40.0%,1.80,0,0,,0,,0,0,0.0,0,0
5,2012,2012-10-14,5,23.275,TAM,,KAN,W 38-10,*,13,76,5.85,0,4,2,55,27.50,0,50.0%,13.75,0,0,,0,,0,0,0.0,0,0
6,2012,2012-10-21,6,23.282,TAM,,NOR,L 28-35,*,16,85,5.31,1,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,1,6,0.0,0,0
7,2012,2012-10-25,7,23.286,TAM,@,MIN,W 36-17,*,29,135,4.66,1,6,3,79,26.33,1,50.0%,13.17,0,0,,0,,2,12,0.0,0,0
8,2012,2012-11-04,8,23.296,TAM,@,OAK,W 42-32,*,25,251,10.04,4,5,4,21,5.25,0,80.0%,4.20,0,0,,0,,4,24,0.0,0,0
9,2012,2012-11-11,9,23.303,TAM,,SDG,W 34-24,*,19,68,3.58,0,3,3,51,17.00,0,100.0%,17.00,0,0,,0,,0,0,0.0,0,0
10,2012,2012-11-18,10,23.310,TAM,@,CAR,W 27-21,*,24,138,5.75,0,5,4,23,5.75,0,80.0%,4.60,0,0,,0,,0,0,0.0,0,0
11,2012,2012-11-25,11,23.317,TAM,,ATL,L 23-24,*,21,50,2.38,2,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,2,12,0.0,0,0
12,2012,2012-12-02,12,23.324,TAM,@,DEN,L 23-31,*,18,56,3.11,0,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,0,0
13,2012,2012-12-09,13,23.331,TAM,,PHI,L 21-23,*,28,128,4.57,1,5,3,4,1.33,0,60.0%,0.80,0,0,,0,,1,6,0.0,0,0
14,2012,2012-12-16,14,23.338,TAM,@,NOR,L 0-41,*,9,16,1.78,0,5,3,19,6.33,0,60.0%,3.80,0,0,,0,,0,0,0.0,0,0
15,2012,2012-12-23,15,23.345,TAM,,STL,L 13-28,*,18,62,3.44,0,8,7,57,8.14,0,87.5%,7.13,0,0,,0,,0,0,0.0,0,0
16,2012,2012-12-30,16,23.352,TAM,@,ATL,W 22-17,*,28,142,5.07,1,5,4,18,4.50,0,80.0%,3.60,0,0,,0,,1,6,0.0,0,0
17,2013,2013-09-08,1,24.238,TAM,@,NYJ,L 17-18,*,24,65,2.71,1,6,2,-1,-0.50,0,33.3%,-0.17,1,40,40.00,0,,1,6,0.0,0,0
18,2013,2013-09-15,2,24.245,TAM,,NOR,L 14-16,*,29,144,4.97,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
19,2013,2013-09-22,3,24.252,TAM,@,NWE,L 3-23,*,20,88,4.40,0,6,2,20,10.00,0,33.3%,3.33,0,0,,0,,0,0,0.0,0,0
20,2013,2013-09-29,4,24.259,TAM,,ARI,L 10-13,*,27,45,1.67,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,,0,0,0.0,1,0
21,2013,2013-10-13,5,24.273,TAM,,PHI,L 20-31,*,16,67,4.19,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
22,2013,2013-10-20,6,24.280,TAM,@,ATL,L 23-31,*,11,47,4.27,0,3,1,7,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0
23,2014,2014-09-07,1,25.237,TAM,,CAR,L 14-20,*,9,9,1.00,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0
