ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2000,2000-09-03,1,22.333,KAN,,IND,L 14-27,,7,3,58,19.33,0,42.9%,8.29,0,0,,0,0,0,,0,,,,0,0
2,2000,2000-09-10,2,22.340,KAN,@,TEN,L 14-17,*,6,3,44,14.67,0,50.0%,7.33,0,0,,0,0,0,,0,,,,0,0
3,2000,2000-09-17,3,22.347,KAN,,SDG,W 42-10,,6,6,112,18.67,3,100.0%,18.67,0,0,,0,0,0,,0,,,,3,18
4,2000,2000-09-24,4,22.354,KAN,@,DEN,W 23-22,,9,2,13,6.50,0,22.2%,1.44,0,0,,0,0,0,,0,,,,0,0
5,2000,2000-10-02,5,22.362,KAN,,SEA,W 24-17,*,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,,,,0,0
6,2000,2000-10-15,6,23.009,KAN,,OAK,L 17-20,*,9,4,64,16.00,0,44.4%,7.11,0,0,,0,0,0,,0,,,,0,0
7,2000,2000-10-22,7,23.016,KAN,,STL,W 54-34,*,8,5,64,12.80,0,62.5%,8.00,1,1,100.00,31,0,0,118.7,0,0,31.00,31.00,0,0
8,2000,2000-11-05,9,23.030,KAN,@,OAK,L 31-49,,8,6,102,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,,,,0,0
9,2000,2000-11-12,10,23.037,KAN,@,SFO,L 7-21,*,7,3,49,16.33,0,42.9%,7.00,0,0,,0,0,0,,0,,,,0,0
10,2000,2000-11-19,11,23.044,KAN,,BUF,L 17-21,*,7,1,19,19.00,0,14.3%,2.71,0,0,,0,0,0,,0,,,,0,0
11,2000,2000-11-26,12,23.051,KAN,@,SDG,L 16-17,,7,2,18,9.00,0,28.6%,2.57,0,0,,0,0,0,,0,,,,0,0
12,2000,2000-12-04,13,23.059,KAN,@,NWE,L 24-30,,9,3,17,5.67,0,33.3%,1.89,0,0,,0,0,0,,0,,,,0,0
13,2000,2000-12-10,14,23.065,KAN,,CAR,W 15-14,*,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,,,,0,0
14,2000,2000-12-17,15,23.072,KAN,,DEN,W 20-7,,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,,,,0,0
15,2000,2000-12-24,16,23.079,KAN,@,ATL,L 13-29,*,6,1,18,18.00,0,16.7%,3.00,0,0,,0,0,0,,0,,,,0,0
