ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,26.224,SDG,,MIA,W 50-28,,,,,,,,,,,,0,0,,0,,,,,,
2,1986,1986-09-14,2,26.231,SDG,@,NYG,L 7-20,,,,,,,,,,,,0,0,,0,,,,,,
3,1986,1986-09-21,3,26.238,SDG,,WAS,L 27-30,,,,,,,,,,,,0,0,,0,,,,,,
4,1986,1986-09-28,4,26.245,SDG,@,RAI,L 13-17,,,,,,,,,,,,0,0,,0,,,,,,
5,1986,1986-10-06,5,26.253,SDG,@,SEA,L 7-33,0,0,,0,,0,0,,0,,,1,0,0.00,0,0,0,0.0,0,0,0
6,1986,1986-10-12,6,26.259,SDG,,DEN,L 14-31,,,,,,,,,,,,0,0,,0,,,,,,
7,1986,1986-10-19,7,26.266,SDG,@,KAN,L 41-42,,,,,,,,,,,,0,0,,0,,,,,,
8,1986,1986-10-26,8,26.273,SDG,@,PHI,L 7-23,,,,,,,,,,,,0,0,,0,,,,,,
9,1986,1986-11-02,9,26.280,SDG,,KAN,L 23-24,,,,,,,,,,,,0,0,,0,,,,,,
10,1986,1986-11-09,10,26.287,SDG,@,DEN,W 9-3,,,,,,,,,,,,0,0,,0,,,,,,
11,1986,1986-11-16,11,26.294,SDG,,DAL,L 21-24,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.5,0,0,0
12,1986,1986-11-20,12,26.298,SDG,,RAI,L 31-37,,,,,,,,,,,,0,0,,0,,,,,,
13,1986,1986-11-30,13,26.308,SDG,@,IND,W 17-3,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
14,1986,1986-12-07,14,26.315,SDG,,HOU,W 27-0,,,,,,,,,,,,0,0,,0,,,,,,
15,1986,1986-12-14,15,26.322,SDG,,SEA,L 24-34,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
16,1987,1987-09-13,1,27.230,SDG,@,KAN,L 13-20,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,2,0
17,1987,1987-09-20,2,27.237,SDG,,STL,W 28-24,,,,,,,,,,,,,,,,,,,,,
