ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1970,1970-09-27,2,23.248,BUF,,RAM,L 0-19,1,14,14.00,0,2,22,11.00,0
2,1970,1970-10-11,4,23.262,BUF,@,PIT,L 10-23,,,,,,,,
3,1970,1970-10-18,5,23.269,BUF,,MIA,L 14-33,0,0,,0,1,21,21.00,0
4,1970,1970-10-25,6,23.276,BUF,@,NYJ,W 10-6,,,,,,,,
5,1970,1970-11-01,7,23.283,BUF,@,BOS,W 45-10,,,,,,,,
6,1970,1970-11-08,8,23.290,BUF,,CIN,L 14-43,,,,,,,,
7,1970,1970-11-15,9,23.297,BUF,@,BAL,T 17-17,,,,,,,,
8,1970,1970-11-22,10,23.304,BUF,@,CHI,L 13-31,0,0,,0,1,18,18.00,0
9,1970,1970-11-29,11,23.311,BUF,,BOS,L 10-14,,,,,,,,
10,1970,1970-12-06,12,23.318,BUF,@,NYG,L 6-20,,,,,,,,
11,1970,1970-12-20,14,23.332,BUF,@,MIA,L 7-45,1,2,2.00,0,0,0,,0
